msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
\nAdvanced options and settings.,,'',,,SOLITARY,
"\nAfter pressing OK, please wait!",,'',,,SOLITARY,
\nBackup your Dreambox settings.,,'',,,SOLITARY,
\nEdit the upgrade source address.,,'',,,SOLITARY,
\nManage extensions or plugins for your Dreambox,,'',,,SOLITARY,
\nOnline update of your Dreambox software.,,'',,,SOLITARY,
\nPress OK on your remote control to continue.,,'',,,SOLITARY,
\nProtocol:,,'',,,SOLITARY,
\nProvider:,,'',,,SOLITARY,
\nRestore your Dreambox settings.,,'',,,SOLITARY,
\nRestore your Dreambox with a new firmware.,,'',,,SOLITARY,
\nRestore your backups by date.,,'',,,SOLITARY,
\nScan for local extensions and install them.,,'',,,SOLITARY,
\nSelect your backup device.\nCurrent device: ,,'',,,SOLITARY,
\nShut down upgrade and reboot,,'',,,SOLITARY,
\nSystem will restart after the restore!,,'',,,SOLITARY,
"\nView, install and remove available or installed packages.",,'',,,SOLITARY,
 ,,'',,,SOLITARY,
 and,,'',,,SOLITARY,
 extensions.,,'',,,SOLITARY,
 has been sent to the AAF SVN team.\nplease quote ,,'',,,SOLITARY,
 ms,,'',,,SOLITARY,
 packages selected.,,'',,,SOLITARY,
 updates available.,,'',,,SOLITARY,
 wireless networks found!,,'',,,SOLITARY,
#000000,,'',,,SOLITARY,
#0064c7,,'',,,SOLITARY,
#25062748,,'',,,SOLITARY,
#389416,,'',,,SOLITARY,
#80000000,,'',,,SOLITARY,
#80ffffff,,'',,,SOLITARY,
#bab329,,'',,,SOLITARY,
#f23d21,,'',,,SOLITARY,
#ff0000,,'',,,SOLITARY,
#ffff7f,,'',,,SOLITARY,
#ffffff,,'',,,SOLITARY,
#ffffffff,,'',,,SOLITARY,
%H:%M,,'',,,SOLITARY,
%d jobs are running in the background!,,'',,,SOLITARY,
%d min,,'',,,SOLITARY,
%d services found!,,'',,,SOLITARY,
%d.%B %Y,,'',,,SOLITARY,
%s (%s)\n,,'',,,SOLITARY,
( All readers),,'',,,SOLITARY,
(Beta),,'',,,SOLITARY,
(Release),,'',,,SOLITARY,
(Show only reader:,,'',,,SOLITARY,
(ZAP),,'',,,SOLITARY,
(empty),,'',,,SOLITARY,
(show optional DVD audio menu),,'',,,SOLITARY,
* Only available if more than one interface is active.,,'',,,SOLITARY,
/usr/share/enigma2 directory,,'',,,SOLITARY,
/var directory,,'',,,SOLITARY,
0,,'',,,SOLITARY,
1,,'',,,SOLITARY,
1 wireless network found!,,'',,,SOLITARY,
