msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",\nبعد الضغط على موافق ، رجاء الانتظار,\nبعد الضغط على موافق ، رجاء الانتظار,\nبعد الضغط على موافق ، يرجى الانتظار!,\nبعد الضغط على موافق ، الرجاء الانتظار!,MISMATCH (ALL),
\nConflict detection disabled!,,,\nتم تعطيل الكشف عن التعارض!,,SOLITARY,
\nPress OK on your remote control to continue.,\nأضغط موافق من الريموت للاستمرار,\nأضغط موافق من الريموت للاستمرار,\nأضغط موافق من ريموت التحكم عن بعد للإستمرار.,\nأضغط موافق من ريموت التحكم عن بعد للاستمرار.,MISMATCH (ALL),
\nPress OK or Exit to abort!,,,\nإضغط OK  أو Exit للإيقاف!,,SOLITARY,
\nRecording in progress.,'',,\nجاري التسجيل.,\nالتسجيل قيد التشغيل.,MISMATCH (SOME),
\nTimer '%s' disabled!,,,\nالمؤقت '%s' معطل!,\nتعطيل '%s' المؤقت!,MISMATCH (SOME),
 (0 - all networks),,, (0 - كل الشبكات), (0-جميع الشبكات),MISMATCH (SOME),
 (Channel %s),'',, (قناة %s), (قناة %s),INCOMPLETE (SOME),
 (Partition %d),'',, (قرص  %d),,INCOMPLETE (SOME),
 (PiP),'','', (صورة داخل صورة),,INCOMPLETE (SOME),
 (Radio),'','', (راديو),,INCOMPLETE (SOME),
 (TV),'','','',,EMPTY (SOME),
 (disabled),'',, (معطل), (معطل),INCOMPLETE (SOME),
 (higher than any auto),'',,'', (أعلى من أي تلقائي),INCOMPLETE (SOME),
 (higher than rotor any auto),'',,'', (أعلى من الدواران التلقائي),INCOMPLETE (SOME),
 (lower than any auto),'',,'', (أقل من أي تلقائي),INCOMPLETE (SOME),
 extensions.,,, الملحقات.,,SOLITARY,
 ms,,,'',,SOLITARY,
 packages selected.,,, حزم محددة.,,SOLITARY,
 updates available.,,, تحديثات متاحة.,,SOLITARY,
%.0f GB,'',,'',,EMPTY (SOME),
%.0f MB,'',,'',%.0f ميجابايت,INCOMPLETE (SOME),
%.0f kB,,,'',,SOLITARY,
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,'',%.2f جيجابايت,INCOMPLETE (SOME),
%02d:%02d,'',,'',,EMPTY (SOME),
%03d MB,'',,'',%03d ميجابايت,INCOMPLETE (SOME),
%2.1f sec,'',,'',%2.1f ثانية,INCOMPLETE (SOME),
%2d:%02d,,'','',,EMPTY (SOME),
%2d:%02d:%02d,,'','',,EMPTY (SOME),
%3.01f dB,,,'',%3.01f ديسيبل,INCOMPLETE (SOME),
%A %d %B,'',,'',%A %d %B,INCOMPLETE (SOME),
%A %e %B,,'','',,EMPTY (SOME),
%A %e %B %Y,,'','',,EMPTY (SOME),
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL),
%a %e %B %Y,,'',%a %e %B %Y,,INCOMPLETE (SOME),
%a %e/%m,,'','',,EMPTY (SOME),
%a %e/%m  %-H:%M,,'','',,EMPTY (SOME),
%d B,,,'',%d بايت,INCOMPLETE (SOME),
%d GB,'','','',%d جيجابايت,INCOMPLETE (ALL),
%d MB,'','','',%d ميقابايت,INCOMPLETE (ALL),
%d fps,,,'',,SOLITARY,
%d kB,'','','',%d كيلوبايت,INCOMPLETE (ALL),
%d kB/s,,,'',,SOLITARY,
%d min,%d دقيقه,%d دقيقه,%d دقيقة,%d دقيقة,MISMATCH (ALL),
%d minutes,'','','',%d دقائق,INCOMPLETE (ALL),
%d ms,,,'',%d جزء من الثانية,INCOMPLETE (SOME),
%d sec,'',,'',,EMPTY (SOME),
%d-%m,'',,'',,EMPTY (SOME),
%d.%02d. %02d:%02d,,,'',,SOLITARY,
%d.%03d GB,'',,'',%d.%03d جيجابايت,INCOMPLETE (SOME),
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME),
%d:%02d,,,'',,SOLITARY,
%k:%M %e/%m,,'','',,EMPTY (SOME),
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME),
%s %d.%d,,,'',,SOLITARY,
%s %s free disk space,,,'',,SOLITARY,
%s (%s)\n,%s (%s) \n,%s (%s) \n,%s (%s) \n,%s (%s)\n,MISMATCH (ALL),whitespace
%s imported from fallback tuner,,,'',,SOLITARY,
%s is no longer used. Should it be deleted?,'','','',%s لم يعد يستخدم. هل يجب حذفها ؟,INCOMPLETE (ALL),
%s%d min,,,'',,SOLITARY,
%s/%s: %s,'','','',%s/%s: %s,INCOMPLETE (ALL),
%s:%s,,,'',%s:%s,INCOMPLETE (SOME),
(VU+ type),,,'',,SOLITARY,
(ZAP as PiP),,,'',(التنقل بين قناة داخل قناة),INCOMPLETE (SOME),
(ZAP),,(تنقل),(تنقل),(تنقل),CONSISTENT (SOME),
(empty),(خالى),(خالى),(فارغ),(فارغ),MISMATCH (ALL),
(not activated),,,(غير مفعل),,SOLITARY,
(show optional DVD audio menu),(شاهد قائمه صوت دى فى دى إختياريه),(شاهد قائمه صوت دى فى دى إختياريه),(قم بإظهار قائمة Audio DVD الاختيارية),(عرض قائمة صوت ديفيدي إختياريه),MISMATCH (ALL),
(unknown),,,(غير معروف),(مجهول),MISMATCH (SOME),
* Only available if more than one interface is active.,*متاحه فقط عند وجود أكثر من واحهه نشطه,*متاحه فقط عند وجود أكثر من واحهه نشطه,*متاحه فقط عند وجود أكثر من واحهة نشطة,* متوفر فقط إذا أكثر من واجهة نشطة.,MISMATCH (ALL),
-NO SERVICE\n,'',,'',-لا توجد قناة\n,INCOMPLETE (SOME),
-SERVICE ERROR:%d\n,'',,'',-خطا في الخدمة:%d\n,INCOMPLETE (SOME),
/s,'','','',/s,INCOMPLETE (ALL),
0,'',,0,,INCOMPLETE (SOME),
1,'',,1,,INCOMPLETE (SOME),
1.0,'',1.0,1.0,1.0,INCOMPLETE (ALL),
1.1,'',1.1,1.1,1.1,INCOMPLETE (ALL),
1.2,'',1.2,1.2,1.2,INCOMPLETE (ALL),
10 MB/s,'',,'',10 ميغا بايت/ثانيه,INCOMPLETE (SOME),
100 MB/s,'',,'',100 ميجا بايت/ثانيه,INCOMPLETE (SOME),
10bit,'',,'',عشرة بت,INCOMPLETE (SOME),
12V output,مخرج 12 ف,مخرج 12 ف,مخرج 12V,مخرج 12 ف,MISMATCH (ALL),
12bit,'',,'',أثنا عشر بت,INCOMPLETE (SOME),
13 V,13 ف,13 ف,'',13 فولت,MISMATCH (ALL),
16:10,'',16:10,16:10,16:10,INCOMPLETE (ALL),
16:10 Letterbox,'','','',16:10 شاشة مصغرة,INCOMPLETE (ALL),
16:10 PanScan,'','','',16:10 شاشة عريضة,INCOMPLETE (ALL),
16:9,'',16:9,16:9,16:9,INCOMPLETE (ALL),
16:9 Letterbox,'','','',16:9 شاشة مصغرة,INCOMPLETE (ALL),
16:9 always,16:9 دائما,16:9 دائما,16:9 دائما,16:9 دائما,CONSISTENT (ALL),
16K,,,'','',EMPTY (SOME),
18 V,18 ف,18 ف,'',18 فولت,MISMATCH (ALL),
2,'',,2,,INCOMPLETE (SOME),
20 MB/s,'',,'',20 ميغا بايت/ثانيه,INCOMPLETE (SOME),
23.976,'','','',23.976,INCOMPLETE (ALL),
24,,,'',24,INCOMPLETE (SOME),
25,,,'',25,INCOMPLETE (SOME),
29.97,'','','',29.97,INCOMPLETE (ALL),
3,'',,3,,INCOMPLETE (SOME),
30,,,'',30,INCOMPLETE (SOME),
3D surround,,,'',دعم محيط مؤثرات الصوت ثلاثية الأبعاد,INCOMPLETE (SOME),
3D surround softlimiter,,,'',,SOLITARY,
3D surround speaker position,,,'',وضع مؤثرات الصوت ثلاثية الأبعاد,INCOMPLETE (SOME),
3d mode,'','','',,EMPTY (SOME),
4,'',,4,,INCOMPLETE (SOME),
420,'',,'',420,INCOMPLETE (SOME),
422,'',,'',422,INCOMPLETE (SOME),
444,'',,'',444,INCOMPLETE (SOME),
4:3,'',4:3,4:3,4:3,INCOMPLETE (ALL),
4:3 Letterbox,'','','',4:3 شاشة مصغرة,INCOMPLETE (ALL),
4:3 PanScan,'','','',4:3 شاشة عريضة,INCOMPLETE (ALL),
5,'',,5,,INCOMPLETE (SOME),
50 MB/s,'',,'',50 ميجا بايت/ثانيه,INCOMPLETE (SOME),
6,'',,6,'',INCOMPLETE (SOME),
7,'',,7,,INCOMPLETE (SOME),
8,'',,8,,INCOMPLETE (SOME),
8bit,'',,'',ثمانية بت,INCOMPLETE (SOME),
9,'',,9,,INCOMPLETE (SOME),
: 0000 - default (disabled),,,'',,SOLITARY,
<Current movielist location>,<موقع قائمه الافلام الحاليه>,<موقع قائمه الافلام الحاليه>,<موقع قائمة الأفلام الحالية>,<موقع قائمة الافلام الحاليه>,MISMATCH (ALL),
<Default movie location>,<مكان الافلام الافتراضى>,<مكان الافلام الافتراضى>,<مكان الافلام الافتراضى>,<مكان الافلام الإفتراضي>,MISMATCH (ALL),
<Last timer location>,<مكان المؤقت الاخير>,<مكان المؤقت الاخير>,<مكان المؤقت الاخير>,<مكان المؤقت الأخير>,MISMATCH (ALL),
<unknown>,<غير معروف>,<غير معروف>,<غير معروف>,<مجهول>,MISMATCH (ALL),
=NO STREAM\n,'',,'',= لا يوجد قنوات تدفق\n,INCOMPLETE (SOME),
??,؟؟,؟؟,؟؟,??,MISMATCH (ALL),unicode
A,أ,أ,أ,A,MISMATCH (ALL),
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,تم تعديل ملف التكوين (%s) منذ التثبيت\nهل تريد الاحتفاظ بإصدارك ؟,تم تعديل ملف التكوين (%s) منذ التثبيت\nهل تريد الاحتفاظ بإصدارك ؟,تم تعديل ملف التكوين (%s) منذ التثبيت\nهل تريد الاحتفاظ بإصدارك ؟,تم تعديل ملف التكوين (%s) منذ التثبيت\nهل تريد الاحتفاظ بإصدارك ؟,CONSISTENT (ALL),
A file from media is in use!,,,'',,SOLITARY,
A finished record timer wants to set your\nreceiver to standby. Do that now?,,,'',,SOLITARY,
A finished record timer wants to shut down\nyour receiver. Shutdown now?,,,'',,SOLITARY,
A graphical EPG for all services of a specific bouquet,,,دليل برامج الكترونى بياني لكل قنوات باقة معينة,,SOLITARY,
A record has been started:\n%s,,,التسجيل بدأ:\n%s,,SOLITARY,
A recording is currently running on the selected tuner. Please select a different tuner or stop the recording and try again.,,,يتم تشغيل التسجيل حاليًا على الموالف المحدد. يرجى تحديد موالف مختلف أو إيقاف التسجيل وإعادة المحاولة.,,SOLITARY,
A recording is currently running.\nWhat do you want to do?,هناك تسجيل جارى الان \nماذا تريد أن تفعل ؟,هناك تسجيل جارى الان \nماذا تريد أن تفعل ؟,هناك تسجيل جارى الان \nماذا تريد أن تفعل ؟,,CONSISTENT (SOME),
A recording is currently running. Please stop the recording before trying to scan.,'','','',للتذكير التسجيل قيد التشغيل حاليا. يرجى إيقاف التسجيل قبل محاولة البحث.,INCOMPLETE (ALL),
A recording is currently running. Please stop the recording before trying to start a testing DiSEqC.,,,'',,SOLITARY,
A required tool (%s) was not found.,لم يتم العثور على الاداه المطلوبه (%s),لم يتم العثور على الاداه المطلوبه (%s),لم يتم العثور على الأداة المطلوبة (%s),لم يتم العثور (%s) على الأداة المطلوبة.,MISMATCH (ALL),
A search for available updates is currently in progress.,يتم حاليا البحث عن التحديثات المتاحه,يتم حاليا البحث عن التحديثات المتاحه,يتم حاليا البحث عن التحديثات المتاحة.,جار البحث عن التحديثات المتوفرة حاليا.,MISMATCH (ALL),
A second configured interface has been found.\n\nDo you want to disable the second network interface?,تم العثور على واجهه ثانيه جاهزة الاعدادات\n\nهل تريد تعطيل واجهه الشبكه الثانيه ؟,تم العثور على واجهه ثانيه جاهزة الاعدادات\n\nهل تريد تعطيل واجهه الشبكه الثانيه ؟,تم العثور على واجهه ثانيه جاهزة الاعدادات\n\nهل تريد تعطيل واجهه الشبكة الثانيه ؟,تم العثور على واجهه ثانيه جاهزة الاعدادات\n\nهل تريد تعطيل واجهه الشبكة الثانيه ؟,MISMATCH (ALL),
A sleep timer wants to set your\nreceiver to standby. Do that now?,,,'',,SOLITARY,
A sleep timer wants to shut down\nyour receiver. Shutdown now?,,,'',,SOLITARY,
A small overview of the available icon states and actions.,'','','',لمحة صغيرة من الأيقونة المتاحة للحالات والإجراءات.,INCOMPLETE (ALL),
A timer failed to record!\nDisable TV and try again?\n,فشل عمليه التسجيل بالمؤقت\nقم بتعطيل التليفزيون وحاول مره ثانيه؟\n,فشل عمليه التسجيل بالمؤقت\nقم بتعطيل التليفزيون وحاول مره ثانيه؟\n,فشل عملية التسجيل بالمؤقت\nقم بتعطيل التليفزيون وحاول مره ثانية؟\n,فشل عمليه التسجيل بالمؤقت\nقم بتعطيل التليفزيون وحاول مره ثانيه؟\n,MISMATCH (ALL),
A/V settings,,'',إعدادات الصوت والصورة,,INCOMPLETE (SOME),
AAC downmix,'','','',ترميز الصوت الرقمي المزدوج,INCOMPLETE (ALL),
AC3 downmix,'',,'',ترميز الصوت الثلاثي المنخفض,INCOMPLETE (SOME),
ACQUIRING TSID/ONID,,'','',الحصول على معرف القناة/معرف الخدمة,INCOMPLETE (SOME),
AGC:,,,'',الجودة:,INCOMPLETE (SOME),
ASS File,,,'',,SOLITARY,
ASS file,,,'',ملف الترجمة,INCOMPLETE (SOME),
ATSC,'',,'',لجنة أنظمة التلفزيون المتقدمة,INCOMPLETE (SOME),
ATSC provider,,,'',مزود خدمات لجنة أنظمة التلفزيون المتقدمة,INCOMPLETE (SOME),
Abort,الغاء,الغاء,ايقاف,الغاء,MISMATCH (ALL),
Abort alternatives edit,,,لإنهاء تحرير البدائل,إلغاء تعديل البدائل,MISMATCH (SOME),
Abort bouquet edit,,,إنهاء تحرير الباقة,إلغاء تعديل الباقة,MISMATCH (SOME),
Abort favourites edit,,,إنهاء تحرير المفضلة,إلغاء تعديل المفضلات,MISMATCH (SOME),
About,عن,عن,حول,حول,MISMATCH (ALL),
Accesspoint:,نقطة وصول,نقطة وصول,نقطة وصول:,نقطة الوصول:,MISMATCH (ALL),
Activate HbbTV (Redbutton),'',,تنشيط HbbTV (الزر الأحمر),,INCOMPLETE (SOME),
Activate Picture in Picture,صوره داخل صوره نشط,صوره داخل صوره نشط,تنشيط صورة داخل صورة,تفعيل صورة داخل صورة,MISMATCH (ALL),
Activate current configuration,,,تنشيط الإعدادات الحالية,تنشيط التشكيل الحالي,MISMATCH (SOME),
Activate network settings,تفعيل إعدادات الشبكه,تفعيل إعدادات الشبكه,تنشيط إعدادات الشبكة,تفعيل إعدادات الشبكة,MISMATCH (ALL),
Activate the configured network settings.,'','',تنشيط إعدادات محول الشبكة.,تفعيل إعدادات تكوين الشبكة.,MISMATCH (ALL),
Activate timeshift End,'',,تنشيط نهاية TimeShift,,INCOMPLETE (SOME),
Activate timeshift end and pause,'',,تنشيط نهاية وتوقف مؤقت لTimeShift,تنشيط إنتهاء التحكم الزمني في البث المباشر و إيقافه,MISMATCH (SOME),
Adapter settings,إعدادات المحول,إعدادات المحول,إعدادات المحول,إعدادات المحول,CONSISTENT (ALL),
Add,أضف,أضف,إضافة,إضافة,MISMATCH (ALL),
Add a mark,أضف علامه,أضف علامه,أضف علامة,أضف علامه,MISMATCH (ALL),
Add a nameserver entry,,,إضافة بند خادم DNS,إضافة أسم الخادم المدخل,MISMATCH (SOME),
Add a new title,إضافة عنوان جديد,إضافة عنوان جديد,إضافة عنوان جديد,إضافة عنوان جديد,CONSISTENT (ALL),
Add alternatives,,,إضافة بدائل,إضافة البديل,MISMATCH (SOME),
Add bookmark,,,إضافة إشارة مرجعية,إضافة علامة مرجعية,MISMATCH (SOME),
Add bouquet,,,إضافة باقة,إضافه الى الباقة,MISMATCH (SOME),
Add bouquet to parental protection,,,'',إضافة باقة إلى الرقابة الأبوية,INCOMPLETE (SOME),
Add directory to playlist,,,إضافة دليل لقائمة التشغيل,إضافة مسار إلى قائمة التشغيل,MISMATCH (SOME),
Add file to playlist,,,إضافة ملف لقائمة التشغيل,إضافة ملف إلى قائمة التشغيل,MISMATCH (SOME),
Add files to playlist,,,إضافة ملفات لقائمة التشغيل,إضافة ملفات إلى قائمة التشغيل,MISMATCH (SOME),
Add marker,,,إضافة علامة,إضافة علامة,CONSISTENT (SOME),
Add provider,,,إضافة مزود قنوات,إضافة مزود خدمة,MISMATCH (SOME),
Add recording (enter recording duration),'','',                                                                            إضافة تسجيل (ادخل مدة التسجيل),إضافة تسجيل (أدخل مدة التسجيل),MISMATCH (ALL),
Add recording (enter recording endtime),'','',                                                                            إضافة تسجيل(أدخل زمن انتهاء التسجيل),إضافة تسجيل(أدخل زمن إنتهاء التسجيل),MISMATCH (ALL),
Add recording (indefinitely),'','',                                                                                      أضف تسجيل (غير محدد المدة),أضف تسجيل (غير محدد المده),MISMATCH (ALL),
Add recording (stop after current event),'','',                                                                   أضف تسجيل (وإيقاف بعد انتهاء البرنامج الحالى),أضف تسجيل (وإيقاف بعد انتهاء البرنامج الحالى),MISMATCH (ALL),
Add service,,,إضافة قناة,إضافة خدمة,MISMATCH (SOME),
Add service to bouquet,,,إضافة القناة إلى باقة,إضافة القناة إلى الباقة,MISMATCH (SOME),
Add service to favourites,,,إضافة القناة إلى مفضلة,إضافة القناة إلى المفضلات,MISMATCH (SOME),
Add timer,أضف مؤقت,أضف مؤقت,أضف مؤقت,أضف مؤقت,CONSISTENT (ALL),
Add title,إضافة عنوان,إضافة عنوان,إضافة عنوان,إضافة عنوان,CONSISTENT (ALL),
Add to bouquet,,إضافه الى الباقه,إضافه الى الباقة,إضافه الى الباقة,MISMATCH (SOME),
Add to favourites,,إضافه الى المفضله,إضافة الى المفضلة,إضافه الى المفضلة,MISMATCH (SOME),
Add to parental protection,,,إضافة للحماية الأبوية,إضافة الرقابة الأبوية,MISMATCH (SOME),
Add/remove change timer for current event,'',,'',,EMPTY (SOME),
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move the dish from one satellite to another satellite.,'',,'',يتيح لك خيارات النظام المتحرك الإضافي إمكانية إدخال تفاصيل من المقاييس والمواصفات الخاصة بالنظام المتحرك الخاص بك ، لذلك يمكن أن يحدد المدة التي سيستغرقها نقل الطبق من قمر صناعي إلى قمر صناعي آخر.,INCOMPLETE (SOME),
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move to another satellite.,'',,'',تتيح لك خيارات النظام المتحرك الإضافي إمكانية إدخال تفاصيل من مقايس ومواصفات النظام المتحرك ، حتى يمكن أن يحدد المدة التي سيستغرقها الانتقال من قمر إلى قمر صناعي آخر.,INCOMPLETE (SOME),
Adjust 3D settings,'','','',,EMPTY (SOME),
"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.",أضبط إعدادات الالوان بحيث يمكن تمييز أطياف اللون، لكن تبدو مشبعه قدر الامكان. إذا كانت النتيجه مرضيه أضغط موافقلاغلاق النافذه ، أو استخدم مفاتيح الارقام لاختيار شاشات اختبار أخرى,أضبط إعدادات الالوان بحيث يمكن تمييز أطياف اللون، لكن تبدو مشبعه قدر الامكان. إذا كانت النتيجه مرضيه أضغط موافقلاغلاق النافذه ، أو استخدم مفاتيح الارقام لاختيار شاشات اختبار أخرى,اضبط إعدادات الألوان بحيث تكون جميع ظلال الألوان مميزة ، ولكنها تظهر على أنها مشبعة بقدر الإمكان. إذا كنت راضيًا عن النتيجة ، فاضغط على OK لإغلاق الفيديو ، أو استخدم مفاتيح الأرقام لتحديد شاشات اختبار أخرى.,أضبط إعدادات الالوان بحيث يمكن تمييز أطياف اللون، لكن تبدو مشبعه قدر الامكان. إذا كانت النتيجه مرضيه أضغط موافق لإغلاق النافذه ، أو أستخدم مفاتيح الارقام لاختيار شاشات اختبار أخرى.,MISMATCH (ALL),
Advanced,'',,متقدم,متقدم,INCOMPLETE (SOME),
Advanced options,,,خيارات متقدمة,خيارات متقدمة,CONSISTENT (SOME),
Advanced options and settings.,,,إعدادات وخيارات متقدمة.,,SOLITARY,
Advanced restore,إستعاده متقدمه,إستعاده متقدمه,استعادة متقدمة,إستعاده متقدمة,MISMATCH (ALL),
Advanced software,,,برنامج تشغيل متقدم,برمجة متقدمة,MISMATCH (SOME),
Advanced software plugin,,,إضافات برنامج تشغيل متقدمة,نظام البلج إنز المتقدم,MISMATCH (SOME),
Advanced video enhancement setup,,,إعدادات تحسين فيديو متقدمة,إعدادات تحسين الفديو المتقدمة,MISMATCH (SOME),
Advanced video setup,,'',إعدادات فيديو متقدمة,,INCOMPLETE (SOME),
Afghanistan,'',,أفغانستانية,أفغانستان,MISMATCH (SOME),
After event,بعد الحدث,بعد الحدث,بعد الحدث,بعد الحدث,CONSISTENT (ALL),
Aland Islands,'',,'',جزر أولاند,INCOMPLETE (SOME),
Albania,'',,'',ألبانيا,INCOMPLETE (SOME),
Album,البوم,البوم,البوم,آلبوم,MISMATCH (ALL),
Algeria,'',,الجزائر,الجزائر,INCOMPLETE (SOME),
Alignment of events,'',,'',المحاذاة للأحداث,INCOMPLETE (SOME),
Alignment of service names,,,'',محاذاة أسماء القنوات,INCOMPLETE (SOME),
All,الكل,الكل,الكل,الكل,CONSISTENT (ALL),
All ages,'','','',جميع الاعمار,INCOMPLETE (ALL),
All frequency,,,'',كل الترددات,INCOMPLETE (SOME),
All satellites 1 (USALS),'',,'',جميع الأقمار الصناعية 1 (نظام مواقع الأقمار الصناعية العالمية ),INCOMPLETE (SOME),
All satellites 2 (USALS),'',,'',جميع الأقمار الصناعية 2 (نظام مواقع الأقمار الصناعية العالمية ),INCOMPLETE (SOME),
All satellites 3 (USALS),'',,'',جميع الأقمار الصناعية 3 (نظام مواقع الأقمار الصناعية العالمية ),INCOMPLETE (SOME),
All satellites 4 (USALS),'',,'',جميع الأقمار الصناعية 4 (نظام مواقع الأقمار الصناعية العالمية ),INCOMPLETE (SOME),
All services provider,,,'',,SOLITARY,
All slots,,,'',,SOLITARY,
Allocate,'','','',تخصيص,INCOMPLETE (ALL),
Allocate a number to the physical LNB you are configuring. You will be able to select this LNB again for other satellites (e.g. motorised dishes) to save setting up the same LNB multiple times.,'',,'',تخصيص رقم إلى اللاقط الفعلي التي تقوم بتكوينها. سوف تكون قادرا علي تحديد هذا اللاقط مره أخرى للأقمار الصناعية الأخرى (علي سبيل المثال الاطباق المتحركة) لحفظ اعداد نفس اللاقط عده مرات.,INCOMPLETE (SOME),
Allocate unused memory index,'','','',تخصيص فهرس الذاكرة غير المستخدمة,INCOMPLETE (ALL),
Allow 10bit,'',,'',,EMPTY (SOME),
Allow 12bit,'',,'',,EMPTY (SOME),
Allow quit movieplayer with exit,'',,'',,EMPTY (SOME),
Allow quitting movieplayer with exit,,,'',,SOLITARY,
Allow subtitle language to equal audio language,'','','',السماح بمساواة الترجمة النصية مع الصوت للغات,INCOMPLETE (ALL),
Allow subtitles for hearing impaired,'','','',السماح بمساع الترجمة الصوتية,INCOMPLETE (ALL),
Allow unsupported modes,'',,'',,EMPTY (SOME),
Alpha,الفا,الفا,الفا,آلفا,MISMATCH (ALL),
Also import at reboot/restart enigma2,,,استيراد أيضا عند إعادة تشغيل اينجما2/ جهاز الاستقبال,,SOLITARY,
Also import from the extension menu,,,'',,SOLITARY,
Also import when box is leaving standby,,,'',,SOLITARY,
Also on standby,'',,'',جاهز لوضع الاستعداد,INCOMPLETE (SOME),
Alternative,,,بديل,بديل,CONSISTENT (SOME),
Alternative URL for images listed on FlashImage,,,'',,SOLITARY,
Alternative URLs for DVB-T/C or ATSC,,,'',,SOLITARY,
Alternative numbering mode,'','',نظام ترقيم بديل,وضع الأرقام البديلة,MISMATCH (ALL),
Alternative services tuner priority,أولوية الموالف للقنوات البديله,أولوية الموالف للقنوات البديله,أولوية الموالف للقنوات البديله,أولوية المؤالف للقنوات البديله,MISMATCH (ALL),
Always ask,'','',السؤال دائما,أسال دائما,MISMATCH (ALL),
Always hide infobar,'','','',دائما إخفاء شريط المعلومات,INCOMPLETE (ALL),
Always include ECM in recordings,'',,'',,EMPTY (SOME),
"Always include ECM messages in recordings. This overrides the individual timer settings globally. It allows recordings to be always decrypted afterwards (sometimes called offline decoding), if supported by your receiver. Default: off.",'',,'',,EMPTY (SOME),
American Samoa,'',,'',ساموا الأمريكية,INCOMPLETE (SOME),
An empty filename is illegal.,غير مسموح بملف بدون اسم,غير مسموح بملف بدون اسم,لا يسمح بملف بدون اسم.,اسم ملف فارغ غير قانوني.,MISMATCH (ALL),
An error occurred - Please try again later,,,حدث خطأ ما. من فضلك حاول لاحقا,,SOLITARY,
An error occurred while downloading the packetlist. Please try again.,'','',حدث خطأ أثناء تنزيل حزمة البيانات. حاول مرة اخرى.,حدث خطأ أثناء تنزيل قائمة الحزم. حاول مرة اخرى.,MISMATCH (ALL),
An unknown error occurred!,,,حدث خطأ غير معروف !,حدث خطأ غير معروف!,MISMATCH (SOME),whitespace
And will put your receiver in standby over ,,,'',,SOLITARY,
Andorra,'',,'',أندورا,INCOMPLETE (SOME),
Angola,'',,'',أنغولا,INCOMPLETE (SOME),
Anguilla,'',,'',أنغيلا,INCOMPLETE (SOME),
Antarctica,'',,'',القطب الجنوبي,INCOMPLETE (SOME),
Antigua and Barbuda,'',,'',أنتيغوا وبربودا,INCOMPLETE (SOME),
Any activity,'','','',أي نشاط,INCOMPLETE (ALL),
Arabic,عـربى,عـربى,عـربى,العربية,MISMATCH (ALL),
Are you sure to purge all deleted user bouquets?,,,'',,SOLITARY,
Are you sure to reboot to,,,'',,SOLITARY,
Are you sure to remove all %d.%d%s%s services?,'',,'',,EMPTY (SOME),
Are you sure to remove all cable services?,'',,'',,EMPTY (SOME),
Are you sure to remove all terrestrial services?,'',,'',,EMPTY (SOME),
Are you sure to remove this entry?,,,'',هل تريد بالتاكيد أزاله هذا الإدخال ؟,INCOMPLETE (SOME),
Are you sure to restore all deleted images,,,'',,SOLITARY,
Are you sure you want to activate this network configuration?\n\n,هل أنت متاكد أنك تريد تنشيط تكوينات الشبكه؟\n\n,هل أنت متاكد أنك تريد تنشيط تكوينات الشبكه؟\n\n,هل أنت متأكد من انك تريد تنشيط هذه الإعدادات للشبكة؟\n\n,هل أنت متاكد أنك تريد تنشيط تكوينات الشبكة؟\n\n,MISMATCH (ALL),
