msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\nСлед натискане на ОК, моля, изчакайте!","\nСлед натискане на ОК, моля изчакайте!","\nСлед натискане на ОК, моля изчакайте!","\nСлед натискане на ОК, моля изчакайте!",MISMATCH (ALL)
\nConflict detection disabled!,,,\nОткриването на конфликти е изключено!,,SOLITARY
\nPress OK on your remote control to continue.,"\nНатиснете OK на дистанционното управление, за да продължите.",\nНатиснете ОК на дистанционното за да продължите.,\nНатиснете ОК на дистанционното за да продължите.,\nНатиснете ОК на дистанционното за да продължите.,MISMATCH (ALL)
\nPress OK or Exit to abort!,,,\nНатиснете ОК или Exit за изход!,,SOLITARY
\nRecording in progress.,\nЗаписът е в ход.,,\nИзвършва се запис.,,MISMATCH (SOME)
\nTimer '%s' disabled!,,,\nТаймер '%s' е спрян!,'',INCOMPLETE (SOME)
 (0 - all networks),,, (0 - всички мрежи),,SOLITARY
 (Channel %s), (Канал %s),, (Канал %s),,CONSISTENT (SOME)
 (Partition %d), (Раздел %d),, (Раздел %d),,CONSISTENT (SOME)
 (PiP),'','', (PiP),,INCOMPLETE (SOME)
 (Radio), (Радио),'', (Радио),,INCOMPLETE (SOME)
 (TV), (ТВ),'', (ТВ),,INCOMPLETE (SOME)
 (disabled), (деактивиран),, (деактивиран),,CONSISTENT (SOME)
 (higher than any auto), (висок приоритет от автоматично),, (по-висок от всеки авто),'',MISMATCH (SOME)
 (higher than rotor any auto), (висок приоритет от автоматично или ротор),, (по-висок от ротор всеки авто),'',MISMATCH (SOME)
 (lower than any auto), (нисък приоритет от автоматично),, (по-нисък от всеки авто),'',MISMATCH (SOME)
 extensions.,,, разширения.,,SOLITARY
 min,,, мин,,SOLITARY
 ms,,, ms,,SOLITARY
 packages selected.,,, избрани пакети.,,SOLITARY
 updates available.,,, налични актуализации.,,SOLITARY
%.0f GB,'',,%.0f ГБ,'',INCOMPLETE (SOME)
%.0f MB,'',,%.0f МБ,'',INCOMPLETE (SOME)
%.0f kB,,,%.0f кб,'',INCOMPLETE (SOME)
%.1f° E,,,'',,SOLITARY
%.1f° W,,,'',,SOLITARY
%.2f GB,'',,%.2f ГБ,'',INCOMPLETE (SOME)
%02d:%02d,'',,%2d:%02d,,INCOMPLETE (SOME)
%03d MB,,,%03d MB,'',INCOMPLETE (SOME)
%2.1f sec,'',,%2.1f сек,'',INCOMPLETE (SOME)
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME)
%2d:%02d:%02d,,'',%2d:%02d:%02d,,INCOMPLETE (SOME)
%3.01f dB,,,%3.01f dB,'',INCOMPLETE (SOME)
%A %d %B,'',,%A %d %B,'',INCOMPLETE (SOME)
%A %e %B,,'',%A %d %B,,INCOMPLETE (SOME)
%A %e %B %Y,,'',%A %e %B %Y,,INCOMPLETE (SOME)
%H:%M,'',%Ч:%М,%Ч:%М,%Ч:%М,INCOMPLETE (ALL)
%a %e %B %Y,,'',%a %e %B %Y,,INCOMPLETE (SOME)
%a %e/%m,,'',%a %e/%m,,INCOMPLETE (SOME)
%a %e/%m  %-H:%M,,'',%a %e/%m  %-Ч:%М,,INCOMPLETE (SOME)
%d B,,,%d Б,'',INCOMPLETE (SOME)
%d GB,'','',%d GB,'',INCOMPLETE (ALL)
%d MB,'','',%d MB,'',INCOMPLETE (ALL)
%d fps,,,%d fps,,SOLITARY
%d kB,'','','','',EMPTY (ALL)
%d kB/s,,,'',,SOLITARY
%d min,%d мин,%d мин,%d мин,%d мин,CONSISTENT (ALL)
%d minutes,%d минути,'',%d минути,'',INCOMPLETE (ALL)
%d ms,,,%d мс,,SOLITARY
%d sec,,,%d сек,,SOLITARY
%d-%m,'',,%d-%m,,INCOMPLETE (SOME)
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY
%d.%B %Y,,'',%d.%B %Y,,INCOMPLETE (SOME)
%d.%d,,,%d.%d,,SOLITARY
%d.%d.%d,,,%d.%d %d,,SOLITARY
%d:%02d,,,%d:%02d,,SOLITARY
%k:%M %e/%m,,'',%k:%M %e/%m,,INCOMPLETE (SOME)
