msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",'','',"\nDesprés de prémer d'acord, si us plau esperi!",'',INCOMPLETE (ALL),
\nConflict detection disabled!,,,\n de conflictes desactivat!,,SOLITARY,
\nPress OK on your remote control to continue.,'','',\nPremeu bé al comandament a distància per continuar.,'',INCOMPLETE (ALL),
\nPress OK or Exit to abort!,,,\n OK per a buscar!,,SOLITARY,
\nRecording in progress.,'',,\nGravació en curs.,,INCOMPLETE (SOME),
\nTimer '%s' disabled!,,,"\n temporitzador \"" %s\"" està desactivat!",'',INCOMPLETE (SOME),
 (0 - all networks),,, (0 - all networks),'',INCOMPLETE (SOME),
 (Channel %s),'',, (Canal %s),,INCOMPLETE (SOME),
 (Partition %d),'',, (Partició% d),,INCOMPLETE (SOME),
 (PiP),'','', (PiP),,INCOMPLETE (SOME),
 (Radio),'','', (Radio),,INCOMPLETE (SOME),
 (TV),'','', (TV),,INCOMPLETE (SOME),
 (disabled),'',, (Desactivat),,INCOMPLETE (SOME),
 (higher than any auto),'',, (superior a qualsevol autol),'',INCOMPLETE (SOME),
 (higher than rotor any auto),'',, (superior al rotor qualsevol auto),'',INCOMPLETE (SOME),
 (lower than any auto),'',, (superior a qualsevol autol),'',INCOMPLETE (SOME),
 extensions.,,, extensions.,,SOLITARY,
 min,,, min,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, paquet seleccionat,,SOLITARY,
 updates available.,,, actualitzacions disponibles.,,SOLITARY,
%.0f GB,'',,%.0f GB,'',INCOMPLETE (SOME),
%.0f MB,'',,%.0f GB,'',INCOMPLETE (SOME),
%.0f kB,,,%.0f kB,'',INCOMPLETE (SOME),
%.1f° E,,,%.1f° E,,SOLITARY,
%.1f° W,,,%.1f° W,,SOLITARY,
%.2f GB,'',,%.2f GB,'',INCOMPLETE (SOME),
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME),
%03d MB,'',,%03d MB,'',INCOMPLETE (SOME),
%2.1f sec,'',,%2.1f sec,'',INCOMPLETE (SOME),
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME),
%2d:%02d:%02d,,'',%2d:%02d:%02d,,INCOMPLETE (SOME),
%3.01f dB,,,%3.01f dB,'',INCOMPLETE (SOME),
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME),
%A %e %B,,'',%A %e %B,,INCOMPLETE (SOME),
%A %e %B %Y,,'',%A %e %B %Y,,INCOMPLETE (SOME),
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL),
%a %e %B %Y,,'',%a %e %B %Y,,INCOMPLETE (SOME),
%a %e/%m,,'',%a %e/%m,,INCOMPLETE (SOME),
%a %e/%m  %-H:%M,,'',%a %e/%m  %-H:%M,,INCOMPLETE (SOME),
%d B,,,%d B,'',INCOMPLETE (SOME),
%d GB,'','',%d GB,'',INCOMPLETE (ALL),
%d MB,'','',%d MB,'',INCOMPLETE (ALL),
%d fps,,,%d fps,,SOLITARY,
%d kB,'','',%d kB,'',INCOMPLETE (ALL),
