msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\nPo stisknutí OK čekejte, prosím!",,"\nPo stisknutí OK čekejte, prosím!","\nPo stisknutí OK čekejte, prosím!",CONSISTENT (SOME),
\nConflict detection disabled!,,,\nDetekce konfliktů zakázána!,,SOLITARY,
\nPress OK on your remote control to continue.,\nDále stiskněte OK na dálkovém ovladači.,\nDále stiskněte OK na dálkovém ovladači.,\nPro pokračování stiskněte OK na dálkovém ovladači.,\nPro pokračování stiskněte OK na dálkovém ovladači.,MISMATCH (ALL),
\nPress OK or Exit to abort!,,,\nStiskněte OK nebo Exit pro zrušení!,,SOLITARY,
\nRecording in progress.,,,\nNahrává se.,\nProbíhá nahrávání.,MISMATCH (SOME),
\nTimer '%s' disabled!,,,\nČasovač '%s' zakázán!,\nČasovač '%s' zrušen!,MISMATCH (SOME),
 (0 - all networks),,, (0 - všechny sítě), (0 - všechny sítě),CONSISTENT (SOME),
 (Channel %s),,, (Kanál %s), (Kanál %s),CONSISTENT (SOME),
 (Partition %d),,, (Oddíl %d),,SOLITARY,
 (PiP),'','', (Pip),,INCOMPLETE (SOME),
 (Radio), (Rádio), (Rádio), (Rádio),,CONSISTENT (SOME),
 (TV),'','', (TV),,INCOMPLETE (SOME),
 (disabled),,, (zakázáno), zakázáno,MISMATCH (SOME),
 (higher than any auto), (vyšší priorita než nastavení na 'Auto'), (vyšší priorita než nastavení na 'Auto'), (vyšší než jakékoliv auto), (vyšší než jakékoliv auto),MISMATCH (ALL),
 (higher than rotor any auto), (vyšší priorita než nastavení na 'Auto' nebo natáčení), (vyšší priorita než nastavení na 'Auto' nebo natáčení), (vyšší než jakékoliv auto motoru), (vyšší než jakékoliv auto motoru),MISMATCH (ALL),
 (lower than any auto), (nižší priorita než nastavení na 'Auto'), (nižší priorita než nastavení na 'Auto'), (nižší než jakékoliv auto), (nižší než jakékoliv auto),MISMATCH (ALL),
 extensions.,,,rozšíření.,,SOLITARY,
 min,,, min,,SOLITARY,
 ms,,,ms,,SOLITARY,
 packages selected.,,, balíčků vybráno.,,SOLITARY,
 updates available.,,, dostupných aktualizací.,,SOLITARY,
%.0f GB,'',,%.0f GB,'',INCOMPLETE (SOME),
%.0f MB,'',,%.0f MB,'',INCOMPLETE (SOME),
%.0f kB,,,%.0f kB,'',INCOMPLETE (SOME),
%.1f° E,,,%.1f° E,,SOLITARY,
%.1f° W,,,%.1f° W,,SOLITARY,
%.2f GB,'',,%.2f GB,'',INCOMPLETE (SOME),
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME),
%03d MB,,,%03d MB,'',INCOMPLETE (SOME),
%2.1f sec,'',,%2.1f sec,'',INCOMPLETE (SOME),
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME),
%2d:%02d:%02d,,'',%2d:%02d:%02d,,INCOMPLETE (SOME),
%3.01f dB,,,%3.01f dB,'',INCOMPLETE (SOME),
%A %d %B,,,%A %d %B,'',INCOMPLETE (SOME),
%A %e %B,,%A %e. %B,%A %e. %B,,CONSISTENT (SOME),
%A %e %B %Y,,%A %e. %B %Y,%A %e. %B %Y,,CONSISTENT (SOME),
%H:%M,'',%H:%M,%H:%M,'',INCOMPLETE (ALL),
%a %e %B %Y,,,%a %e. %B %Y,,SOLITARY,
%a %e/%m,,%a %e/%m,%a %e/%m,,UNCHANGED (SOME),
%a %e/%m  %-H:%M,,,%a %e/%m  %-H:%M,,SOLITARY,
%d B,,,%d B,'',INCOMPLETE (SOME),
%d GB,'','',%d GB,'',INCOMPLETE (ALL),
%d MB,,,%d MB,'',INCOMPLETE (SOME),
%d fps,,,%d fps,,SOLITARY,
%d kB,'',%d kB,%d kB,'',INCOMPLETE (ALL),
%d kB/s,,,%d kB/s,,SOLITARY,
%d min,'',%d min,%d min,'',INCOMPLETE (ALL),
%d minutes,%d minut,%d minut,%d minut,%d minut,CONSISTENT (ALL),
%d ms,,,%d ms,'',INCOMPLETE (SOME),
%d sec,,,%d sec,,SOLITARY,
%d-%m,'',%d-%m,%d-%m,,INCOMPLETE (SOME),
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY,
%d.%03d GB,'',,%d.%03d GB,'',INCOMPLETE (SOME),
%d.%B %Y,,%d. %B %Y,%d. %B %Y,,CONSISTENT (SOME),
%d.%d,,,%d.%d,,SOLITARY,
%d.%d.%d,,,%d.%d.%d,,SOLITARY,
%d:%02d,,,%d:%02d,,SOLITARY,
%k:%M %e/%m,,%k:%M %e/%m,%k:%M %e/%m,,UNCHANGED (SOME),
%s\nDo you still want to flash image\n%s?,,,%s\nChcete stále nahrát image\n%s?,,SOLITARY,
%s\nPress ok for multiboot selection\nPress exit to close,'',,%s\n\nStiskněte 'OK' pro Multiboot nebo 'Exit' pro zavření,,INCOMPLETE (SOME),
%s %d.%d,,,%s %d.%d,,SOLITARY,
%s %s free disk space,,,%s %s volného místa,,SOLITARY,
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL),
%s imported from fallback tuner,,,%s importováno ze záložního tuneru,,SOLITARY,
