msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\nEfter tryk på OK, vent venligst!","\nEfter tryk på OK, vent venligst!","\nEfter tryk på OK, vent venligst!","\nEfter tryk på OK, vent venligst!",CONSISTENT (ALL)
\nConflict detection disabled!,,,\nKonflikt detektion deaktiveret!,,SOLITARY
\nPress OK on your remote control to continue.,\nTryk OK på din fjernbetjening for at fortsætte.,\nTryk OK på din fjernbetjening for at fortsætte.,\nTryk OK på din fjernbetjening for at fortsætte.,\nTryk OK på din fjernbetjening for at fortsætte.,CONSISTENT (ALL)
\nRecording in progress.,\nOptagelse i gang.,,\nOptagelse i gang.,,CONSISTENT (SOME)
\nTimer '%s' disabled!,,,\nTimer '%s' deaktiveret!,'',INCOMPLETE (SOME)
 (0 - all networks),,,(0 - alle netværk),,SOLITARY
 (Channel %s), (Kanal %s),,(Kanal %s),,MISMATCH (SOME)
 (Partition %d),'',,(Partition %d),,INCOMPLETE (SOME)
 (PiP), (BiB), (BiB) ,(BiB) ,,MISMATCH (SOME)
 (Radio),'','',(Radio),,INCOMPLETE (SOME)
 (TV),'','',(TV),,INCOMPLETE (SOME)
 (disabled), (Deaktiveret),,(afbrudt),,MISMATCH (SOME)
 (higher than any auto), (højere end nogen auto),,(højere end andet auto),'',MISMATCH (SOME)
 (higher than rotor any auto), (højere end roter nogen auto),,(højere end rotor andet auto),'',MISMATCH (SOME)
 (lower than any auto), (lavere end nogen auto),,(lavere end andet auto),'',MISMATCH (SOME)
 extensions.,,, filendelser.,,SOLITARY
 ms,,,ms,,SOLITARY
 packages selected.,,,pakker valgt.,,SOLITARY
 updates available.,,,opdateringer tilgængelige.,,SOLITARY
%.0f GB,'',,'','',EMPTY (SOME)
%.0f MB,'',,'','',EMPTY (SOME)
%.0f kB,,,'','',EMPTY (SOME)
%.1f° E,,,'',,SOLITARY
%.1f° W,,,'',,SOLITARY
%.2f GB,'',,'','',EMPTY (SOME)
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME)
%03d MB,'',,'','',EMPTY (SOME)
%2.1f sec,%2.1f sek,,'','',INCOMPLETE (SOME)
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME)
%2d:%02d:%02d,,'',%2d:%02d:%02d,,INCOMPLETE (SOME)
%3.01f dB,,,'','',EMPTY (SOME)
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME)
%A %e %B,,'',%A %e %B,,INCOMPLETE (SOME)
%A %e %B %Y,,'',%A %e %B %Y,,INCOMPLETE (SOME)
%H:%M,'',%T:%M,%T:%M,%T:%M,INCOMPLETE (ALL)
%a %e/%m,,'',%a %e/%m,,INCOMPLETE (SOME)
%a %e/%m  %-H:%M,,'',%a %e/%m  %-H:%M,,INCOMPLETE (SOME)
%d B,,,'','',EMPTY (SOME)
%d GB,'','','','',EMPTY (ALL)
%d MB,'','','','',EMPTY (ALL)
%d kB,%d KB,'','','',INCOMPLETE (ALL)
%d kB/s,,,'',,SOLITARY
%d min,'',%d min,%d min,%d min,INCOMPLETE (ALL)
%d minutes,%d minutter,%d minutter,%d minutter,%d minutter,CONSISTENT (ALL)
%d ms,'',,'',,EMPTY (SOME)
%d sec,%d sek,,'',,INCOMPLETE (SOME)
%d-%m,'',,%d-%m,,INCOMPLETE (SOME)
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY
%d.%03d GB,'',,'','',EMPTY (SOME)
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME)
%k:%M %e/%m,,'',%k:%M %e/%m,,INCOMPLETE (SOME)
%s\nPress ok for multiboot selection\nPress exit to close,%s\nTryk OK for multiboot valg\nTryk EXIT for at lukke,,'',,INCOMPLETE (SOME)
