msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!",\nNach Druck auf OK bitte warten!,"\nNachdem OK gedrückt wurde, bitte warten!","\nNachdem Sie OK gedrückt haben, bitte warten!","\nNachdem OK gedrückt wurde, bitte warten!",MISMATCH (ALL)
\nConflict detection disabled!,,,\nKonflikterkennung deaktiviert!,,SOLITARY
\nPress OK on your remote control to continue.,\nZum Fortfahren OK drücken.,"\nDrücke OK auf der Fernbedienung, um fortzufahren.","\nDrücken Sie OK, um fortzufahren.","\nDrücke OK auf der Fernbedienung, um fortzufahren.",MISMATCH (ALL)
\nPress OK or Exit to abort!,,,\nDrücken Sie OK oder Exit um abzubrechen,,SOLITARY
\nRecording in progress.,\nLaufende Aufnahme.,,\nAufnahme läuft.,\nAufnahme läuft.,MISMATCH (SOME)
\nTimer '%s' disabled!,,,\nTimer '%s' deaktiviert!,\nTimer '%s' deaktiviert!,CONSISTENT (SOME)
 (0 - all networks),,,(0 - alle Netzwerke), (0 - Alle Netzwerke),MISMATCH (SOME)
 (Channel %s), (Kanal %s),,(Kanal %s), (Kanal %s),MISMATCH (SOME)
 (Partition %d),'',,(Partition %d),,INCOMPLETE (SOME)
 (PiP), (Bild im Bild), (PiP), (PiP),,MISMATCH (SOME)
 (Radio),'', (Radio), (Radio),,INCOMPLETE (SOME)
 (TV),'', (TV), (TV),,INCOMPLETE (SOME)
 (disabled), (deaktiviert), (deaktiviert),(deaktiviert), (deaktiviert),MISMATCH (ALL)
 (higher than any auto),'', (higher than any auto),(höher als jedes auto),'',MISMATCH (ALL)
 (higher than rotor any auto),'', (higher than rotor any auto),(höher als Rotor kein auto),'',MISMATCH (ALL)
 (lower than any auto),'', (lower than any auto), (geringer als in jedem auto),'',MISMATCH (ALL)
 extensions.,,, Erweiterungen.,,SOLITARY
 min,,,min,,SOLITARY
 ms,,, ms,,SOLITARY
 packages selected.,,, Pakete ausgewählt.,,SOLITARY
 updates available.,,, Aktualisierungen verfügbar.,,SOLITARY
%.0f GB,'',,%.0f GB,%.0f GB,INCOMPLETE (SOME)
%.0f MB,'',,%.0f MB,%.0f MB,INCOMPLETE (SOME)
%.0f kB,,,%.0f kB,%.0f kB,UNCHANGED (SOME)
%.1f° E,,,%.1f° E,,SOLITARY
%.1f° W,,,%.1f° W,,SOLITARY
%.2f GB,'',,%.2f GB,%.2f GB,INCOMPLETE (SOME)
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME)
