msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\nΑφού πιέσετε ΟΚ, παρακαλώ περιμένετε!","\nΑφού πιέσετε ΟΚ, παρακαλώ περιμένετε!","\nΑφού πιέσετε ΟΚ, παρακαλώ περιμένετε!","\nΑφού πιέσετε ΟΚ, παρακαλώ περιμένετε!",CONSISTENT (ALL)
\nConflict detection disabled!,,,\nΗ ανίχνευση διενέξεων είναι ανενεργή!,,SOLITARY
\nPress OK on your remote control to continue.,\nΠιέστε ΟΚ στο τηλεχειριστήριο για συνέχεια.,\nΠιέστε ΟΚ στο τηλεχειριστήριο για συνέχεια.,\nΠιέστε ΟΚ στο τηλεχειριστήριο για να συνεχίσετε.,\nΠιέστε ΟΚ στο τηλεχειριστήριο για συνέχεια.,MISMATCH (ALL)
\nPress OK or Exit to abort!,,,\nΠιέστε OK ή Exit για ματαίωση!,,SOLITARY
\nRecording in progress.,\nΕγγραφή σε εξέλιξη.,,\nΕγγραφή σε εξέλιξη.,\nΕγγραφή σε εξέλιξη.,CONSISTENT (SOME)
\nTimer '%s' disabled!,,,\nΟ χρονοδιακόπτης '%s' απενεργοποιήθηκε!,'',INCOMPLETE (SOME)
 (0 - all networks),,, (0 - όλα τα δίκτυα),,SOLITARY
 (Channel %s), (Κανάλι %s),, (Κανάλι %s), (Κανάλι %s),CONSISTENT (SOME)
 (Partition %d), (Διαμέρισμα %d),, (Διαμέρισμα %d),,CONSISTENT (SOME)
 (PiP),'','', (PiP),,INCOMPLETE (SOME)
 (Radio), (Ραδιόφωνο),'', (Ραδιόφωνο),,INCOMPLETE (SOME)
 (TV), (Τηλεόραση),'', (Τηλεόραση),,INCOMPLETE (SOME)
 (disabled), (ανενεργό),, (ανενεργό), (ανενεργό),CONSISTENT (SOME)
 (higher than any auto), (υψηλότερα όλων των αυτόματων),, (υψηλότερα όλων των αυτόματων), (υψηλότερα όλων των αυτόματων),CONSISTENT (SOME)
 (higher than rotor any auto), (υψηλότερα όλων των αυτόματων του μοτέρ),, (υψηλότερα όλων των αυτόματων του μοτέρ), (υψηλότερα όλων των αυτόματων του μοτέρ),CONSISTENT (SOME)
 (lower than any auto), (χαμηλότερα όλων των αυτόματων),, (χαμηλότερα όλων των αυτόματων), (χαμηλότερα όλων των αυτόματων),CONSISTENT (SOME)
 extensions.,,, επεκτάσεις.,,SOLITARY
 min,,, λεπτά,,SOLITARY
 ms,,, ms,,SOLITARY
 packages selected.,,, επιλεγμένα πακέτα.,,SOLITARY
 updates available.,,, διαθέσιμες ενημερώσεις.,,SOLITARY
%.0f GB,'',,%.0f GB,%.0f GB,INCOMPLETE (SOME)
%.0f MB,'',,%.0f MB,%.0f MB,INCOMPLETE (SOME)
%.0f kB,,,%.0f kB,,SOLITARY
%.1f° E,,,%.1f° Α,,SOLITARY
%.1f° W,,,%.1f° Δ,,SOLITARY
%.2f GB,'',,%.2f GB,,INCOMPLETE (SOME)
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME)
%03d MB,'',,%03d MB,,INCOMPLETE (SOME)
%2.1f sec,%2.1f δευτ.,,%2.1f δευτ.,'',INCOMPLETE (SOME)
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME)
%2d:%02d:%02d,,'',%2d:%02d:%02d,,INCOMPLETE (SOME)
%3.01f dB,,,%3.01f dB,'',INCOMPLETE (SOME)
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME)
%A %e %B,,'',%A %e %B,,INCOMPLETE (SOME)
%A %e %B %Y,,'',%A %e %B %Y,,INCOMPLETE (SOME)
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL)
%a %e %B %Y,,'',%a %e %B %Y,,INCOMPLETE (SOME)
%a %e/%m,,'',%a %e/%m,,INCOMPLETE (SOME)
%a %e/%m  %-H:%M,,'',%a %e/%m  %-H:%M,,INCOMPLETE (SOME)
%d B,,,%d B,'',INCOMPLETE (SOME)
%d GB,'','',%d GB,%d GB,INCOMPLETE (ALL)
%d MB,'','',%d MB,%d MB,INCOMPLETE (ALL)
%d fps,,,%d fps,,SOLITARY
%d kB,'','',%d kB,%d kB,INCOMPLETE (ALL)
%d kB/s,,,%d kB/s,,SOLITARY
%d min,%d λεπτά,%d λεπτά,%d λεπτά,%d λεπτά,CONSISTENT (ALL)
%d minutes,%d λεπτά,'',%d λεπτά,%d λεπτά,INCOMPLETE (ALL)
%d ms,'',,%d ms,,INCOMPLETE (SOME)
%d sec,%d δευτερόλεπτο,,%d δευτ,,MISMATCH (SOME)
%d-%m,'',,%d-%m,,INCOMPLETE (SOME)
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY
%d.%03d GB,'',,%d.%03d GB,,INCOMPLETE (SOME)
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME)
%d.%d,,,%d.%d,,SOLITARY
%d.%d.%d,,,%d.%d.%d,,SOLITARY
%d:%02d,,,%d:%02d,,SOLITARY
%k:%M %e/%m,,'',%k:%M %e/%m,,INCOMPLETE (SOME)
%s\nDo you still want to flash image\n%s?,,,%s\nΘέλετε να γίνει φλασάρισμα του image\n%s;,,SOLITARY
