msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",atv,,\npli,\nvix,MISMATCH (SOME),
\nConflict detection disabled!,,,'',,SOLITARY,
\nPress OK on your remote control to continue.,\nPress OK to continue...,\nPress OK on your remote control to continue.,\nPress OK on your remote control to continue.,\nPress OK on your remote control to continue.,MISMATCH (ALL),
\nRecording in progress.,'',,'',,EMPTY (SOME),
\nTimer '%s' disabled!,,,'','',EMPTY (SOME),
 (0 - all networks),,,'',,SOLITARY,
 (Channel %s),'',,'',,EMPTY (SOME),
 (Partition %d),'',,'',,EMPTY (SOME),
 (PiP),'', (PiP), (PiP),,INCOMPLETE (SOME),
 (Radio),'', (Radio), (Radio),,INCOMPLETE (SOME),
 (TV),'', (TV), (TV),,INCOMPLETE (SOME),
 (disabled),'','','',,EMPTY (SOME),
 (higher than any auto),'','','','',EMPTY (ALL),
 (higher than rotor any auto), (higher than positioner any auto),'','','',INCOMPLETE (ALL),
 (lower than any auto),'','','','',EMPTY (ALL),
 extensions.,,, extensions.,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, packages selected.,,SOLITARY,
 updates available.,,, updates available.,,SOLITARY,
%.0f GB,'',,'','',EMPTY (SOME),
%.0f MB,'',,'','',EMPTY (SOME),
%.0f kB,,,'','',EMPTY (SOME),
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,'','',EMPTY (SOME),
%02d:%02d,'',,'',,EMPTY (SOME),
%03d MB,,,'',,SOLITARY,
%2.1f sec,'',,'','',EMPTY (SOME),
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME),
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME),
%3.01f dB,,,'','',EMPTY (SOME),
%A %d %B,'','',%A %d %B,,INCOMPLETE (SOME),
%A %e %B,,%A %e %B,%A %e %B,,UNCHANGED (SOME),
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME),
