msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
\n %s is also enabled for autofs network mount,,,,'',SOLITARY,
\n(DeepStandby request changed to Standby owing to there being streaming clients.),,,,'',SOLITARY,
\nAdvanced options and settings.,,,,\nAdvanced options and settings.,SOLITARY,
"\nAfter pressing OK, please wait!",,,,"\nAfter pressing OK, please wait!",SOLITARY,
\nBackup your %s %s settings.,,,,\nBackup your %s %s settings.,SOLITARY,
\nEdit the upgrade source address.,,,,\nEdit the upgrade source address.,SOLITARY,
\nManage extensions or plugins for your %s %s,,,,\nManage extensions or plugins for your %s %s,SOLITARY,
\nOnline update of your %s %s software.,,,,\nOnline update of your %s %s software.,SOLITARY,
\nPress OK on your remote control to continue.,,,,\nPress OK on your remote control to continue.,SOLITARY,
\nRecording in progress.,,,,\nRecording in progress.,SOLITARY,
\nRestore your %s %s settings.,,,,\nRestore your %s %s settings.,SOLITARY,
\nRestore your %s %s with a new firmware.,,,,\nRestore your %s %s with a new firmware.,SOLITARY,
\nRestore your backups by date.,,,,\nRestore your backups by date.,SOLITARY,
\nScan for local extensions and install them.,,,,\nScan for local extensions and install them.,SOLITARY,
\nSelect your backup device.\nCurrent device: ,,,,\nSelect your backup device.\nCurrent device: ,SOLITARY,
\nTimer '%s' disabled!,,,,'',SOLITARY,
"\nView, install and remove available or installed packages.",,,,"\nView, install and remove available or installed packages.",SOLITARY,
 (Channel %s),,,, (Channel %s),SOLITARY,
 (disabled),,,, (disabled),SOLITARY,
 (higher than any auto),,,, (higher than any auto),SOLITARY,
 (higher than rotor any auto),,,, (higher than rotor any auto),SOLITARY,
 (lower than any auto),,,, (lower than any auto),SOLITARY,
 - video0+video1,,,,'',SOLITARY,
 and,,,, and,SOLITARY,
%-H:%M,,,,%-H:%M,SOLITARY,
%-I:%M,,,,'',SOLITARY,
%-I:%M%P,,,,'',SOLITARY,
%-I:%M%^p,,,,'',SOLITARY,
%-I:%M:%S,,,,'',SOLITARY,
%-I:%M:%S%P,,,,'',SOLITARY,
%-I:%M:%S%^p,,,,'',SOLITARY,
%-d %b,,,,'',SOLITARY,
%-d %b %Y,,,,'',SOLITARY,
%-d+%b_,,,,'',SOLITARY,
%-d-%B-%Y,,,,'',SOLITARY,
%-d-%b,,,,'',SOLITARY,
%-d-%b-%Y,,,,'',SOLITARY,
%-d. %b,,,,'',SOLITARY,
%-d.%-m,,,,'',SOLITARY,
%-d.%-m.%Y,,,,'',SOLITARY,
%-d.%m,,,,'',SOLITARY,
%-d.%m.%Y,,,,'',SOLITARY,
%-d/%-m,,,,'',SOLITARY,
%-d/%-m ,,,,'',SOLITARY,
%-d/%-m/%Y,,,,'',SOLITARY,
%-d/%m,,,,'',SOLITARY,
%-d/%m ,,,,'',SOLITARY,
%-d/%m/%Y,,,,'',SOLITARY,
%-d=%b_,,,,'',SOLITARY,
%-m/%-d,,,,'',SOLITARY,
%-m/%-d ,,,,'',SOLITARY,
%-m/%-d/%Y,,,,'',SOLITARY,
%-m/%d,,,,'',SOLITARY,
%-m/%d ,,,,'',SOLITARY,
%-m/%d/%Y,,,,'',SOLITARY,
%.0f GB,,,,%.0f GB,SOLITARY,
%.0f MB,,,,%.0f MB,SOLITARY,
%2.1f sec,,,,'',SOLITARY,
%3.01f dB,,,,'',SOLITARY,
%A %-d/%-m,,,,'',SOLITARY,
%A %-d/%-m/%Y,,,,'',SOLITARY,
%A %-d/%m,,,,'',SOLITARY,
%A %-m/%-d,,,,'',SOLITARY,
%A %-m/%-d/%Y,,,,'',SOLITARY,
%A %-m/%d,,,,'',SOLITARY,
%A %Y/%-m/%-d,,,,'',SOLITARY,
%A %Y/%-m/%d,,,,'',SOLITARY,
%A %Y/%m/%-d,,,,'',SOLITARY,
%A %Y/%m/%d,,,,'',SOLITARY,
%A %d/%-m,,,,'',SOLITARY,
%A %m/%-d,,,,'',SOLITARY,
%B-%-d-%Y,,,,'',SOLITARY,
%B-%d-%Y,,,,'',SOLITARY,
%H:%M,,,,%H:%M,SOLITARY,
%I:%M,,,,'',SOLITARY,
%I:%M%P,,,,'',SOLITARY,
%I:%M%^p,,,,'',SOLITARY,
%I:%M:%S,,,,'',SOLITARY,
%I:%M:%S%P,,,,'',SOLITARY,
%I:%M:%S%^p,,,,'',SOLITARY,
%R,,,,'',SOLITARY,
%T,,,,'',SOLITARY,
%Y %b %-d,,,,'',SOLITARY,
%Y %b %d,,,,'',SOLITARY,
%Y-%B-%-d,,,,'',SOLITARY,
%Y-%B-%d,,,,'',SOLITARY,
%Y-%b-%-d,,,,'',SOLITARY,
%Y-%b-%d,,,,'',SOLITARY,
%Y/%-m/%-d,,,,'',SOLITARY,
%Y/%-m/%d,,,,'',SOLITARY,
%Y/%m/%-d,,,,'',SOLITARY,
%Y/%m/%d,,,,'',SOLITARY,
%a %-d,,,,'',SOLITARY,
%a %-d+%b_,,,,'',SOLITARY,
%a %-d-%b,,,,'',SOLITARY,
%a %-m/%-d/%Y,,,,'',SOLITARY,
%a %Y-%b-%-d,,,,'',SOLITARY,
%a %Y-%b-%d,,,,'',SOLITARY,
%a %b-%-d,,,,'',SOLITARY,
%b %-d,,,,'',SOLITARY,
%b %-d %Y,,,,'',SOLITARY,
%b %d,,,,'',SOLITARY,
%b+%-d ,,,,'',SOLITARY,
%b+%d ,,,,'',SOLITARY,
%b-%-d,,,,'',SOLITARY,
%b-%-d-%Y,,,,'',SOLITARY,
%b-%d,,,,'',SOLITARY,
%b-%d-%Y,,,,'',SOLITARY,
%b=%-d ,,,,'',SOLITARY,
%b=%d ,,,,'',SOLITARY,
%d %B %Y,,,,%d %B %Y,SOLITARY,
%d B,,,,'',SOLITARY,
%d GB,,,,%d GB,SOLITARY,
%d KB,,,,%d KB,SOLITARY,
%d MB,,,,%d MB,SOLITARY,
%d jobs are running in the background!,,,,%d jobs are running in the background!,SOLITARY,
%d kB,,,,%d kB,SOLITARY,
%d min,,,,%d min,SOLITARY,
%d minutes,,,,%d minutes,SOLITARY,
%d of %d Bytes,,,,'',SOLITARY,
%d+%b_,,,,'',SOLITARY,
%d-%B-%Y,,,,'',SOLITARY,
%d-%b,,,,'',SOLITARY,
%d-%b-%Y,,,,'',SOLITARY,
%d. %b,,,,'',SOLITARY,
%d.%-m,,,,'',SOLITARY,
%d/%-m,,,,'',SOLITARY,
%d/%-m ,,,,'',SOLITARY,
%d/%-m/%Y,,,,'',SOLITARY,
%d/%m,,,,'',SOLITARY,
%d/%m ,,,,'',SOLITARY,
%d/%m/%Y,,,,'',SOLITARY,
%d=%b_,,,,'',SOLITARY,
%m/%-d,,,,'',SOLITARY,
%m/%-d ,,,,'',SOLITARY,
%m/%-d/%Y,,,,'',SOLITARY,
%m/%d,,,,'',SOLITARY,
%m/%d ,,,,'',SOLITARY,
