msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
\nAdvanced options and settings.,'',\nAdvanced options and settings.,,\nAdvanced options and settings.,INCOMPLETE (SOME),
"\nAfter pressing OK, please wait!",'',"\nAfter pressing OK, please wait!",,"\nAfter pressing OK, please wait!",INCOMPLETE (SOME),
\nBackup your %s %s settings.,'',\nBackup your %s %s settings.,,\nBackup your %s %s settings.,INCOMPLETE (SOME),
\nEdit the upgrade source address.,'',\nEdit the upgrade source address.,,\nEdit the upgrade source address.,INCOMPLETE (SOME),
\nManage extensions or plugins for your %s %s,'',\nManage extensions or plugins for your %s %s,,\nManage extensions or plugins for your %s %s,INCOMPLETE (SOME),
\nOnline update of your %s %s software.,'',\nOnline update of your %s %s software.,,\nOnline update of your %s %s software.,INCOMPLETE (SOME),
\nPress OK on your remote control to continue.,'',\nPress OK on your remote control to continue.,,\nPress OK on your remote control to continue.,INCOMPLETE (SOME),
\nRestore your %s %s settings.,'',\nRestore your %s %s settings.,,\nRestore your %s %s settings.,INCOMPLETE (SOME),
\nRestore your %s %s with a new firmware.,'',\nRestore your %s %s with a new firmware.,,\nRestore your %s %s with a new firmware.,INCOMPLETE (SOME),
\nRestore your backups by date.,'',\nRestore your backups by date.,,\nRestore your backups by date.,INCOMPLETE (SOME),
\nScan for local extensions and install them.,'',\nScan for local extensions and install them.,,\nScan for local extensions and install them.,INCOMPLETE (SOME),
\nSelect your backup device.\nCurrent device: ,'',\nSelect your backup device.\nCurrent device: ,,\nSelect your backup device.\nCurrent device: ,INCOMPLETE (SOME),
"\nView, install and remove available or installed packages.",'',"\nView, install and remove available or installed packages.",,"\nView, install and remove available or installed packages.",INCOMPLETE (SOME),
 (PiP),'', (PiP),,,INCOMPLETE (SOME),
 (Radio),'', (Radio),,,INCOMPLETE (SOME),
 (TV),'', (TV),,,INCOMPLETE (SOME),
 and,'', and,, and,INCOMPLETE (SOME),
%-H:%M,'',%-H:%M,,%-H:%M,INCOMPLETE (SOME),
%02d.%02d - %02d.%02d (%s%d min),,%02d.%02d - %02d.%02d (%s%d min),,,SOLITARY,
%2d:%02d,,%2d:%02d,,,SOLITARY,
%2d:%02d:%02d,,%2d:%02d:%02d,,,SOLITARY,
%A %e %B,,%A %e %B,,,SOLITARY,
%A %e %B %Y,,%A %e %B %Y,,,SOLITARY,
%A %e %b,,%A %e %b,,,SOLITARY,
%H:%M,'',%H:%M,,%H:%M,INCOMPLETE (SOME),
%a %e %B %Y,,%a %e %B %Y,,,SOLITARY,
%a %e/%m,,%a %e/%m,,,SOLITARY,
%a %e/%m  %-H:%M,,%a %e/%m  %-H:%M,,,SOLITARY,
%d GB,'',%d GB,,%d GB,INCOMPLETE (SOME),
%d Gb,'',%d Gb,,,INCOMPLETE (SOME),
%d KB,'',%d KB,,%d KB,INCOMPLETE (SOME),
%d MB,'',%d MB,,%d MB,INCOMPLETE (SOME),
%d jobs are running in the background!,,%d jobs are running in the background!,,%d jobs are running in the background!,UNCHANGED (SOME),
%d kB,'',%d kB,,%d kB,INCOMPLETE (SOME),
%d min,'',%d min,,%d min,INCOMPLETE (SOME),
%d minutes,'',%d minutes,,%d minutes,INCOMPLETE (SOME),
%d.%B %Y,,%d.%B %Y,,,SOLITARY,
%k:%M %e/%m,,%k:%M %e/%m,,,SOLITARY,
%s %s advanced remote control (native),'',%s %s advanced remote control (native),,%s %s advanced remote control (native),INCOMPLETE (SOME),
%s %s format data DVD (HDTV compatible),,%s %s format data DVD (HDTV compatible),,%s %s format data DVD (HDTV compatible),UNCHANGED (SOME),
%s %s front panel,'',%s %s front panel,,%s %s front panel,INCOMPLETE (SOME),
%s %s ir keyboard,'',%s %s ir keyboard,,%s %s ir keyboard,INCOMPLETE (SOME),
%s %s ir mouse,'',%s %s ir mouse,,%s %s ir mouse,INCOMPLETE (SOME),
%s %s remote control (native),'',%s %s remote control (native),,%s %s remote control (native),INCOMPLETE (SOME),
%s %s software because updates are available.,'',%s %s software because updates are available.,,%s %s software because updates are available.,INCOMPLETE (SOME),
%s (%s)\n,'',%s (%s)\n,,%s (%s)\n,INCOMPLETE (SOME),
%s is no longer used. Should it be deleted?,'',%s is no longer used. Should it be deleted?,,%s is no longer used. Should it be deleted?,INCOMPLETE (SOME),
%s%d min,'',%s%d min,,,INCOMPLETE (SOME),
%s/%s: %s,'',%s/%s: %s,,%s/%s: %s,INCOMPLETE (SOME),
'%s' contains %d file(s) and %d sub-directories.\n,'','%s' contains %d file(s) and %d sub-directories.\n,,'%s' contains %d file(s) and %d sub-directories.\n,INCOMPLETE (SOME),
( All readers),'',( All readers),,( All readers),INCOMPLETE (SOME),
(Show only reader:,'',(Show only reader:,,(Show only reader:,INCOMPLETE (SOME),
(ZAP),,(ZAP),,(ZAP),UNCHANGED (SOME),
(empty),'',(empty),,(empty),INCOMPLETE (SOME),
(show optional DVD audio menu),'',(show optional DVD audio menu),,(show optional DVD audio menu),INCOMPLETE (SOME),
* = Restart Required,'',* = Restart Required,,* = Restart Required,INCOMPLETE (SOME),
* Only available if more than one interface is active.,'',* Only available if more than one interface is active.,,* Only available if more than one interface is active.,INCOMPLETE (SOME),
/s,'',/s,,/s,INCOMPLETE (SOME),
1.0,'',1.0,,1.0,INCOMPLETE (SOME),
1.1,'',1.1,,1.1,INCOMPLETE (SOME),
1.2,'',1.2,,1.2,INCOMPLETE (SOME),
1080i,'',1080i,,1080i,INCOMPLETE (SOME),
1080p 24Hz,'',1080p 24Hz,,1080p 24Hz,INCOMPLETE (SOME),
1080p 25Hz,'',1080p 25Hz,,1080p 25Hz,INCOMPLETE (SOME),
1080p 30Hz,'',1080p 30Hz,,1080p 30Hz,INCOMPLETE (SOME),
