msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\nDespués de pulsar OK, espera.","\nDespués de pulsar 'OK', espera.","\nDespués de pulsar OK, espere!","\nDespués de pulsar 'OK', espera.",MISMATCH (ALL)
\nConflict detection disabled!,,,\nDesactivada la deteccion de conflictos!,,SOLITARY
\nPress OK on your remote control to continue.,\nPulsa ‘OK’ en el mando para continuar.,\nPulsa 'OK' en el mando para continuar.,\nPulse OK en su mando para continuar.,\nPulsa 'OK' en el mando para continuar.,MISMATCH (ALL)
\nPress OK or Exit to abort!,,,\nPresiona OK o Salir para abortar!,,SOLITARY
\nRecording in progress.,\nGrabación en curso.,,\nGrabacion en progreso.,,MISMATCH (SOME)
\nTimer '%s' disabled!,,,\n¡El temporizador '%s' está deshabilitado!,'',INCOMPLETE (SOME)
 (0 - all networks),,,(0 - todas las redes),,SOLITARY
 (Channel %s), (Canal %s),, (Canal %s),,CONSISTENT (SOME)
 (Partition %d), (Partición %d),, (Particion %d),,MISMATCH (SOME)
 (PiP),'', (PiP), (PiP),,INCOMPLETE (SOME)
 (Radio),'', (Radio), (Radio),,INCOMPLETE (SOME)
 (TV),'', (TV), (TV),,INCOMPLETE (SOME)
 (disabled),(deshabilitado),, (desactivado),,MISMATCH (SOME)
 (higher than any auto),(mayor que en automático),,(mayor que en automático),'',INCOMPLETE (SOME)
 (higher than rotor any auto),(mayor que el rotor en automático),,(mayor que el rotor en automático),'',INCOMPLETE (SOME)
 (lower than any auto),(menor que en automático),,(menor que en automático),'',INCOMPLETE (SOME)
 extensions.,,,extensiones.,,SOLITARY
 min,,,min,,SOLITARY
 ms,,,ms,,SOLITARY
 packages selected.,,,paquetes seleccionados.,,SOLITARY
 updates available.,,,actualizaciones disponibles.,,SOLITARY
%.0f GB,'',,%.0f GB,'',INCOMPLETE (SOME)
%.0f MB,'',,%.0f MB,'',INCOMPLETE (SOME)
%.0f kB,,,%.0f kB,'',INCOMPLETE (SOME)
%.1f° E,,,%.1f° E,,SOLITARY
%.1f° W,,,%.1f° W,,SOLITARY
%.2f GB,,,%.2f GB,'',INCOMPLETE (SOME)
%02d:%02d,,,%02d:%02d,,SOLITARY
%03d MB,,,%03d MB,,SOLITARY
%2.1f sec,'',,%2.1f sec,'',INCOMPLETE (SOME)
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME)
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME)
%3.01f dB,,,%3.01f dB,'',INCOMPLETE (SOME)
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME)
