msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!",\nVajuta OK ja oota!,\nVajuta OK ja oota!,\nVajuta OK ja oota!,\nVajuta OK ja oota!,CONSISTENT (ALL)
\nConflict detection disabled!,,,\nKonflikti avastamine keelatud!,,SOLITARY
\nPress OK on your remote control to continue.,\nJätkamiseks vajuta OK.,\nJätkamiseks vajuta OK.,\nJätkamiseks vajuta OK.,\nJätkamiseks vajuta OK.,CONSISTENT (ALL)
\nRecording in progress.,\nToimub salvestamine.,,\nSalvestus on käimas.,\nToimub salvestamine.,MISMATCH (SOME)
\nTimer '%s' disabled!,,,\nTaimer '%s'  keelatud!,\nTaimer '%s' keelati!,MISMATCH (SOME)
 (0 - all networks),,, (0 - kõik võrgud), (0 - kõik võrgud),CONSISTENT (SOME)
 (Channel %s), (Kanal %s),, (Kanal %s), (Kanal %s),CONSISTENT (SOME)
 (Partition %d), (Partitsioon %d),, (Partitsioon %d),,CONSISTENT (SOME)
 (PiP),'', (PiP), (PiP),,INCOMPLETE (SOME)
 (Radio), (Raadio), (Raadio), (Raadio),,CONSISTENT (SOME)
 (TV),'', (TV), (TV),,INCOMPLETE (SOME)
 (disabled), (keelatud),, (keelatud), (keelatud),CONSISTENT (SOME)
 (higher than any auto), (suurem kui mistahes autom.),, (suurem kui mistahes auto), (suurem kui mistahes autom.),MISMATCH (SOME)
 (higher than rotor any auto), (suurem kui ajami mistahes autom.),, (suurem kui mis tahes rootori auto), (suurem kui ajami mistahes autom.),MISMATCH (SOME)
 (lower than any auto), (väiksem kui mistahes autom.),, (väiksem kui mistahes auto), (väiksem kui mistahes autom.),MISMATCH (SOME)
 extensions.,,, laiendused.,,SOLITARY
 ms,,, ms,,SOLITARY
 packages selected.,,, paketti valitud.,,SOLITARY
 updates available.,,, uuendust saadaval.,,SOLITARY
%.0f GB,'',,%.0f GB,%.0f GB,INCOMPLETE (SOME)
%.0f MB,'',,%.0f MB,%.0f MB,INCOMPLETE (SOME)
%.0f kB,,,%.0f kB,%.0f kB,UNCHANGED (SOME)
%.1f° E,,,'',,SOLITARY
%.1f° W,,,'',,SOLITARY
%.2f GB,'',,%.2f GB,%.2f GB,INCOMPLETE (SOME)
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME)
%03d MB,,,%03d MB,%03d MB,UNCHANGED (SOME)
%2.1f sec,%2.1f sek,,%2.1f sek,%2.1f sek,CONSISTENT (SOME)
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME)
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME)
%3.01f dB,,,%3.01f dB,%3.01f dB,UNCHANGED (SOME)
%A %d %B,'',,%A %d %B,%A %d %B,INCOMPLETE (SOME)
%A %e %B,,%A %e %B,%A %e %B,,UNCHANGED (SOME)
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME)
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL)
%a %e %B %Y,,%a %e %B %Y,%a %e %B %Y,,UNCHANGED (SOME)
%a %e/%m,,%a %e/%m,%a %e/%m,,UNCHANGED (SOME)
%a %e/%m  %-H:%M,,%a %e/%m  %-H:%M,%a %e/%m  %-H:%M,,UNCHANGED (SOME)
%d B,,,%d B,%d B,UNCHANGED (SOME)
%d GB,'',%d GB,%d GB,%d GB,INCOMPLETE (ALL)
%d MB,'',%d MB,%d MB,%d MB,INCOMPLETE (ALL)
%d fps,,,%d fps,,SOLITARY
%d kB,'',%d kB,%d kB,%d kB,INCOMPLETE (ALL)
%d kB/s,,,%d kB/s,,SOLITARY
%d min,'',%d min,%d min,%d min,INCOMPLETE (ALL)
%d minutes,%d minutit,%d minutit,%d minutit,%d minutit,CONSISTENT (ALL)
%d ms,,,%d ms,%d ms,UNCHANGED (SOME)
%d sec,%d sek,,%d sekundit,,MISMATCH (SOME)
%d-%m,'',,%d-%m,,INCOMPLETE (SOME)
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY
%d.%03d GB,,,%d.%03d GB,%d.%03d GB,UNCHANGED (SOME)
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME)
%d.%d,,,%d.%d,,SOLITARY
%d.%d.%d,,,%d.%d.%d,,SOLITARY
%d:%02d,,,%d:%02d,,SOLITARY
%k:%M %e/%m,,%k:%M %e/%m,%k:%M %e/%m,,UNCHANGED (SOME)
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME)
%s %d.%d,,,%s %d.%d,,SOLITARY
%s %s free disk space,,,%s %s vaba kettaruumi,,SOLITARY
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL)
%s imported from fallback tuner,,,'',,SOLITARY
%s is no longer used. Should it be deleted?,%s ei ole enam kasutuses. Kas see tuleks kustutada?,%s ei ole enam kasutuses. Kas kustutad selle?,%s ei ole enam kasutuses. Kas see tuleks kustutada?,%s ei ole enam kasutuses. Kas see tuleks kustutada?,MISMATCH (ALL)
%s%d min,'',%s%d min,%s%d min,,INCOMPLETE (SOME)
%s/%s: %s,'',%s/%s: %s,%s/%s: %s,%s/%s: %s,INCOMPLETE (ALL)
%s:%s,,,%s:%s,%s:%s,UNCHANGED (SOME)
(VU+ type),,,(VU+ tüüp),,SOLITARY
(ZAP as PiP),,,(PiP kanalivahetus),(Kanalivahetus PiP-aknas),MISMATCH (SOME)
(ZAP),,(Kanalivahetus),(Ainult kanalivahetus),(Kanalivahetus),MISMATCH (SOME)
(activated +%d min),,,(aktiveeritud +%d min),,SOLITARY
(empty),(tühi),(tühi),(tühi),(tühi),CONSISTENT (ALL)
(not activated),,,(aktiveerimata),,SOLITARY
(show optional DVD audio menu),(näita DVD valikulist helimenüüd),(näita DVD valikulist helimenüüd),(näita DVD valikulist audio-menüüd),(kuva DVD valikuline helimenüü),MISMATCH (ALL)
(unknown),,,(tundmatu),(tundmatu),CONSISTENT (SOME)
* Only available if more than one interface is active.,* Võimalik vaid enam kui ühe aktiivse liidese puhul.,* Enam kui ühe aktiivse liidese puhul.,* Saadaval ainult enama kui ühe aktiivse liidese puhul.,* Võimalik vaid mitme aktiivse võrgukaardi puhul.,MISMATCH (ALL)
-NO SERVICE\n,-TEENUST POLE \n,,-TEENUST POLE \n,-SAATEID EI EDASTATA \n,MISMATCH (SOME)
-SERVICE ERROR:%d\n,-TEENUSE VIGA:%d\n,,-TEENUSE VIGA:%d\n,-TEENUSE VIGA:%d\n,CONSISTENT (SOME)
/s,'',/s,/s,/s,INCOMPLETE (ALL)
0,'',,0,,INCOMPLETE (SOME)
1,'',,1,,INCOMPLETE (SOME)
1.0,'',1.0,1.0,1.0,INCOMPLETE (ALL)
1.1,'',1.1,1.1,1.1,INCOMPLETE (ALL)
1.2,'',1.2,1.2,1.2,INCOMPLETE (ALL)
10 MB/s,'',,10 MB/s,10 MB/s,INCOMPLETE (SOME)
100 MB/s,'',,100 MB/s,100 MB/s,INCOMPLETE (SOME)
10bit,'',,10bit,10bit,INCOMPLETE (SOME)
12V output,12V väljund,12V väljund,12V väljund,12V väljund,CONSISTENT (ALL)
12bit,'',,12bit,12bit,INCOMPLETE (SOME)
13 V,'',13 V,13 V,13 V,INCOMPLETE (ALL)
16:10,'',16:10,16:10,16:10,INCOMPLETE (ALL)
16:10 Letterbox,16:10 letterbox,16:10 letterbox,16:10 letterbox,16:10 letterbox,CONSISTENT (ALL)
16:10 PanScan,16:10 panscan,16:10 panscan,16:10 PanScan,16:10 panscan,MISMATCH (ALL)
16:9,'',16:9,16:9,16:9,INCOMPLETE (ALL)
16:9 Letterbox,16:9 letterbox,16:9 letterbox,16:9 letterbox,16:9 letterbox,CONSISTENT (ALL)
16:9 always,alati 16:9,alati 16:9,16:9 alati,alati 16:9,MISMATCH (ALL)
16K,,,'',16K,INCOMPLETE (SOME)
