msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",\nبعد از فشار دادن دکمه OK لطفا صبر کنید,\nبعد از فشار دادن دکمه OK لطفا صبر کنید,\nبعد از فشار دادن دکمه OK لطفا صبر کنید,\nبعد از فشار دادن دکمه OK لطفا صبر کنید,CONSISTENT (ALL),
\nConflict detection disabled!,,,'',,SOLITARY,
\nPress OK on your remote control to continue.,\nدکمه OK را برای ادامه دادن فشار دهید,\nدکمه OK را برای ادامه دادن فشار دهید,\nدکمه OK را برای ادامه دادن فشار دهید,\nدکمه OK را برای ادامه دادن فشار دهید,CONSISTENT (ALL),
\nRecording in progress.,'',,'',,EMPTY (SOME),
\nTimer '%s' disabled!,,,'','',EMPTY (SOME),
 (0 - all networks),,, (0 - همه شبکه ها),,SOLITARY,
 (Channel %s),'',, (کانال %s),,INCOMPLETE (SOME),
 (Partition %d),'',, (پارتیشن %d),,INCOMPLETE (SOME),
 (PiP),(تصویر در تصویر),(تصویر در تصویر), (تصویر در تصویر),,MISMATCH (SOME),whitespace
 (Radio),(رادیو),(رادیو), (رادیو),,MISMATCH (SOME),whitespace
 (TV),(تلوزیون),(تلوزیون), (تلوزیون),,MISMATCH (SOME),whitespace
 (disabled),'',, (غیر فعال),,INCOMPLETE (SOME),
 (higher than any auto),'',,'','',EMPTY (SOME),
 (higher than rotor any auto),'',,'','',EMPTY (SOME),
 (lower than any auto),'',,'','',EMPTY (SOME),
 extensions.,,,بسته ها,,SOLITARY,
 ms,,,میلی ثانیه,,SOLITARY,
 packages selected.,,,بسته های انتخاب شده,,SOLITARY,
 updates available.,,,به روز رسانی های در دسترس,,SOLITARY,
%.0f GB,'',,%.0f گیگابایت,'',INCOMPLETE (SOME),
%.0f MB,'',,%.0f مگابایت,'',INCOMPLETE (SOME),
%.0f kB,,,%.0f کیلوبایت,'',INCOMPLETE (SOME),
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,%.2f گیگابایت,'',INCOMPLETE (SOME),
%02d:%02d,,,%02d:%02d,,SOLITARY,
%03d MB,'',,%03d مگابایت,'',INCOMPLETE (SOME),
%2.1f sec,'',,%2.1f ثانیه,'',INCOMPLETE (SOME),
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME),
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME),
%3.01f dB,,,%3.01f دسی بل,'',INCOMPLETE (SOME),
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME),
%A %e %B,,%A %e %B,%A %e %B,,UNCHANGED (SOME),
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME),
