msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",\nPaina OK-näppäintä ja odota!,"\nKun olet painanut OK-näppäintä, odota!","\nKun olet painanut OK-näppäintä, odota!","\nKun olet painanut OK-näppäintä, odota!",MISMATCH (ALL),
\nConflict detection disabled!,,,'',,SOLITARY,
\nPress OK on your remote control to continue.,\nJatka painamalla OK-näppäintä.,\n\nJatka painamalla OK-näppäintä.,\nJatka painamalla OK-näppäintä.,\n\nJatka painamalla OK-näppäintä.,MISMATCH (ALL),
\nPress OK or Exit to abort!,,,\nPaina OK tai Exit keskeyttääksesi!,,SOLITARY,
\nRecording in progress.,\nTallennus käynnissä.,,\nTallennus käynnissä.,\nTallennus käynnissä.,CONSISTENT (SOME),
\nTimer '%s' disabled!,,,\nAjastus '%s' on pois päältä!,\nAjastus '%s' on pois päältä!,CONSISTENT (SOME),
 (0 - all networks),,, (0 - kaikissa verkoissa), (0 - kaikissa verkoissa),CONSISTENT (SOME),
 (Channel %s), (Kanava %s),, (Kanava %s), (Kanava %s),CONSISTENT (SOME),
 (Partition %d), (Osio %d),, (Osio %d),,CONSISTENT (SOME),
 (PiP),'', (PiP), (PiP),,INCOMPLETE (SOME),
 (Radio),'', (Radio), (Radio),,INCOMPLETE (SOME),
 (TV),'', (TV), (TV),,INCOMPLETE (SOME),
 (disabled), (ei käytössä),, (ei käytössä), (ei käytössä),CONSISTENT (SOME),
 (higher than any auto), (korkeampi kuin mikä tahansa autom.),, (korkeampi kuin mikä tahansa autom.), (korkeampi kuin mikä tahansa autom.),CONSISTENT (SOME),
 (higher than rotor any auto), (korkeampi kuin kääntömoottori mikä tahansa autom.),, (korkeampi kuin kääntömoottori mikä tahansa autom.), (korkeampi kuin kääntömoottori mikä tahansa autom.),CONSISTENT (SOME),
 (lower than any auto), (alhaisempi kuin mikä tahansa autom.),, (alhaisempi kuin mikä tahansa autom.), (alhaisempi kuin mikä tahansa autom.),CONSISTENT (SOME),
 extensions.,,, lisäosaa.,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, pakettia valittu.,,SOLITARY,
 updates available.,,, päivitystä.,,SOLITARY,
