msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\nAprès avoir appuyé sur OK, veuillez patienter !","\nAprès avoir appuyé sur OK, veuillez patienter!","\nAprès avoir appuyé sur OK, veuillez patienter!","\nAprès avoir appuyé sur OK, veuillez patienter!",MISMATCH (ALL),whitespace
\nConflict detection disabled!,,,\nLa détection des conflits est désactivée!,,SOLITARY,
\nPress OK on your remote control to continue.,\nAppuyez sur OK sur la télécommande pour continuer.,\nPresser OK sur la télécommande pour continuer.,\nAppuyez sur OK de la télécommande pour continuer.,\nPresser OK sur la télécommande pour continuer.,MISMATCH (ALL),
\nPress OK or Exit to abort!,,,\nAppuyez sur OK ou Exit pour quitter!,,SOLITARY,
\nRecording in progress.,\nEnregistrement en cours.,\nEnregistrement en cours.,\nEnregistrement en cours.,\nEnregistrement en cours.,CONSISTENT (ALL),
\nTimer '%s' disabled!,,\nProgrammation ‘%s’ désactivée!,\nProgrammation ‘%s’ désactivée!,\nProgrammation ‘%s’ désactivée!,CONSISTENT (SOME),
 (0 - all networks),,, (0 - tous les réseaux), (0 - tous les réseaux),CONSISTENT (SOME),
 (Channel %s), (Chaîne %s), (Chaîne %s), (Chaîne %s), (Chaîne %s),CONSISTENT (ALL),
 (Partition %d),'', (Partition %d), (Partition %d),,INCOMPLETE (SOME),
 (PiP),'', (PiP), (PiP),,INCOMPLETE (SOME),
 (Radio), (Radio) , (Radio), (Radio),,MISMATCH (SOME),whitespace
 (TV), (TV) , (TV), (TV),,MISMATCH (SOME),whitespace
 (disabled), (désactivé), (désactivé), (Désactivé), (désactivé),MISMATCH (ALL),capitalisation
 (higher than any auto), (plus haut que n'importe quel auto), (plus haut que n’importe quel auto), (supérieur à n'importe quel auto), (plus haut que n’importe quel auto),MISMATCH (ALL),
 (higher than rotor any auto), (plus haute que rotor n'importe quel auto), (plus haute que rotor n’importe quel auto), (supérieur à n'importe quel rotor auto), (plus haute que rotor n’importe quel auto),MISMATCH (ALL),
 (lower than any auto), (plus bas que n'importe quel auto), (plus bas que n’importe quel auto), (inférieur à n'importe quel auto), (plus bas que n’importe quel auto),MISMATCH (ALL),
 extensions.,,, Extensions.,,SOLITARY,
 min,,, min,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, Paquets sélectionnés.,,SOLITARY,
 updates available.,,, Mises à jour disponibles.,,SOLITARY,
%.0f GB,'',%.0f GB,%.0f GB,%.0f GB,INCOMPLETE (ALL),
