msgid,openatv,openhdf,openpli,openvix,APPEARANCES,UNIQUES,DUPLICATES,EMPTIES
%H:%M,,'','','',3,0,0,3
%d min,,'','','',3,0,0,3
%d.%B %Y,,'','',,2,0,0,2
%s (%s)\n,,'','','',3,0,0,3
(ZAP),,'','','',3,0,0,3
(empty),(leech),(leech),(leech),(leech),4,1,3,0
(show optional DVD audio menu),(opsje DVD lûd menu sjen litte),(opsje DVD lûd menu sjen litte),(opsje DVD lûd menu sjen litte),(opsje DVD lûd menu sjen litte),4,1,3,0
* Only available if more than one interface is active.,* Allinne beskikber by meer dan ien aktieve ynterfaces,* Allinne beskikber by meer dan ien aktieve ynterfaces,* Allinne beskikber by meer dan ien aktieve ynterfaces,* Allinne beskikber by meer dan ien aktieve ynterfaces,4,1,3,0
0,,,'',,1,0,0,1
1,,,'',,1,0,0,1
1.0,,'','','',3,0,0,3
1.1,,'','','',3,0,0,3
1.2,,'','','',3,0,0,3
12V output,12V útgong,12V útgong,12V útgong,12V útgong,4,1,3,0
13 V,,'','','',3,0,0,3
16:10,,'','','',3,0,0,3
16:10 Letterbox,,'','','',3,0,0,3
16:10 PanScan,,'','','',3,0,0,3
16:9,,'','','',3,0,0,3
16:9 Letterbox,,'','','',3,0,0,3
16:9 always,altiid 16:9,altiid 16:9,altiid 16:9,altiid 16:9,4,1,3,0
18 V,,'','','',3,0,0,3
2,,,'',,1,0,0,1
3,,,'',,1,0,0,1
4,,,'',,1,0,0,1
4:3,,'','','',3,0,0,3
4:3 Letterbox,,'','','',3,0,0,3
4:3 PanScan,,'','','',3,0,0,3
5,,,'',,1,0,0,1
6,,,'',,1,0,0,1
7,,,'',,1,0,0,1
8,,,'',,1,0,0,1
9,,,'',,1,0,0,1
<unknown>,<net bekend>,<net bekend>,<net bekend>,<net bekend>,4,1,3,0
??,,'','','',3,0,0,3
A,,'','','',3,0,0,3
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,In konfiguraasje triem (%s) wie feroare nei ynstalaasje.\nWolle jo jo ferzje hâlde ?,In konfiguraasje triem (%s) wie feroare nei ynstalaasje.\nWolle jo jo ferzje hâlde ?,In konfiguraasje triem (%s) wie feroare nei ynstalaasje.\nWolle jo jo ferzje hâlde ?,In konfiguraasje triem (%s) wie feroare nei ynstalaasje.\nWolle jo jo ferzje hâlde ?,4,1,3,0
A record has been started:\n%s,,,In opnimmen is start:\n%s,,1,1,0,0
A recording is currently running.\nWhat do you want to do?,In opnimmen is dwaande.\nWat wolle jo dwaan ?,In opnimmen is dwaande.\nWat wolle jo dwaan ?,In opnimmen is dwaande.\nWat wolle jo dwaan ?,,3,1,2,0
A required tool (%s) was not found.,In benedicht programma (%s) wie net fûn,In benedicht programma (%s) wie net fûn,In benedicht programma (%s) wie net fûn,In benedicht programma (%s) wie net fûn,4,1,3,0
