msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\n!אחרי לחיצה על אשר,נא המתן","\n!אחרי לחיצה על אשר,נא המתן","\n!אחרי לחיצה על אשר,נא המתן","\n!אחרי לחיצה על אשר,נא המתן",CONSISTENT (ALL)
\nConflict detection disabled!,,,'',,SOLITARY
\nPress OK on your remote control to continue.,\nלחץ אשר על השלט בכדי להמשיך,\nלחץ אשר על השלט בכדי להמשיך,\nלחץ אשר על השלט בכדי להמשיך,\nלחץ אשר על השלט בכדי להמשיך,CONSISTENT (ALL)
\nRecording in progress.,'',,'',,EMPTY (SOME)
\nTimer '%s' disabled!,,,'','',EMPTY (SOME)
 (0 - all networks),,,'',,SOLITARY
 (Channel %s),'',,'',,EMPTY (SOME)
 (Partition %d),'',,'',,EMPTY (SOME)
 (PiP),'','','',,EMPTY (SOME)
 (Radio),'','','',,EMPTY (SOME)
 (TV),'','','',,EMPTY (SOME)
 (disabled),'',,'',,EMPTY (SOME)
 (higher than any auto),'',,'','',EMPTY (SOME)
 (higher than rotor any auto),'',,'','',EMPTY (SOME)
 (lower than any auto),'',,'','',EMPTY (SOME)
 extensions.,,,תוספות,,SOLITARY
 ms,,,ms,,SOLITARY
 packages selected.,,,חבילות נבחרו,,SOLITARY
 updates available.,,,עדכונים זמינים,,SOLITARY
%.0f GB,'',,'','',EMPTY (SOME)
%.0f MB,'',,'','',EMPTY (SOME)
%.0f kB,,,'','',EMPTY (SOME)
%.1f° E,,,'',,SOLITARY
%.1f° W,,,'',,SOLITARY
%.2f GB,'',,'','',EMPTY (SOME)
%02d:%02d,'',,'',,EMPTY (SOME)
%03d MB,'',,'','',EMPTY (SOME)
%2.1f sec,'',,'','',EMPTY (SOME)
%2d:%02d,,'','',,EMPTY (SOME)
%2d:%02d:%02d,,'','',,EMPTY (SOME)
%3.01f dB,,,'','',EMPTY (SOME)
%A %d %B,'',,'',,EMPTY (SOME)
%A %e %B,,'','',,EMPTY (SOME)
%A %e %B %Y,,'','',,EMPTY (SOME)
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL)
%a %e/%m,,'','',,EMPTY (SOME)
%a %e/%m  %-H:%M,,'','',,EMPTY (SOME)
%d B,,,'','',EMPTY (SOME)
%d GB,'','','','',EMPTY (ALL)
%d MB,'','','','',EMPTY (ALL)
%d fps,,,'',,SOLITARY
%d kB,'','','','',EMPTY (ALL)
%d kB/s,,,'',,SOLITARY
%d min,דקות %d,דקות %d,דקות %d,דקות %d,CONSISTENT (ALL)
%d minutes,'','','','',EMPTY (ALL)
%d ms,,,'',,SOLITARY
%d sec,'',,'',,EMPTY (SOME)
%d-%m,'',,'',,EMPTY (SOME)
%d.%02d. %02d:%02d,,,'',,SOLITARY
%d.%03d GB,'',,'','',EMPTY (SOME)
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME)
%d:%02d,,,'',,SOLITARY
%k:%M %e/%m,,'','',,EMPTY (SOME)
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME)
%s %d.%d,,,'',,SOLITARY
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL)
%s imported from fallback tuner,,,'',,SOLITARY
%s is no longer used. Should it be deleted?,'','','','',EMPTY (ALL)
%s%d min,,,'',,SOLITARY
%s/%s: %s,'','','','',EMPTY (ALL)
%s:%s,,,'','',EMPTY (SOME)
(VU+ type),,,'',,SOLITARY
(ZAP as PiP),,,'','',EMPTY (SOME)
(ZAP),,(זיפזופ),(זיפזופ),(זיפזופ),CONSISTENT (SOME)
(activated +%d min),,,'',,SOLITARY
(empty),(ריק),(ריק),(ריק),(ריק),CONSISTENT (ALL)
(not activated),,,'',,SOLITARY
