msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
\nAdvanced options and settings.,,\n高級選項和設定.,,,SOLITARY,
"\nAfter pressing OK, please wait!",,"\n按OK鍵確定後, 請稍等!",,,SOLITARY,
\nBackup your receiver settings.,,'',,,SOLITARY,
\nEdit the upgrade source address.,,\n編輯升級源地址。,,,SOLITARY,
\nManage extensions or plugins for your receiver,,'',,,SOLITARY,
\nOnline update of your receiver software.,,'',,,SOLITARY,
\nPress OK on your remote control to continue.,,\n按OK鍵確認.,,,SOLITARY,
\nRestore your backups by date.,,\n按日期恢復您的備份,,,SOLITARY,
\nRestore your receiver settings.,,'',,,SOLITARY,
\nRestore your receiver with a new firmware.,,'',,,SOLITARY,
\nScan for local extensions and install them.,,\n掃描本地套裝軟體並安裝它們。,,,SOLITARY,
\nSelect your backup device.\nCurrent device: ,,\n選擇備份裝置.\n當前的裝置:,,,SOLITARY,
"\nView, install and remove available or installed packages.",,"\n檢視, 安裝和刪除已安裝的套裝軟體。",,,SOLITARY,
 (PiP),,'',,,SOLITARY,
 (Radio),,'',,,SOLITARY,
 (TV),,'',,,SOLITARY,
 extensions.,, 擴展.,,,SOLITARY,
 ms,,'',,,SOLITARY,
 packages selected.,,節目包選擇.,,,SOLITARY,
 updates available.,,可用更新. ,,,SOLITARY,
%2d:%02d,,'',,,SOLITARY,
%2d:%02d:%02d,,'',,,SOLITARY,
%A %d %B,,'',,,SOLITARY,
%A %e %B,,'',,,SOLITARY,
%A %e %B %Y,,'',,,SOLITARY,
%H:%M,,%H:%M,,,SOLITARY,
%a %e/%m,,'',,,SOLITARY,
%a %e/%m  %-H:%M,,'',,,SOLITARY,
%d min,,%d 分鐘,,,SOLITARY,
%d minutes,,'',,,SOLITARY,
%d-%b-%Y %-H:%M,,'',,,SOLITARY,
%d-%m,,'',,,SOLITARY,
%d.%B %Y,,%d.%B %Y,,,SOLITARY,
%k:%M %e/%m,,'',,,SOLITARY,
%s %s free disk space,,'',,,SOLITARY,
%s (%s)\n,,%s (%s)\n,,,SOLITARY,
%s is no longer used. Should it be deleted?,,'',,,SOLITARY,
%s/%s: %s,,'',,,SOLITARY,
(ZAP),,(ZAP),,,SOLITARY,
(empty),,(空的),,,SOLITARY,
(show optional DVD audio menu),,(顯示可選的DVD音頻功能表),,,SOLITARY,
* Only available if more than one interface is active.,,* 僅在一個或多個網卡啟動才有效.,,,SOLITARY,
1,,1,,,SOLITARY,
1.1,,1.1,,,SOLITARY,
1.2,,1.2,,,SOLITARY,
12V output,,12V-輸出,,,SOLITARY,
13 V,,13 V,,,SOLITARY,
16:10,,16:10,,,SOLITARY,
16:10 Letterbox,,16:10 Letterbox,,,SOLITARY,
16:10 PanScan,,16:10 PanScan,,,SOLITARY,
16:9,,16:9,,,SOLITARY,
16:9 Letterbox,,16:9 Letterbox,,,SOLITARY,
16:9 always,,總是 16:9,,,SOLITARY,
18 V,,18 V,,,SOLITARY,
2,,2,,,SOLITARY,
3,,3,,,SOLITARY,
3d mode,,'',,,SOLITARY,
