msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!",'','',"\nNakon pritiska na OK, molim pričekajte!",'',INCOMPLETE (ALL)
\nConflict detection disabled!,,,\nOtkrivanje sukoba je onemogućeno!,,SOLITARY
\nPress OK on your remote control to continue.,'','',\nPritisnite OK na daljinskom upravljaču za nastavak.,'',INCOMPLETE (ALL)
\nPress OK or Exit to abort!,,,\nPritisnite OK ili EXIT za prekid!,,SOLITARY
\nRecording in progress.,'',,\nSnimanje je u tijeku.,,INCOMPLETE (SOME)
\nTimer '%s' disabled!,,,\nТаjmer '%s' onemogućen!,'',INCOMPLETE (SOME)
 (0 - all networks),,, (0 - sve mreže),,SOLITARY
 (Channel %s),'',, (Каnal %s),,INCOMPLETE (SOME)
 (Partition %d),'',, (Раrticija %d),,INCOMPLETE (SOME)
 (PiP),'','', (PiP),,INCOMPLETE (SOME)
 (Radio),'','', (Radio),,INCOMPLETE (SOME)
 (TV),'','', (ТV),,INCOMPLETE (SOME)
 (disabled),'',, (onemogućeno),,INCOMPLETE (SOME)
 (higher than any auto),'',, (veći od bilo kojeg automatskog),'',INCOMPLETE (SOME)
 (higher than rotor any auto),'',, (veći od bilo kojeg automatskog rotora),'',INCOMPLETE (SOME)
 (lower than any auto),'',, (niži od bilo kojeg automatskog),'',INCOMPLETE (SOME)
 extensions.,,, proširenja.,,SOLITARY
 min,,, min,,SOLITARY
 ms,,, ms,,SOLITARY
 packages selected.,,, izabrano paketa.,,SOLITARY
 updates available.,,, dostupna ažuriranja.,,SOLITARY
%.0f GB,'',,%.0f GB,'',INCOMPLETE (SOME)
%.0f MB,'',,%.0f MB,'',INCOMPLETE (SOME)
%.0f kB,,,%.0f kB,'',INCOMPLETE (SOME)
%.1f° E,,,%.1f° I,,SOLITARY
%.1f° W,,,%.1f° Z,,SOLITARY
%.2f GB,'',,%.2f GB,'',INCOMPLETE (SOME)
%02d:%02d,'',,%2d:%02d,,INCOMPLETE (SOME)
%03d MB,'',,%03d MB,'',INCOMPLETE (SOME)
%2.1f sec,'',,%2.1f sek,'',INCOMPLETE (SOME)
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME)
%2d:%02d:%02d,,'',%2d:%02d:%02d,,INCOMPLETE (SOME)
%3.01f dB,,,%3.01f dB,'',INCOMPLETE (SOME)
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME)
%A %e %B,,'',%A %d %B,,INCOMPLETE (SOME)
%A %e %B %Y,,'',%A %e %B %Y,,INCOMPLETE (SOME)
%H:%M,%S:%M,%S:%M,%H:%M,%S:%M,MISMATCH (ALL)
%a %e %B %Y,,'',%a %e %B %Y,,INCOMPLETE (SOME)
%a %e/%m,,'',%a %e/%m,,INCOMPLETE (SOME)
%a %e/%m  %-H:%M,,'',%a %e/%m  %-H:%M,,INCOMPLETE (SOME)
%d B,,,%d B,'',INCOMPLETE (SOME)
%d GB,'','',%d GB,'',INCOMPLETE (ALL)
%d MB,'','',%d MB,'',INCOMPLETE (ALL)
%d fps,,,%d fps,,SOLITARY
%d kB,'','',%d kB,'',INCOMPLETE (ALL)
%d kB/s,,,%d kB/s,,SOLITARY
%d min,'',%d min,%d min,%d min,INCOMPLETE (ALL)
%d minutes,'','',%d minute,'',INCOMPLETE (ALL)
%d ms,,,%d ms,,SOLITARY
%d sec,'',,%d sek,,INCOMPLETE (SOME)
%d-%m,'',,%d-%m,,INCOMPLETE (SOME)
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY
%d.%03d GB,'',,%d.%03d GB,'',INCOMPLETE (SOME)
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME)
%d.%d,,,%d.%d,,SOLITARY
%d.%d.%d,,,%d.%d.%d,,SOLITARY
%d:%02d,,,%d:%02d,,SOLITARY
%k:%M %e/%m,,'',%k:%M %e/%m,,INCOMPLETE (SOME)
%s\nDo you still want to flash image\n%s?,,,%s\nŽelite li flešati image\n%s?,,SOLITARY
%s\nPress ok for multiboot selection\nPress exit to close,'',,%s\nPritisnite ok za odabir višestrukog pokretanja.\nPritisnite izlaz i zatvorite.,,INCOMPLETE (SOME)
%s %d.%d,,,%s %d.%d,,SOLITARY
%s %s free disk space,,,%s %s slobodnog prostora na disku,,SOLITARY
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL)
%s imported from fallback tuner,,,%s uvezeno iz rezervnog tunera,,SOLITARY
%s is no longer used. Should it be deleted?,'','',%s više se ne koristi. Treba li ukloniti?,'',INCOMPLETE (ALL)
%s%% Autoinstalling %s,,,%s%% Automatska instalacija %s,,SOLITARY
%s%d min,,,%s%d min,,SOLITARY
%s/%s: %s,'','',%s/%s: %s,'',INCOMPLETE (ALL)
%s:%s,,,%s:%s,'',INCOMPLETE (SOME)
(VU+ type),,,(VU+ tip),,SOLITARY
(ZAP as PiP),,,(Prebaci kao PiP),'',INCOMPLETE (SOME)
(ZAP),,(ZAP),(Prebaci),(ZAP),MISMATCH (SOME)
(activated +%d min),,,(aktivirati +%d min),,SOLITARY
(empty),(prazno),(prazno),(prazno),(prazno),CONSISTENT (ALL)
(not activated),,,(nije aktivirano),,SOLITARY
(show optional DVD audio menu),'','',(prikaži alternativni DVD audio izbornik),'',INCOMPLETE (ALL)
(unknown),,,(nepoznat),,SOLITARY
* Only available if more than one interface is active.,'','',* Dostupno samo ako je više sučelja aktivno.,'',INCOMPLETE (ALL)
-NO SERVICE\n,'',,-NEMA USLUGE\n,'',INCOMPLETE (SOME)
-SERVICE ERROR:%d\n,'',,-GREŠKA USLUGE:%d\n,'',INCOMPLETE (SOME)
/s,'','',/s,'',INCOMPLETE (ALL)
0,'',,0,,INCOMPLETE (SOME)
1,'',,1,,INCOMPLETE (SOME)
1.0,'',1.0,1.0,1.0,INCOMPLETE (ALL)
1.1,'',1.1,1.1,1.1,INCOMPLETE (ALL)
1.2,'',1.2,1.2,1.2,INCOMPLETE (ALL)
10 MB/s,'',,10 МB/s,'',INCOMPLETE (SOME)
100 MB/s,'',,100 МB/s,'',INCOMPLETE (SOME)
10bit,'',,10bit,'',INCOMPLETE (SOME)
12V output,12V izlaz,12V izlaz,12V izlaz,12V izlaz,CONSISTENT (ALL)
12bit,'',,12bit,'',INCOMPLETE (SOME)
13 V,'',13 V,13 V,13 V,INCOMPLETE (ALL)
16:10,'','',16:10,'',INCOMPLETE (ALL)
16:10 Letterbox,'',16:10 Letterbox,16:10 Letterbox,16:10 Letterbox,INCOMPLETE (ALL)
16:10 PanScan,'',16:10 PanScan,16:10 PanScan,16:10 PanScan,INCOMPLETE (ALL)
16:9,'',16:9,16:9,16:9,INCOMPLETE (ALL)
16:9 Letterbox,'',16:9 Letterbox,16:9 Letterbox,16:9 Letterbox,INCOMPLETE (ALL)
16:9 always,uvijek 16:9 ,uvijek 16:9 ,16:9 uvijek,uvijek 16:9 ,MISMATCH (ALL)
16K,,,16K,'',INCOMPLETE (SOME)
18 V,'',18 V,18 V,18 V,INCOMPLETE (ALL)
2,'',,2,,INCOMPLETE (SOME)
20 MB/s,'',,20 МB/s,'',INCOMPLETE (SOME)
