msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\nAz OK gomb lenyomása után kérem, várjon!","\nAz OK gomb lenyomása után, kérem, várjon!","\nAz OK gomb lenyomása után kérem, várjon!","\nAz OK gomb lenyomása után, kérem, várjon!",MISMATCH (ALL),
\nConflict detection disabled!,,,\nAz ütközések figyelése ki van kapcsolva!,,SOLITARY,
\nPress OK on your remote control to continue.,\nNyomja le az OK gombot a távírányítón a folytatáshoz.,\nA folytatáshoz nyomja le az OK gombot a távírányítón,\nNyomja le az OK gombot a távírányítón a folytatáshoz.,\nA folytatáshoz nyomja le az OK gombot a távírányítón,MISMATCH (ALL),
\nPress OK or Exit to abort!,,,\nNyomja meg az OK vagy az Exit gombot a megszakításhoz!,,SOLITARY,
\nRecording in progress.,\nFelvétel folyamatban.,,\nFelvétel folyamatban.,,CONSISTENT (SOME),
\nTimer '%s' disabled!,,,\nIdőzítő '%s' kikapcsolva!,'',INCOMPLETE (SOME),
 (0 - all networks),,, (0 - összes hálózat),,SOLITARY,
 (Channel %s), (Csatorna %s),, (Csatorna %s),,CONSISTENT (SOME),
 (Partition %d), (Partíció %d),, (Partíció %d),,CONSISTENT (SOME),
 (PiP), (Kép-a-Képben),'', (Kép-a-Képben),,INCOMPLETE (SOME),
 (Radio), (Rádió),'', (Rádió),,INCOMPLETE (SOME),
 (TV),'','', (TV),,INCOMPLETE (SOME),
 (disabled), (kikapcsolva),, (kikapcsolva),,CONSISTENT (SOME),
 (higher than any auto), (magasabb mint bármelyik automatikus),, (magasabb mint bármelyik automatikus),'',INCOMPLETE (SOME),
 (higher than rotor any auto), (magasabb mint bármelyik forgó automatikus),, (magasabb mint bármelyik forgó automatikus),'',INCOMPLETE (SOME),
 (lower than any auto), (alacsonyabb mint bármelyik automatikus),, (alacsonyabb mint bármelyik automatikus),'',INCOMPLETE (SOME),
 extensions.,,, bővítmények.,,SOLITARY,
 min,,, perc,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, szoftvercsomag kiválasztva.,,SOLITARY,
 updates available.,,, frissítés elérhető.,,SOLITARY,
%.0f GB,'',,%.0f GB,'',INCOMPLETE (SOME),
%.0f MB,'',,%.0f MB,'',INCOMPLETE (SOME),
%.0f kB,,,%.0f kB,'',INCOMPLETE (SOME),
%.1f° E,,,%.1f° K,,SOLITARY,
%.1f° W,,,%.1f° NY,,SOLITARY,
%.2f GB,'',,%.2f GB,'',INCOMPLETE (SOME),
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME),
%03d MB,'',,%03d MB,'',INCOMPLETE (SOME),
%2.1f sec,%2.1f mp,,%2.1f mp,'',INCOMPLETE (SOME),
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME),
