msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",'',,"\nSetelah tekan OK, silakan tunggu!",,INCOMPLETE (SOME),
\nConflict detection disabled!,,,\nDeteksi konflik dimatikan!,,SOLITARY,
\nPress OK on your remote control to continue.,'',,\nTekan OK pada remote kontrol anda untuk melanjutkan.,,INCOMPLETE (SOME),
\nRecording in progress.,'',,'',,EMPTY (SOME),
\nTimer '%s' disabled!,,,\nPewaktu '%s' dimatikan!,,SOLITARY,
 (0 - all networks),,, (0 - semua jaringan),,SOLITARY,
 (Channel %s), (Kanal %s),, (Kanal %s),,CONSISTENT (SOME),
 (Partition %d), (Partisi %d),, (Partisi %d),,CONSISTENT (SOME),
 (PiP),'',, (PiP),,INCOMPLETE (SOME),
 (Radio),'',, (Radio),,INCOMPLETE (SOME),
 (TV),'',, (TV),,INCOMPLETE (SOME),
 (disabled), (dimatikan),, (dimatikan),,CONSISTENT (SOME),
 (higher than any auto), (lebih tinggi dari auto apapun),, (lebih tinggi dari auto),,MISMATCH (SOME),
 (higher than rotor any auto), (lebih tinggi dari rotor auto apapun),, (lebih tinggi dari auto rotor),,MISMATCH (SOME),
 (lower than any auto), (lebih rendah dari auto apapun),, (lebih rendah dari auto),,MISMATCH (SOME),
 extensions.,,, ekstensi.,,SOLITARY,
 ms,,, md,,SOLITARY,
 packages selected.,,, paket yang dipilih.,,SOLITARY,
 updates available.,,, pembaruan tersedia.,,SOLITARY,
%.0f GB,'',,%.0f GB,,INCOMPLETE (SOME),
%.0f MB,'',,%.0f MB,,INCOMPLETE (SOME),
%.0f kB,,,%.0f kB,,SOLITARY,
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,%.2f GB,,INCOMPLETE (SOME),
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME),
%03d MB,,,%03d MB,,SOLITARY,
%2d:%02d,,,%2d:%02d,,SOLITARY,
%2d:%02d:%02d,,,%2d:%02d:%02d,,SOLITARY,
%3.01f dB,,,%3.01f dB,,SOLITARY,
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME),
%A %e %B,,,%A %e %B,,SOLITARY,
%A %e %B %Y,,,%A %e %B %Y,,SOLITARY,
%H:%M,'',,%H:%M,,INCOMPLETE (SOME),
%a %e/%m,,,%a %e/%m,,SOLITARY,
%a %e/%m  %-H:%M,,,%a %e/%m  %-H:%M,,SOLITARY,
%d B,,,'',,SOLITARY,
%d GB,'',,%d B,,INCOMPLETE (SOME),
%d MB,'',,%d MB,,INCOMPLETE (SOME),
%d kB,'',,%d kB,,INCOMPLETE (SOME),
%d kB/s,,,'',,SOLITARY,
%d min,%d mnt,,%d mnt,,CONSISTENT (SOME),
%d minutes,%d menit,,%d menit,,CONSISTENT (SOME),
%d ms,,,%d md,,SOLITARY,
%d sec,,,%d dtk,,SOLITARY,
%d-%m,'',,%d-%m,,INCOMPLETE (SOME),
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY,
%d.%03d GB,,,%d.%03d GB,,SOLITARY,
%d.%B %Y,,,%d.%B %Y,,SOLITARY,
%k:%M %e/%m,,,%k:%M %e/%m,,SOLITARY,
%s\nPress ok for multiboot selection\nPress exit to close,'',,%s\nTekan OK untuk pilihan multiboot\nTekan Exit untuk menutup,,INCOMPLETE (SOME),
%s %d.%d,,,%s %d.%d,,SOLITARY,
%s %s free disk space,,,%s %s sisa penyimpanan disk,,SOLITARY,
%s (%s)\n,'',,%s (%s)\n,,INCOMPLETE (SOME),
%s is no longer used. Should it be deleted?,%s tidak lagi digunakan. Perlukah dihapus?,,%s sudah tidak digunakan. Perlu dihapus?,,MISMATCH (SOME),
