msgid,openatv,openhdf,openpli,openvix,APPEARANCES,UNIQUES,DUPLICATES,EMPTIES
"\nAfter pressing OK, please wait!",\nBíðið eftir að hafa ýtt á OK!,\nBíðið eftir að hafa ýtt á OK!,\nBíðið eftir að hafa ýtt á OK!,\nBíðið eftir að hafa ýtt á OK!,4,1,3,0
\nPress OK on your remote control to continue.,\nÝtið á OK á fjarstýringunni til að halda áfram.,\nÝtið á OK á fjarstýringunni til að halda áfram.,\nÝtið á OK á fjarstýringunni til að halda áfram.,\nÝtið á OK á fjarstýringunni til að halda áfram.,4,1,3,0
 extensions.,,, viðbætur.,,1,1,0,0
 ms,,,'',,1,0,0,1
 packages selected.,,, pakkar valdir.,,1,1,0,0
 updates available.,,, uppfærslur tiltækar.,,1,1,0,0
%H:%M,,'','','',3,0,0,3
%d min,,'','','',3,0,0,3
%d.%B %Y,,'','',,2,0,0,2
%s (%s)\n,,'','','',3,0,0,3
(ZAP),,(STÖKK),(STÖKK),(STÖKK),3,1,2,0
(empty),(tómt),(tómt),(tómt),(tómt),4,1,3,0
(show optional DVD audio menu),(sýna viðbótar DVD hljóð valmynd),(sýna viðbótar DVD hljóð valmynd),(sýna viðbótar DVD hljóð valmynd),(sýna viðbótar DVD hljóð valmynd),4,1,3,0
* Only available if more than one interface is active.,* Bara virkt ef að fleira en eitt tæki er virkt.,* Bara virkt ef að fleira en eitt tæki er virkt.,* Bara virkt ef að fleira en eitt tæki er virkt.,* Bara virkt ef að fleira en eitt tæki er virkt.,4,1,3,0
0,,,'',,1,0,0,1
1,,,'',,1,0,0,1
1.0,,'','','',3,0,0,3
1.1,,'','','',3,0,0,3
1.2,,'','','',3,0,0,3
12V output,12V út,12V út,12V út,12V út,4,1,3,0
13 V,,'','','',3,0,0,3
16:10,,'','','',3,0,0,3
16:10 Letterbox,,'','','',3,0,0,3
16:10 PanScan,,'','','',3,0,0,3
16:9,,'','','',3,0,0,3
16:9 Letterbox,,'','','',3,0,0,3
16:9 always,16:9 alltaf,16:9 alltaf,16:9 alltaf,16:9 alltaf,4,1,3,0
18 V,,'','','',3,0,0,3
2,,,'',,1,0,0,1
3,,,'',,1,0,0,1
4,,,'',,1,0,0,1
4:3,,'','','',3,0,0,3
4:3 Letterbox,,'','','',3,0,0,3
4:3 PanScan,,'','','',3,0,0,3
5,,,'',,1,0,0,1
6,,,'',,1,0,0,1
7,,,'',,1,0,0,1
8,,,'',,1,0,0,1
9,,,'',,1,0,0,1
<Current movielist location>,<Núverandi staður bíómyndalista>,<Núverandi staður bíómyndalista>,<Núverandi staður bíómyndalista>,<Núverandi staður bíómyndalista>,4,1,3,0
<Default movie location>,<Sjálfgefinn staður bíómynda>,<Sjálfgefinn staður bíómynda>,<Sjálfgefinn staður bíómynda>,<Sjálfgefinn staður bíómynda>,4,1,3,0
<Last timer location>,<Síðasti staður tímastillinga>,<Síðasti staður tímastillinga>,<Síðasti staður tímastillinga>,<Síðasti staður tímastillinga>,4,1,3,0
<unknown>,<óþekkt>,<óþekkt>,<óþekkt>,<óþekkt>,4,1,3,0
??,,'','','',3,0,0,3
A,,'','','',3,0,0,3
