msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\nDopo aver premuto OK, attendere!","\nDopo aver premuto OK, attendere!","\nDopo aver premuto OK, attendere!","\nDopo aver premuto OK, attendere!",CONSISTENT (ALL)
\nConflict detection disabled!,,,\nL'individuazione dei conflitti è disabilitata!,,SOLITARY
\nPress OK on your remote control to continue.,\nPremere OK sul telecomando per continuare.,\nPremere OK per continuare.,\nPremere OK sul telecomando per continuare.,\nPremere OK per continuare.,MISMATCH (ALL)
\nPress OK or Exit to abort!,,,\nPremi OK o Esci per interrompere!,,SOLITARY
\nRecording in progress.,\nRegistrazione in corso.,,\nRegistrazione in corso.,,CONSISTENT (SOME)
\nTimer '%s' disabled!,,,\nTimer '%s' disabilitato!,'',INCOMPLETE (SOME)
 (0 - all networks),,, (0 - tutte le reti),,SOLITARY
 (Channel %s), (Canale %s),, (Canale %s),,CONSISTENT (SOME)
 (Partition %d), (Partizione %d),, (Partizione %d),,CONSISTENT (SOME)
 (PiP),'','', (PIP),,INCOMPLETE (SOME)
 (Radio),'','', (Radio),,INCOMPLETE (SOME)
 (TV),'','', (TV),,INCOMPLETE (SOME)
 (disabled), (disabilitato),, (disabilitato),(disabilitato),MISMATCH (SOME)
 (higher than any auto), (superiore a qualsiasi auto),, (prevalente rispetto a qualsiasi automatico),'',MISMATCH (SOME)
 (higher than rotor any auto), (superiore al rotore automatico),, (prevalente rispetto a qualsiasi motore automatico),'',MISMATCH (SOME)
 (lower than any auto), (inferiore a qualsiasi auto),, (secondario rispetto a qualsiasi automatico),'',MISMATCH (SOME)
 extensions.,,, estensioni.,,SOLITARY
 min,,, min,,SOLITARY
 ms,,, ms,,SOLITARY
 packages selected.,,, pacchetti selezionati.,,SOLITARY
 updates available.,,, aggiornamenti disponibili.,,SOLITARY
%.0f GB,'',,%.0f GB,'',INCOMPLETE (SOME)
%.0f MB,'',,%.0f MB,'',INCOMPLETE (SOME)
%.0f kB,,,%.0f kB,'',INCOMPLETE (SOME)
%.1f° E,,,'',,SOLITARY
%.1f° W,,,'',,SOLITARY
%.2f GB,'',,%.2f GB,'',INCOMPLETE (SOME)
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME)
%03d MB,'',,%03d MB,,INCOMPLETE (SOME)
%2.1f sec,'',,%2.1f sec,'',INCOMPLETE (SOME)
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME)
%2d:%02d:%02d,,'',%2d:%02d:%02d,,INCOMPLETE (SOME)
