msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",\nPay Ok bine bisekin!,\nPay Ok bine bisekin!,\nPay Ok bine bisekin!,\nPay Ok bine bisekin!,CONSISTENT (ALL),
\nConflict detection disabled!,,,'',,SOLITARY,
\nPress OK on your remote control to continue.,\nJi Kumanda pay Ok  bisekin.,\nJi Kumanda pay Ok  bisekin.,\nJi Kumanda pay OK bisekin.,\nJi Kumanda pay Ok  bisekin.,MISMATCH (ALL),
\nRecording in progress.,'',,'',,EMPTY (SOME),
\nTimer '%s' disabled!,,,'','',EMPTY (SOME),
 (0 - all networks),,,'',,SOLITARY,
 (Channel %s),'',,'',,EMPTY (SOME),
 (Partition %d),'',,'',,EMPTY (SOME),
 (PiP),'', (PiP), (PiP),,INCOMPLETE (SOME),
 (Radio),'', (Radio), (Radio),,INCOMPLETE (SOME),
 (TV),'', (TV), (TV),,INCOMPLETE (SOME),
 (disabled),'',,'',,EMPTY (SOME),
 (higher than any auto),'',,'','',EMPTY (SOME),
 (higher than rotor any auto),'',,'','',EMPTY (SOME),
 (lower than any auto),'',,'','',EMPTY (SOME),
 extensions.,,,Diréji,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, paket binirxine,,SOLITARY,
 updates available.,,, updates tuneye,,SOLITARY,
%.0f GB,'',,'','',EMPTY (SOME),
%.0f MB,'',,'','',EMPTY (SOME),
%.0f kB,,,'','',EMPTY (SOME),
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,'','',EMPTY (SOME),
%02d:%02d,,,'',,SOLITARY,
%03d MB,'',,'','',EMPTY (SOME),
%2.1f sec,'',,'','',EMPTY (SOME),
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME),
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME),
%3.01f dB,,,'','',EMPTY (SOME),
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME),
%A %e %B,,%A %e %B,%A %e %B,,UNCHANGED (SOME),
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME),
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL),
%a %e/%m,,%a %e/%m,%a %e/%m,,UNCHANGED (SOME),
%a %e/%m  %-H:%M,,%a %e/%m  %-H:%M,%a %e/%m  %-H:%M,,UNCHANGED (SOME),
%d B,,,'','',EMPTY (SOME),
%d GB,'','','','',EMPTY (ALL),
%d MB,'','','','',EMPTY (ALL),
%d fps,,,'',,SOLITARY,
%d kB,'','','','',EMPTY (ALL),
%d kB/s,,,'',,SOLITARY,
%d min,%d deqa,%d deqa,%d deqa,%d deqa,CONSISTENT (ALL),
%d minutes,%d deqan,%d deqan,%d deqan,%d deqan,CONSISTENT (ALL),
%d ms,,,'',,SOLITARY,
%d sec,,,'',,SOLITARY,
%d-%m,'',,%d-%m,,INCOMPLETE (SOME),
%d.%02d. %02d:%02d,,,'',,SOLITARY,
%d.%03d GB,,,'','',EMPTY (SOME),
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME),
%k:%M %e/%m,,%k:%M %e/%m,%k:%M %e/%m,,UNCHANGED (SOME),
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME),
%s %d.%d,,,'',,SOLITARY,
%s %s free disk space,,,%s %s nav diké da vekiri,,SOLITARY,
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL),
%s imported from fallback tuner,,,'',,SOLITARY,
%s is no longer used. Should it be deleted?,'',%s is no longer used. Should it be deleted?,%s is no longer used. Should it be deleted?,%s is no longer used. Should it be deleted?,INCOMPLETE (ALL),
%s%d min,,,'',,SOLITARY,
%s/%s: %s,'',%s/%s: %s,%s/%s: %s,%s/%s: %s,INCOMPLETE (ALL),
%s:%s,,,'','',EMPTY (SOME),
(VU+ type),,,'',,SOLITARY,
(ZAP as PiP),,,'','',EMPTY (SOME),
(ZAP),,(KANAL B)IGERI,(KANAL B)IGERI,(KANAL B)IGERI,CONSISTENT (SOME),
(activated +%d min),,,'',,SOLITARY,
(empty),(vala),(vala),(vala),(vala),CONSISTENT (ALL),
(not activated),,,'',,SOLITARY,
(show optional DVD audio menu),(show optional DVD dengé menu),(show optional DVD dengé menu),(show optional DVD dengé menu),(show optional DVD dengé menu),CONSISTENT (ALL),
* Only available if more than one interface is active.,'',* Only available if more than one interface is active.,* Only available if more than one interface is active.,* Only available if more than one interface is active.,INCOMPLETE (ALL),
-NO SERVICE\n,'',,'','',EMPTY (SOME),
-SERVICE ERROR:%d\n,'',,'','',EMPTY (SOME),
/s,'','','','',EMPTY (ALL),
0,'',,0,,INCOMPLETE (SOME),
1,'',,1,,INCOMPLETE (SOME),
1.0,'',1.0,1.0,1.0,INCOMPLETE (ALL),
1.1,'',1.1,1.1,1.1,INCOMPLETE (ALL),
1.2,'',1.2,1.2,1.2,INCOMPLETE (ALL),
10 MB/s,'',,'','',EMPTY (SOME),
100 MB/s,'',,'','',EMPTY (SOME),
10bit,'',,'','',EMPTY (SOME),
12V output,12V derve,12V derve,12V derve,12V derve,CONSISTENT (ALL),
12bit,'',,'','',EMPTY (SOME),
13 V,'',13 V,13 V,13 V,INCOMPLETE (ALL),
16:10,'',16:10,16:10,16:10,INCOMPLETE (ALL),
16:10 Letterbox,'',16:10 Letterbox,16:10 Letterbox,16:10 Letterbox,INCOMPLETE (ALL),
16:10 PanScan,'',16:10 PanScan,16:10 PanScan,16:10 PanScan,INCOMPLETE (ALL),
16:9,'',16:9,16:9,16:9,INCOMPLETE (ALL),
16:9 Letterbox,'',16:9 Letterbox,16:9 Letterbox,16:9 Letterbox,INCOMPLETE (ALL),
16:9 always,16:9 daim,16:9 daim,16:9 daim,16:9 daim,CONSISTENT (ALL),
16K,,,'','',EMPTY (SOME),
18 V,'',18 V,18 V,18 V,INCOMPLETE (ALL),
2,'',,2,,INCOMPLETE (SOME),
20 MB/s,'',,'','',EMPTY (SOME),
23.976,'','','','',EMPTY (ALL),
24,,,'',,SOLITARY,
25,,,'',,SOLITARY,
29.97,'','','','',EMPTY (ALL),
3,'',,3,,INCOMPLETE (SOME),
30,,,'',,SOLITARY,
3D surround,,,'',,SOLITARY,
3D surround softlimiter,,,'',,SOLITARY,
3D surround speaker position,,,'','',EMPTY (SOME),
3d mode,'',3d mode,3d mode,,INCOMPLETE (SOME),
4,'',,4,,INCOMPLETE (SOME),
420,'',,'','',EMPTY (SOME),
422,'',,'','',EMPTY (SOME),
444,'',,'','',EMPTY (SOME),
4:3,'',4:3,4:3,4:3,INCOMPLETE (ALL),
4:3 Letterbox,'',4:3 Letterbox,4:3 Letterbox,4:3 Letterbox,INCOMPLETE (ALL),
4:3 PanScan,'',4:3 PanScan,4:3 PanScan,4:3 PanScan,INCOMPLETE (ALL),
5,'',,5,,INCOMPLETE (SOME),
50 MB/s,'',,'','',EMPTY (SOME),
6,'',,6,'',INCOMPLETE (SOME),
7,'',,7,,INCOMPLETE (SOME),
8,'',,8,,INCOMPLETE (SOME),
8bit,'',,'','',EMPTY (SOME),
9,'',,9,,INCOMPLETE (SOME),
: 0000 - default (disabled),,,'',,SOLITARY,
<Current movielist location>,<konuma listekén filma>,<konuma listekén filma>,<konuma listekén filma>,<konuma listekén filma>,CONSISTENT (ALL),
<Default movie location>,<Default Nava Filma>,<Default Nava Filma>,<Default Nava Filma>,<Default Nava Filma>,CONSISTENT (ALL),
<Last timer location>,'',<Last timer location>,<Last timer location>,<Last timer location>,INCOMPLETE (ALL),
<unknown>,'',<unknown>,<unknown>,<unknown>,INCOMPLETE (ALL),
=NO STREAM\n,'',,'','',EMPTY (SOME),
??,'',??,??,??,INCOMPLETE (ALL),
A,'',A,A,A,INCOMPLETE (ALL),
A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,'',A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,INCOMPLETE (ALL),
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,'',A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,INCOMPLETE (ALL),
A file from media is in use!,,,'',,SOLITARY,
A finished record timer wants to set your\nreceiver to standby. Do that now?,,,A finished record timer wants to set your\nreceiver to standby. Do that now?,,SOLITARY,
A finished record timer wants to shut down\nyour receiver. Shutdown now?,,,A finished record timer wants to shut down\nyour receiver. Shutdown now?,,SOLITARY,
A record has been started:\n%s,,,A record has been started:\n%s,,SOLITARY,
A recording is currently running.\nWhat do you want to do?,'',A recording is currently running.\nWhat do you want to do?,A recording is currently running.\nWhat do you want to do?,,INCOMPLETE (SOME),
A recording is currently running. Please stop the recording before trying to scan.,'',A recording is currently running. Please stop the recording before trying to scan.,A recording is currently running. Please stop the recording before trying to scan.,A recording is currently running. Please stop the recording before trying to scan.,INCOMPLETE (ALL),
A recording is currently running. Please stop the recording before trying to start a testing DiSEqC.,,,'',,SOLITARY,
A required tool (%s) was not found.,'',A required tool (%s) was not found.,A required tool (%s) was not found.,A required tool (%s) was not found.,INCOMPLETE (ALL),
A search for available updates is currently in progress.,'',A search for available updates is currently in progress.,A search for available updates is currently in progress.,A search for available updates is currently in progress.,INCOMPLETE (ALL),
A second configured interface has been found.\n\nDo you want to disable the second network interface?,'',A second configured interface has been found.\n\nDo you want to disable the second network interface?,A second configured interface has been found.\n\nDo you want to disable the second network interface?,A second configured interface has been found.\n\nDo you want to disable the second network interface?,INCOMPLETE (ALL),
A sleep timer wants to set your\nreceiver to standby. Do that now?,,,A sleep timer wants to set your\nreceiver to standby. Do that now?,,SOLITARY,
A sleep timer wants to shut down\nyour receiver. Shutdown now?,,,A sleep timer wants to shut down\nyour receiver. Shutdown now?,,SOLITARY,
A small overview of the available icon states and actions.,'',A small overview of the available icon states and actions.,A small overview of the available icon states and actions.,A small overview of the available icon states and actions.,INCOMPLETE (ALL),
A timer failed to record!\nDisable TV and try again?\n,'',A timer failed to record!\nDisable TV and try again?\n,A timer failed to record!\nDisable TV and try again?\n,A timer failed to record!\nDisable TV and try again?\n,INCOMPLETE (ALL),
A/V settings,,A/V Çékirin,A/V Çékirin,,CONSISTENT (SOME),
AAC downmix,,,'',,SOLITARY,
AC3 downmix,,,AC3 downmix,,SOLITARY,
ACQUIRING TSID/ONID,,'','','',EMPTY (SOME),
AGC:,,,'','',EMPTY (SOME),
ASS File,,,'',,SOLITARY,
ASS file,,,'','',EMPTY (SOME),
ATSC,'',,'','',EMPTY (SOME),
ATSC provider,,,'',,SOLITARY,
Abort,Bettal Bike,Bettal Bike,Bettal Bike,Bettal Bike,CONSISTENT (ALL),
