msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",\nNospiediet OK un gaidiet!,\nNospiediet OK un gaidiet!,\nPēc OK nospiešanas uzgaidiet!,\nNospiediet OK un gaidiet!,MISMATCH (ALL),
\nConflict detection disabled!,,,\nKonfliktu noteikšana izslēgta!,,SOLITARY,
\nPress OK on your remote control to continue.,"\nSpiediet OK uz tālvadības pults, lai turpinātu.","\nSpiediet OK uz tālvadības pults, lai turpinātu.",\nLai turpinātu spiediet OK uz tālvadības pults.,"\nSpiediet OK uz tālvadības pults, lai turpinātu.",MISMATCH (ALL),
\nPress OK or Exit to abort!,,,\nSpiediet OK vai Iziet!,,SOLITARY,
\nRecording in progress.,'',,\nNotiek ierakstīšana.,,INCOMPLETE (SOME),
\nTimer '%s' disabled!,,,\nTaimeris '%s' izslēgts!,'',INCOMPLETE (SOME),
 (0 - all networks),,, (0 - visi tīkli),,SOLITARY,
 (Channel %s),'',, (Kanāls %s),,INCOMPLETE (SOME),
 (Partition %d),'',, (Partīcija %d),,INCOMPLETE (SOME),
 (PiP),'','', (PiP),,INCOMPLETE (SOME),
 (Radio),'','', (Radio),,INCOMPLETE (SOME),
 (TV),'','', (TV),,INCOMPLETE (SOME),
 (disabled),'',, (izslēgts),,INCOMPLETE (SOME),
 (higher than any auto),'',, (lielāks kā jebkurš auto),'',INCOMPLETE (SOME),
 (higher than rotor any auto),'',, (lielāks kā rotora jebkurš auto),'',INCOMPLETE (SOME),
 (lower than any auto),'',, (mazāks kā jebkurš auto),'',INCOMPLETE (SOME),
 extensions.,,, paplašinājumiem.,,SOLITARY,
 min,,, min,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, pakotnes izvēlētas.,,SOLITARY,
 updates available.,,, atjauninājumi pieejami.,,SOLITARY,
%.0f GB,'',,%.0f GB,'',INCOMPLETE (SOME),
%.0f MB,'',,%.0f MB,'',INCOMPLETE (SOME),
%.0f kB,,,%.0f kB,'',INCOMPLETE (SOME),
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,%.2f GB,'',INCOMPLETE (SOME),
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME),
%03d MB,'',,%03d MB,'',INCOMPLETE (SOME),
%2.1f sec,'',,%2.1f sek,'',INCOMPLETE (SOME),
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME),
%2d:%02d:%02d,,'',%2d:%02d:%02d,,INCOMPLETE (SOME),
