msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",'','',"\nTast OK, vennligst vent litt!",'',INCOMPLETE (ALL),
\nConflict detection disabled!,,,\nKonfliktsøk deaktivert!,,SOLITARY,
\nPress OK on your remote control to continue.,'','',\nTrykk OK på din fjernkontroll for å fortsette.,'',INCOMPLETE (ALL),
\nPress OK or Exit to abort!,,,\nTrykk på OK eller Exit for å avbryte!,,SOLITARY,
\nRecording in progress.,'',,\nInnspilling pågår.,'',INCOMPLETE (SOME),
\nTimer '%s' disabled!,,,\nTimer '%s' frakoblet!,'',INCOMPLETE (SOME),
 (0 - all networks),,, (0 - alle nettverk),'',INCOMPLETE (SOME),
 (Channel %s),'',, (Kanal %s),'',INCOMPLETE (SOME),
 (Partition %d),'',, (Partisjon %d),,INCOMPLETE (SOME),
 (PiP),'','', (Bilde-i-Bilde),,INCOMPLETE (SOME),
 (Radio),'','', (Radio),,INCOMPLETE (SOME),
 (TV),'','', (TV),,INCOMPLETE (SOME),
 (disabled),'',, (deaktivert),'',INCOMPLETE (SOME),
 (higher than any auto),'',, (overstyr øvre grense),'',INCOMPLETE (SOME),
 (higher than rotor any auto),'',, (overstyr motorgrense),'',INCOMPLETE (SOME),
 (lower than any auto),'',, (overstyr nedre grense),'',INCOMPLETE (SOME),
 extensions.,,, utvidelser.,,SOLITARY,
 min,,, min,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, valgte pakker.,,SOLITARY,
 updates available.,,, oppdateringer tilgjengelig.,,SOLITARY,
%.0f GB,'',,%.0f GB,'',INCOMPLETE (SOME),
%.0f MB,'',,%.0f MB,'',INCOMPLETE (SOME),
%.0f kB,,,%.0f kB,'',INCOMPLETE (SOME),
%.1f° E,,,%.1f° E,,SOLITARY,
%.1f° W,,,%.1f° W,,SOLITARY,
%.2f GB,'',,%.2f GB,'',INCOMPLETE (SOME),
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME),
%03d MB,'',,%03d MB,'',INCOMPLETE (SOME),
%2.1f sec,'',,%2.1f sek,'',INCOMPLETE (SOME),
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME),
%2d:%02d:%02d,,'',%2d:%02d:%02d,,INCOMPLETE (SOME),
%3.01f dB,,,%3.01f dB,'',INCOMPLETE (SOME),
%A %d %B,'',,%A %d %B,'',INCOMPLETE (SOME),
%A %e %B,,'',%A %e %B,,INCOMPLETE (SOME),
%A %e %B %Y,,'',%A %e %B %Y,,INCOMPLETE (SOME),
%H:%M,'','',%H:%M,'',INCOMPLETE (ALL),
%a %e %B %Y,,'',%a %e %B %Y,,INCOMPLETE (SOME),
%a %e/%m,,'',%a %e/%m,,INCOMPLETE (SOME),
%a %e/%m  %-H:%M,,'',%a %e/%m  %-H:%M,,INCOMPLETE (SOME),
%d B,,,%d B,'',INCOMPLETE (SOME),
%d GB,'','',%d GB,'',INCOMPLETE (ALL),
%d MB,'','',%d MB,'',INCOMPLETE (ALL),
%d fps,,,%d fps,,SOLITARY,
%d kB,'','',%d kB,'',INCOMPLETE (ALL),
%d kB/s,,,%d kB/s,,SOLITARY,
%d min,'','',%d min,'',INCOMPLETE (ALL),
%d minutes,'','',%d minutter,'',INCOMPLETE (ALL),
%d ms,'',,%d ms,'',INCOMPLETE (SOME),
%d sec,'',,%d sek,,INCOMPLETE (SOME),
%d-%m,'',,%d-%m,,INCOMPLETE (SOME),
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY,
%d.%03d GB,'',,%d.%03d GB,'',INCOMPLETE (SOME),
%d.%B %Y,,'',%d.%B %Y,,INCOMPLETE (SOME),
%d.%d,,,%d.%d,,SOLITARY,
%d.%d.%d,,,%d.%d.%d,,SOLITARY,
%d:%02d,,,%d:%02d,,SOLITARY,
%k:%M %e/%m,,'',%k:%M %e/%m,,INCOMPLETE (SOME),
%s\nDo you still want to flash image\n%s?,,,%s\nVil du fortsatt installere operativsystemet\n%s?,,SOLITARY,
%s\nPress ok for multiboot selection\nPress exit to close,'',,%s\nTrykk OK for valg av multiboot \nTrykk exit for å lukke,,INCOMPLETE (SOME),
%s %d.%d,,,%s %d.%d,,SOLITARY,
%s %s free disk space,,,%s %s ledig diskplass,,SOLITARY,
%s (%s)\n,'','',%s (%s)\n,'',INCOMPLETE (ALL),
%s imported from fallback tuner,,,%s importert fra reserve tuner,,SOLITARY,
%s is no longer used. Should it be deleted?,'','',%s er ikke lenger i bruk. Skal den slettes?,'',INCOMPLETE (ALL),
%s%% Autoinstalling %s,,,%s%% autoinstallasjon %s,,SOLITARY,
%s%d min,'','',%s%d min,,INCOMPLETE (SOME),
%s/%s: %s,'','',%s/%s: %s,'',INCOMPLETE (ALL),
%s:%s,,,%s:%s,'',INCOMPLETE (SOME),
(VU+ type),,,(VU+ type),,SOLITARY,
(ZAP as PiP),,,(ZAP som PiP),'',INCOMPLETE (SOME),
(ZAP),,'',(SKIFT),'',INCOMPLETE (SOME),
(activated +%d min),,,(aktivert +%d min),,SOLITARY,
(empty),'','',(tom),'',INCOMPLETE (ALL),
(not activated),,,(ikke aktivert),,SOLITARY,
(show optional DVD audio menu),'','',(vis valgfri DVD lydmeny),'',INCOMPLETE (ALL),
(unknown),,,(ukjent),'',INCOMPLETE (SOME),
* Only available if more than one interface is active.,'','',* Kun tilgjengelig hvis flere nettverkskort er i bruk.,'',INCOMPLETE (ALL),
-NO SERVICE\n,'',,-INGEN TJENESTE\n,'',INCOMPLETE (SOME),
-SERVICE ERROR:%d\n,'',,-KANAL FEIL:%d\n,'',INCOMPLETE (SOME),
/s,'','',/s,'',INCOMPLETE (ALL),
0,'',,0,,INCOMPLETE (SOME),
1,'',,1,,INCOMPLETE (SOME),
1.0,'','',1.0,'',INCOMPLETE (ALL),
1.1,'','',1.1,'',INCOMPLETE (ALL),
1.2,'','',1.2,'',INCOMPLETE (ALL),
10 MB/s,'',,10 MB/s,'',INCOMPLETE (SOME),
100 MB/s,'',,100 MB/s,'',INCOMPLETE (SOME),
10bit,'',,10bit,'',INCOMPLETE (SOME),
12V output,'','',12V utgang,'',INCOMPLETE (ALL),
12bit,'',,12bit,'',INCOMPLETE (SOME),
13 V,'','',13V,'',INCOMPLETE (ALL),
16:10,'','',16:10,'',INCOMPLETE (ALL),
16:10 Letterbox,'','',16:10 Brevsprekkformat,'',INCOMPLETE (ALL),
16:10 PanScan,'','',16:10 Breddereduksjon,'',INCOMPLETE (ALL),
16:9,'','',16:9,'',INCOMPLETE (ALL),
16:9 Letterbox,'','',16:9 Brevsprekkformat,'',INCOMPLETE (ALL),
16:9 always,'','',16:9 alltid,'',INCOMPLETE (ALL),
16K,,,16K,'',INCOMPLETE (SOME),
18 V,'','',18V,'',INCOMPLETE (ALL),
2,'',,2,,INCOMPLETE (SOME),
20 MB/s,'',,20 MB/s,'',INCOMPLETE (SOME),
23.976,'','',23.976,'',INCOMPLETE (ALL),
24,'','',24,'',INCOMPLETE (ALL),
25,'','',25,'',INCOMPLETE (ALL),
29.97,'','',29.97,'',INCOMPLETE (ALL),
3,'',,3,'',INCOMPLETE (SOME),
30,'','',30,'',INCOMPLETE (ALL),
3D surround,,,3D surround,'',INCOMPLETE (SOME),
3D surround softlimiter,,,3D surround softlimiter,,SOLITARY,
3D surround speaker position,,,3D surround høyttaler posisjon,'',INCOMPLETE (SOME),
3d mode,'','',3D valg,,INCOMPLETE (SOME),
420,'',,420,'',INCOMPLETE (SOME),
422,'',,422,'',INCOMPLETE (SOME),
444,'',,444,'',INCOMPLETE (SOME),
4:3,'','',4:3,'',INCOMPLETE (ALL),
4:3 Letterbox,'','',4:3 Brevsprekkformat,'',INCOMPLETE (ALL),
4:3 PanScan,'','',4:3 Breddereduksjon,'',INCOMPLETE (ALL),
4K,,,4K,'',INCOMPLETE (SOME),
5,'',,5,'',INCOMPLETE (SOME),
50 MB/s,'',,50 MB/s,'',INCOMPLETE (SOME),
6,'',,6,'',INCOMPLETE (SOME),
7,'',,7,,INCOMPLETE (SOME),
8K,,,8K,'',INCOMPLETE (SOME),
8bit,'',,8bit,'',INCOMPLETE (SOME),
9,'',,9,,INCOMPLETE (SOME),
: 0000 - default (disabled),,,: 0000 - standard (frakoblet),,SOLITARY,
<Current movielist location>,'','',<Gjeldende opptaksmappe>,'',INCOMPLETE (ALL),
<Default movie location>,'','',<Standard opptaksmappe>,'',INCOMPLETE (ALL),
<Last timer location>,'','',<Siste timer mappe>,'',INCOMPLETE (ALL),
<unknown>,'','',<ukjent>,'',INCOMPLETE (ALL),
