msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\nNa indrukken van OK, een moment geduld a.u.b.!",\nDruk op OK en een ogenblik geduld.,"\nNa indrukken van Ok, een moment geduld aub!",\nDruk op OK en een ogenblik geduld!,MISMATCH (ALL)
\nConflict detection disabled!,,,\nDetectie van conflicten is uitgeschakeld!,,SOLITARY
\nPress OK on your remote control to continue.,\nDruk op de OK-knop om door te gaan.,\nDruk op OK om door te gaan.,\nDruk op de Ok toets om door te gaan.,\nDruk op OK om door te gaan.,MISMATCH (ALL)
\nPress OK or Exit to abort!,,,\nDruk Ok of Exit om af te sluiten!,,SOLITARY
\nRecording in progress.,\nOpname is bezig.,,\nActieve opname.,\nOpname is bezig.,MISMATCH (SOME)
\nTimer '%s' disabled!,,,\nTimer '%s' uitgeschakeld!,\nTimer '%s' uitgeschakeld!,CONSISTENT (SOME)
 (0 - all networks),,, (0 - alle netwerken), (0 - alle netwerken),CONSISTENT (SOME)
 (Channel %s), (Zender %s),, (Kanaal %s), (Kanaal %s),MISMATCH (SOME)
 (Partition %d), (Partitie %d),, (Partitie %d),,CONSISTENT (SOME)
 (PiP), (PiP), (PiP), (PiP),,UNCHANGED (SOME)
 (Radio), (Radio), (Radio), (Radio),,UNCHANGED (SOME)
 (TV), (TV), (TV), (TV),,UNCHANGED (SOME)
 (disabled), (uitgeschakeld),, (uitgeschakeld), (gedeactiveerd),MISMATCH (SOME)
 (higher than any auto), (hoger dan elke 'auto'),, (hoger dan elke 'auto'), (hoger dan auto),MISMATCH (SOME)
 (higher than rotor any auto), (hoger dan de rotor van elke 'auto'),, (hoger dan de rotor van elke 'auto'), (hoger dan rotor en enige auto),MISMATCH (SOME)
 (lower than any auto), (lager dan elke auto),, (lager dan elke auto), (lager dan enige auto),MISMATCH (SOME)
 extensions.,,, applicaties.,,SOLITARY
 min,,, min,,SOLITARY
 ms,,, ms,,SOLITARY
 packages selected.,,, geselecteerde pakketten.,,SOLITARY
 updates available.,,, updates beschikbaar.,,SOLITARY
%.0f GB,%.0f GB,,%.0f GB,%.0f GB,UNCHANGED (SOME)
%.0f MB,%.0f MB,,%.0f MB,%.0f MB,UNCHANGED (SOME)
%.0f kB,,,%.0f kB,%.0f kB,UNCHANGED (SOME)
