msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",,,"\nEtter å ha trykket OK, vennligst vent!",,SOLITARY,
\nConflict detection disabled!,,,'',,SOLITARY,
\nPress OK on your remote control to continue.,,,\nTrykk OK på fjernkontrollen for å fortsette.,,SOLITARY,
\nRecording in progress.,,,'',,SOLITARY,
\nTimer '%s' disabled!,,,'',,SOLITARY,
 (0 - all networks),,,'',,SOLITARY,
 (Channel %s),,,'',,SOLITARY,
 (Partition %d),,,'',,SOLITARY,
 (PiP),,,'',,SOLITARY,
 (Radio),,,'',,SOLITARY,
 (TV),,,'',,SOLITARY,
 (disabled),,,'',,SOLITARY,
 (higher than any auto),,,'',,SOLITARY,
 (higher than rotor any auto),,,'',,SOLITARY,
 (lower than any auto),,,'',,SOLITARY,
 extensions.,,, utvidelser.,,SOLITARY,
 ms,,,'',,SOLITARY,
 packages selected.,,, valgte pakker.,,SOLITARY,
 updates available.,,, oppdateringer er tilgjengelig.,,SOLITARY,
%.0f GB,,,'',,SOLITARY,
%.0f MB,,,'',,SOLITARY,
%.0f kB,,,'',,SOLITARY,
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,,,'',,SOLITARY,
%02d:%02d,,,'',,SOLITARY,
%03d MB,,,'',,SOLITARY,
%2.1f sec,,,'',,SOLITARY,
%2d:%02d,,,'',,SOLITARY,
%2d:%02d:%02d,,,'',,SOLITARY,
%3.01f dB,,,'',,SOLITARY,
%A %d %B,,,'',,SOLITARY,
%A %e %B,,,'',,SOLITARY,
%A %e %B %Y,,,'',,SOLITARY,
%H:%M,,,'',,SOLITARY,
%a %e %B %Y,,,'',,SOLITARY,
%a %e/%m,,,'',,SOLITARY,
%a %e/%m  %-H:%M,,,'',,SOLITARY,
%d B,,,'',,SOLITARY,
%d GB,,,'',,SOLITARY,
%d MB,,,'',,SOLITARY,
%d kB,,,'',,SOLITARY,
%d kB/s,,,'',,SOLITARY,
%d min,,,'',,SOLITARY,
%d minutes,,,%d minutter,,SOLITARY,
%d ms,,,'',,SOLITARY,
%d sec,,,'',,SOLITARY,
%d-%m,,,'',,SOLITARY,
%d.%02d. %02d:%02d,,,'',,SOLITARY,
%d.%03d GB,,,'',,SOLITARY,
%d.%B %Y,,,'',,SOLITARY,
%d.%d,,,'',,SOLITARY,
%d.%d.%d,,,'',,SOLITARY,
%d:%02d,,,'',,SOLITARY,
%k:%M %e/%m,,,'',,SOLITARY,
%s\nPress ok for multiboot selection\nPress exit to close,,,'',,SOLITARY,
%s %d.%d,,,'',,SOLITARY,
%s %s free disk space,,,%s %s ledig diskplass,,SOLITARY,
%s (%s)\n,,,'',,SOLITARY,
%s imported from fallback tuner,,,'',,SOLITARY,
%s is no longer used. Should it be deleted?,,,%s er ikke lenger i bruk. Skal den slettes?,,SOLITARY,
%s%d min,,,'',,SOLITARY,
%s/%s: %s,,,'',,SOLITARY,
%s:%s,,,'',,SOLITARY,
(VU+ type),,,'',,SOLITARY,
