msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
\nAdvanced options and settings.,\nAvanserte alternativer og innstillinger.,\nAvanserte alternativer og innstillinger.,,\nAvanserte alternativer og innstillinger.,CONSISTENT (SOME),
"\nAfter pressing OK, please wait!","\nEtter å ha trykket OK, vennligst vent!","\nEtter å ha trykket OK, vennligst vent!",,"\nEtter å ha trykket OK, vennligst vent!",CONSISTENT (SOME),
\nBackup your %s %s settings.,\nSikkerhetskopiere dine %s %s innstillinger.,\nSikkerhetskopiere dine %s %s innstillinger.,,\nSikkerhetskopiere dine %s %s innstillinger.,CONSISTENT (SOME),
\nEdit the upgrade source address.,\nEndre oppgraderingskilde.,\nEndre oppgraderingskilde.,,\nEndre oppgraderingskilde.,CONSISTENT (SOME),
\nManage extensions or plugins for your %s %s,\nBehandle utvidelser eller plugins for din %s %s,\nBehandle utvidelser eller plugins for din %s %s,,\nBehandle utvidelser eller plugins for din %s %s,CONSISTENT (SOME),
\nOnline update of your %s %s software.,\nOnline oppdatering av din %s %s programvare.,\nOnline oppdatering av din %s %s programvare.,,\nOnline oppdatering av din %s %s programvare.,CONSISTENT (SOME),
\nPress OK on your remote control to continue.,\nTrykk OK for å fortsette.,\nTrykk OK for å fortsette.,,\nTrykk OK for å fortsette.,CONSISTENT (SOME),
\nRestore your %s %s settings.,\nGjenopprette dine %s %s innstillinger.,\nGjenopprette dine %s %s innstillinger.,,\nGjenopprette dine %s %s innstillinger.,CONSISTENT (SOME),
\nRestore your %s %s with a new firmware.,\nOppgrader %s %s med en ny fastvare.,\nOppgrader %s %s med en ny fastvare.,,\nOppgrader %s %s med en ny fastvare.,CONSISTENT (SOME),
\nRestore your backups by date.,\nGjenopprett sikkerhetskopiene etter dato.,\nGjenopprett sikkerhetskopiene etter dato.,,\nGjenopprett sikkerhetskopiene etter dato.,CONSISTENT (SOME),
\nScan for local extensions and install them.,\nSøk etter lokale utvidelser og installer disse. ,\nSøk etter lokale utvidelser og installer disse. ,,\nSøk etter lokale utvidelser og installer disse. ,CONSISTENT (SOME),
\nSelect your backup device.\nCurrent device: ,\nVelg sikkerhetskopi enhet.\n Gjeldende enhet :,\nVelg sikkerhetskopi enhet.\n Gjeldende enhet :,,\nVelg sikkerhetskopi enhet.\n Gjeldende enhet :,CONSISTENT (SOME),
"\nView, install and remove available or installed packages.","\nVise, installere og fjerne tilgjengelige eller installerte pakker.","\nVise, installere og fjerne tilgjengelige eller installerte pakker.",,"\nVise, installere og fjerne tilgjengelige eller installerte pakker.",CONSISTENT (SOME),
 (PiP), (BiB), (BiB),,,CONSISTENT (SOME),
 (Radio),'', (Radio),,,INCOMPLETE (SOME),
 (TV),'', (TV),,,INCOMPLETE (SOME),
 (disabled),(deaktivert),(deaktivert),,(deaktivert),CONSISTENT (SOME),
 (higher than any auto),(høyere enn noen auto),(høyere enn noen auto),,(høyere enn noen auto),CONSISTENT (SOME),
 (higher than rotor any auto),(høyere enn rotor noen auto),(høyere enn rotor noen auto),,(høyere enn rotor noen auto),CONSISTENT (SOME),
 (lower than any auto),(lavere enn noen auto),(lavere enn noen auto),,(lavere enn noen auto),CONSISTENT (SOME),
 and,og,og,,og,CONSISTENT (SOME),
%-H:%M,'',%-H:%M,,%-H:%M,INCOMPLETE (SOME),
%02d.%02d - %02d.%02d (%s%d min),,%02d.%02d - %02d.%02d (%s%d min),,,SOLITARY,
%2d:%02d,,%2d:%02d,,,SOLITARY,
%2d:%02d:%02d,,%2d:%02d:%02d,,,SOLITARY,
%A %e %B,,%A %e %B,,,SOLITARY,
%A %e %B %Y,,%A %e %B %Y,,,SOLITARY,
%A %e %b,,%A %e %b,,,SOLITARY,
%H:%M,'',%H:%M,,%H:%M,INCOMPLETE (SOME),
%a %e %B %Y,,%a %e %B %Y,,,SOLITARY,
%a %e/%m,,%a %e/%m,,,SOLITARY,
%a %e/%m  %-H:%M,,%a %e/%m  %-H:%M,,,SOLITARY,
%d %B %Y,%d.%B %Y,%d.%B %Y,,%d.%B %Y,CONSISTENT (SOME),
%d GB,'',%d GB,,%d GB,INCOMPLETE (SOME),
%d Gb,'',%d Gb,,,INCOMPLETE (SOME),
%d KB,'',%d KB,,%d KB,INCOMPLETE (SOME),
%d MB,'',%d MB,,%d MB,INCOMPLETE (SOME),
%d jobs are running in the background!,,%d jobber kjører i bakgrunnen!,,%d jobber kjører i bakgrunnen!,CONSISTENT (SOME),
%d kB,'',%d kB,,%d kB,INCOMPLETE (SOME),
%d min,'',%d min,,%d min,INCOMPLETE (SOME),
%d minutes,%d minutter,%d minutter,,%d minutter,CONSISTENT (SOME),
%d.%B %Y,,%d.%B %Y,,,SOLITARY,
%k:%M %e/%m,,%k:%M %e/%m,,,SOLITARY,
%s %s advanced remote control (native),%s %s avansert fjernkontroll (native),%s %s avansert fjernkontroll (native),,%s %s avansert fjernkontroll (native),CONSISTENT (SOME),
%s %s format data DVD (HDTV compatible),,%s %s format data DVD (HDTV kompatibel),,%s %s format data DVD (HDTV kompatibel),CONSISTENT (SOME),
%s %s front panel,'',%s %s front panel,,%s %s front panel,INCOMPLETE (SOME),
%s %s ir keyboard,%s %s ir tastatur,%s %s ir tastatur,,%s %s ir tastatur,CONSISTENT (SOME),
%s %s ir mouse,%s %s ir mus,%s %s ir mus,,%s %s ir mus,CONSISTENT (SOME),
%s %s remote control (native),%s %s fjernkontroll (native),%s %s fjernkontroll (native),,%s %s fjernkontroll (native),CONSISTENT (SOME),
%s %s software because updates are available.,%s %s programvare fordi oppdateringer er tilgjengelige.,%s %s programvare fordi oppdateringer er tilgjengelige.,,%s %s programvare fordi oppdateringer er tilgjengelige.,CONSISTENT (SOME),
%s (%s)\n,'',%s (%s)\n,,%s (%s)\n,INCOMPLETE (SOME),
%s is no longer used. Should it be deleted?,%s brukes ikke lenger. Skal den bli slettet?,%s brukes ikke lenger. Skal den bli slettet?,,%s brukes ikke lenger. Skal den bli slettet?,CONSISTENT (SOME),
%s%d min,'',%s%d min,,,INCOMPLETE (SOME),
%s/%s: %s,'',%s/%s: %s,,%s/%s: %s,INCOMPLETE (SOME),
'%s' contains %d file(s) and %d sub-directories.\n,'%s' inneholder %d fil(er) og %d underkataloger.\n,'%s' inneholder %d fil(er) og %d underkataloger.\n,,'%s' inneholder %d fil(er) og %d underkataloger.\n,CONSISTENT (SOME),
( All readers),(Alle lesere),(Alle lesere),,(Alle lesere),CONSISTENT (SOME),
(Show only reader:,(Vis bare leser:,(Vis bare leser:,,(Vis bare leser:,CONSISTENT (SOME),
(ZAP),,(ZAP),,(ZAP),UNCHANGED (SOME),
(empty),(tom),(tom),,(tom),CONSISTENT (SOME),
(show optional DVD audio menu),(vis alternativ DVD audio meny),(vis alternativ DVD audio meny),,(vis alternativ DVD audio meny),CONSISTENT (SOME),
* = Restart Required,* = Krever restart,* = Krever restart,,* = Krever restart,CONSISTENT (SOME),
* Only available if more than one interface is active.,* Bare tilgjengelig hvis mer enn et grensesnitt er aktivt.,* Bare tilgjengelig hvis mer enn et grensesnitt er aktivt.,,* Bare tilgjengelig hvis mer enn et grensesnitt er aktivt.,CONSISTENT (SOME),
/s,'',/s,,/s,INCOMPLETE (SOME),
1.0,'',1.0,,1.0,INCOMPLETE (SOME),
1.1,'',1.1,,1.1,INCOMPLETE (SOME),
1.2,'',1.2,,1.2,INCOMPLETE (SOME),
1080i,'',1080i,,1080i,INCOMPLETE (SOME),
1080p 24Hz,'',1080p 24Hz,,1080p 24Hz,INCOMPLETE (SOME),
1080p 25Hz,'',1080p 25Hz,,1080p 25Hz,INCOMPLETE (SOME),
1080p 30Hz,'',1080p 30Hz,,1080p 30Hz,INCOMPLETE (SOME),
1080p 50Hz,'',1080p 50Hz,,1080p 50Hz,INCOMPLETE (SOME),
1080p 60Hz,'',1080p 60Hz,,1080p 60Hz,INCOMPLETE (SOME),
12V output,12V utgang,12V utgang,,12V utgang,CONSISTENT (SOME),
12V output.,12V utgang.,12V utgang.,,12V utgang.,CONSISTENT (SOME),
13 V,'',13 V,,13 V,INCOMPLETE (SOME),
16:10,'',16:10,,16:10,INCOMPLETE (SOME),
16:10 Letterbox,'',16:10 Letterbox,,16:10 Letterbox,INCOMPLETE (SOME),
16:10 PanScan,'',16:10 PanScan,,16:10 PanScan,INCOMPLETE (SOME),
16:9,'',16:9,,16:9,INCOMPLETE (SOME),
16:9 Letterbox,'',16:9 Letterbox,,16:9 Letterbox,INCOMPLETE (SOME),
16:9 always,16:9 alltid,16:9 alltid,,16:9 alltid,CONSISTENT (SOME),
18 V,'',18 V,,18 V,INCOMPLETE (SOME),
1X,'',1X,,1X,INCOMPLETE (SOME),
1st Infobar timeout,Første infovindu tidsavbrudd,Første infovindu tidsavbrudd,,Første infovindu tidsavbrudd,CONSISTENT (SOME),
23.976,'',23.976,,23.976,INCOMPLETE (SOME),
24,'',24,,24,INCOMPLETE (SOME),
25,'',25,,25,INCOMPLETE (SOME),
29.97,'',29.97,,29.97,INCOMPLETE (SOME),
2X,'',2X,,2X,INCOMPLETE (SOME),
30,'',30,,30,INCOMPLETE (SOME),
3D Mode,'',3D Mode,,3D Mode,INCOMPLETE (SOME),
3D Surround,'',3D Surround,,3D Surround,INCOMPLETE (SOME),
3D setup,,3D oppsett,,,SOLITARY,
3X,'',3X,,3X,INCOMPLETE (SOME),
4:3,'',4:3,,4:3,INCOMPLETE (SOME),
4:3 Letterbox,'',4:3 Letterbox,,4:3 Letterbox,INCOMPLETE (SOME),
4:3 PanScan,'',4:3 PanScan,,4:3 PanScan,INCOMPLETE (SOME),
4X,'',4X,,4X,INCOMPLETE (SOME),
720p,'',720p,,720p,INCOMPLETE (SOME),
