msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\nPo naciśnięciu OK, proszę czekać!",\nPo naciśnięciu OK czekaj!,\nPo naciśnięciu OK czekaj!,\nPo naciśnięciu OK czekaj!,MISMATCH (ALL),
\nConflict detection disabled!,,,\nWykrywanie konfliktów wyłączone!,,SOLITARY,
\nPress OK on your remote control to continue.,\nWciśnij 'OK' aby kontynuować.,\nWciśnij OK aby kontynuować.,\nWciśnij OK aby kontynuować.,\nWciśnij OK aby kontynuować.,MISMATCH (ALL),
\nPress OK or Exit to abort!,,,\nWciśnij OK lub exit aby przerwać!,,SOLITARY,
\nRecording in progress.,\nTrwa nagrywanie.,,\nNagrywanie w toku.,,MISMATCH (SOME),
\nTimer '%s' disabled!,,,\nTimer '%s' wyłączony!,'',INCOMPLETE (SOME),
 (0 - all networks),,, (0 - wszystkie sieci),,SOLITARY,
 (Channel %s), (Kanał %s),, (Kanał %s),,CONSISTENT (SOME),
 (Partition %d), (Partycja %d),, (Partycja %d),,CONSISTENT (SOME),
 (PiP),'','','',,EMPTY (SOME),
 (Radio),'', (Radio), (Radio),,INCOMPLETE (SOME),
 (TV),'','','',,EMPTY (SOME),
 (disabled), (wyłączone),, (wyłączony),,MISMATCH (SOME),
 (higher than any auto), (wyższy niż jakikolwiek automatyczny),, (wyższy niż każdy auto),'',MISMATCH (SOME),
 (higher than rotor any auto),'',, (wyższy niż auto dla obrotnicy),'',INCOMPLETE (SOME),
 (lower than any auto), (niższy niż jakikolwiek automatyczny),, (niższy niż każdy auto),'',MISMATCH (SOME),
 extensions.,,, rozszerzenia.,,SOLITARY,
 min,,, min,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, pakiety wybrane.,,SOLITARY,
 updates available.,,, aktualizacje dostępne.,,SOLITARY,
%.0f GB,'',,'','',EMPTY (SOME),
%.0f MB,'',,'','',EMPTY (SOME),
%.0f kB,,,'','',EMPTY (SOME),
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,'','',EMPTY (SOME),
%02d:%02d,'',,'',,EMPTY (SOME),
%03d MB,'',,'','',EMPTY (SOME),
%2.1f sec,'',,'','',EMPTY (SOME),
%2d:%02d,,'','',,EMPTY (SOME),
%2d:%02d:%02d,,'','',,EMPTY (SOME),
%3.01f dB,,,'','',EMPTY (SOME),
%A %d %B,'',,'',,EMPTY (SOME),
%A %e %B,,'','',,EMPTY (SOME),
%A %e %B %Y,,'','',,EMPTY (SOME),
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL),
%a %e %B %Y,,'','',,EMPTY (SOME),
%a %e/%m,,'','',,EMPTY (SOME),
%a %e/%m  %-H:%M,,'','',,EMPTY (SOME),
