msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\nApós premir OK, aguarde por favor!","\nDepois de carregar OK, aguarde por favor!","\nDepois de pressionar OK, aguarde por favor!","\nDepois de carregar OK, aguarde por favor!",MISMATCH (ALL),
\nConflict detection disabled!,,,'',,SOLITARY,
\nPress OK on your remote control to continue.,\nPrima OK para continuar.,\nPrima OK para continuar.,\nPrima OK para continuar.,\nPrima OK para continuar.,CONSISTENT (ALL),
\nRecording in progress.,\nGravação a decorrer.,,'',,INCOMPLETE (SOME),
\nTimer '%s' disabled!,,,'','',EMPTY (SOME),
 (0 - all networks),,,'',,SOLITARY,
 (Channel %s), (Canal %s),,'',,INCOMPLETE (SOME),
 (Partition %d), (Partição %d),,'',,INCOMPLETE (SOME),
 (PiP),'', (PiP), (PiP),,INCOMPLETE (SOME),
 (Radio), (Rádio), (Radio), (Rádio),,MISMATCH (SOME),unicode
 (TV),'', (TV), (TV),,INCOMPLETE (SOME),
 (disabled), (desactivado),, (desactivado),,CONSISTENT (SOME),
 (higher than any auto),'',,(maior do que qualquer auto),'',INCOMPLETE (SOME),
 (higher than rotor any auto),'',,(mais alto que o rotor qualquer auto),'',INCOMPLETE (SOME),
 (lower than any auto),(abaixo de qualquer automático),,(menor que qualquer auto),'',MISMATCH (SOME),
 extensions.,,, extensões.,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, pacotes seccionados.,,SOLITARY,
 updates available.,,, actualizações disponíveis.,,SOLITARY,
%.0f GB,'',,'','',EMPTY (SOME),
%.0f MB,'',,'','',EMPTY (SOME),
%.0f kB,,,'','',EMPTY (SOME),
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,'','',EMPTY (SOME),
%02d:%02d,,,'',,SOLITARY,
%03d MB,'',,'','',EMPTY (SOME),
%2.1f sec,'',,'','',EMPTY (SOME),
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME),
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME),
%3.01f dB,,,'','',EMPTY (SOME),
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME),
%A %e %B,,%A %e %B,%A %e %B,,UNCHANGED (SOME),
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME),
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL),
%a %e/%m,,%a %e/%m,%a %e/%m,,UNCHANGED (SOME),
%a %e/%m  %-H:%M,,%a %e/%m  %-H:%M,%a %e/%m  %-H:%M,,UNCHANGED (SOME),
%d B,,,'','',EMPTY (SOME),
%d GB,'','','','',EMPTY (ALL),
%d MB,'','','','',EMPTY (ALL),
%d kB,'','','','',EMPTY (ALL),
%d kB/s,,,'',,SOLITARY,
%d min,'',%d min,%d min,%d min,INCOMPLETE (ALL),
%d minutes,%d minutos,%d minutos,%d minutos,%d minutos,CONSISTENT (ALL),
%d ms,,,'',,SOLITARY,
%d sec,,,'',,SOLITARY,
%d-%m,'',,%d-%m,,INCOMPLETE (SOME),
%d.%02d. %02d:%02d,,,'',,SOLITARY,
%d.%03d GB,,,'','',EMPTY (SOME),
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME),
%k:%M %e/%m,,%k:%M %e/%m,%k:%M %e/%m,,UNCHANGED (SOME),
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME),
%s %d.%d,,,'',,SOLITARY,
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL),
%s imported from fallback tuner,,,'',,SOLITARY,
%s is no longer used. Should it be deleted?,%s já não é utilizado. Eliminar?,%s nao é usado. Deseja eliminar?,%s já não está a ser utilizado. Deve ser eliminado?,'',MISMATCH (ALL),
%s%d min,,,%s%d min,,SOLITARY,
%s/%s: %s,'','',%s/%s: %s,'',INCOMPLETE (ALL),
%s:%s,,,'','',EMPTY (SOME),
(VU+ type),,,'',,SOLITARY,
(ZAP as PiP),,,'','',EMPTY (SOME),
(ZAP),,(ZAP),(ZAP),(ZAP),UNCHANGED (SOME),
(activated +%d min),,,'',,SOLITARY,
(empty),(vazio),(vazio),(vazio),(vazio),CONSISTENT (ALL),
(not activated),,,'',,SOLITARY,
(show optional DVD audio menu),(mostrar menu áudio opcional do DVD),(mostrar menu audio opcional do DVD),(mostrar menu áudio opcional do DVD),(mostrar menu audio opcional do DVD),MISMATCH (ALL),unicode
* Only available if more than one interface is active.,* Disponível apenas se existir mais do que um interface activo.,* Só disponível se houver mais que um interface activo.,* Só disponível se houver mais que um interface activo.,* Só disponivél se houver mais que um interface activo.,MISMATCH (ALL),
-NO SERVICE\n,'',,'','',EMPTY (SOME),
-SERVICE ERROR:%d\n,'',,'','',EMPTY (SOME),
/s,'','',/s,'',INCOMPLETE (ALL),
0,'',,0,,INCOMPLETE (SOME),
1,'',,1,,INCOMPLETE (SOME),
1.0,'','',1.0,'',INCOMPLETE (ALL),
1.1,'','',1.1,'',INCOMPLETE (ALL),
1.2,'','',1.2,'',INCOMPLETE (ALL),
10 MB/s,'',,'','',EMPTY (SOME),
100 MB/s,'',,'','',EMPTY (SOME),
10bit,'',,'','',EMPTY (SOME),
