msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\nDepois de pressionar 'OK', aguarde por favor!","\nDepois de pressionar 'OK', aguarde por favor!","\nApós pressionar OK, aguarde...","\nDepois de pressionar 'OK', aguarde por favor!",MISMATCH (ALL),
\nConflict detection disabled!,,,'',,SOLITARY,
\nPress OK on your remote control to continue.,\nPressione 'OK' no seu controle remoto para continuar.,\nPressione 'OK' no seu controle remoto para continuar.,\nPressione OK para continuar.,\nPressione 'OK' no seu controle remoto para continuar.,MISMATCH (ALL),
\nRecording in progress.,'',,'',,EMPTY (SOME),
\nTimer '%s' disabled!,,,'','',EMPTY (SOME),
 (0 - all networks),,,'',,SOLITARY,
 (Channel %s),'',,'',,EMPTY (SOME),
 (Partition %d),'',,'',,EMPTY (SOME),
 (PiP),'', (PiP),'',,INCOMPLETE (SOME),
 (Radio), (Rádio), (Rádio), (Rádio),,CONSISTENT (SOME),
 (TV),'', (TV),'',,INCOMPLETE (SOME),
 (disabled),(desabilitado),,'',,INCOMPLETE (SOME),
 (higher than any auto),'',,'','',EMPTY (SOME),
 (higher than rotor any auto),'',,'','',EMPTY (SOME),
 (lower than any auto),'',,'','',EMPTY (SOME),
 extensions.,,,extensões.,,SOLITARY,
 ms,,,'',,SOLITARY,
 packages selected.,,,pacotes selecionados.,,SOLITARY,
 updates available.,,,atualizações disponíveis.,,SOLITARY,
%.0f GB,'',,'','',EMPTY (SOME),
%.0f MB,'',,'','',EMPTY (SOME),
%.0f kB,,,'','',EMPTY (SOME),
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,'','',EMPTY (SOME),
%02d:%02d,,,'',,SOLITARY,
%03d MB,'',,'','',EMPTY (SOME),
%2.1f sec,'',,'','',EMPTY (SOME),
%2d:%02d,,%2d:%02d,'',,INCOMPLETE (SOME),
%2d:%02d:%02d,,%2d:%02d:%02d,'',,INCOMPLETE (SOME),
%3.01f dB,,,'','',EMPTY (SOME),
%A %d %B,'',,'',,EMPTY (SOME),
%A %e %B,,%A %e %B,"%A, %e de %B",,MISMATCH (SOME),
%A %e %B %Y,,%A %e %B %Y,"%A, %e de %B de %Y",,MISMATCH (SOME),
%H:%M,'',%H:%M,'',%H:%M,INCOMPLETE (ALL),
%a %e/%m,,%a %e/%m,'',,INCOMPLETE (SOME),
%a %e/%m  %-H:%M,,%a %e/%m  %-H:%M,'',,INCOMPLETE (SOME),
%d B,,,'','',EMPTY (SOME),
%d GB,'','','','',EMPTY (ALL),
