msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\nDupa apasarea OK, va rog asteptati!","\nDupa apasarea OK, va rog asteptati!","\nDupa apasarea OK, va rog asteptati!","\nDupa apasarea OK, va rog asteptati!",CONSISTENT (ALL)
\nConflict detection disabled!,,,'',,SOLITARY
\nPress OK on your remote control to continue.,\nApasati Ok pe telecomanda pentru a continua.,\nApasati Ok pe telecomanda pentru a continua.,\nApasati Ok pe telecomanda pentru a continua.,\nApasati Ok pe telecomanda pentru a continua.,CONSISTENT (ALL)
\nRecording in progress.,'',,'',\nInregistrare in progres.,INCOMPLETE (SOME)
\nTimer '%s' disabled!,,,'','',EMPTY (SOME)
 (0 - all networks),,,'',,SOLITARY
 (Channel %s),'',,'', (Canal %s),INCOMPLETE (SOME)
 (Partition %d),'',,'',,EMPTY (SOME)
 (PiP),'','','',,EMPTY (SOME)
 (Radio),'','','',,EMPTY (SOME)
 (TV),'','','',,EMPTY (SOME)
 (disabled),'',,'', (dezactivat),INCOMPLETE (SOME)
 (higher than any auto),'',,'', (mai mare decat oricare auto),INCOMPLETE (SOME)
 (higher than rotor any auto),'',,'', (mai mare decat rotor oricare auto),INCOMPLETE (SOME)
 (lower than any auto),'',,'', (mai mic decat oricare auto),INCOMPLETE (SOME)
 extensions.,,,'',,SOLITARY
 min,,,'',,SOLITARY
 ms,,,'',,SOLITARY
 packages selected.,,,'',,SOLITARY
 updates available.,,,'',,SOLITARY
%.0f GB,'',,'',%.0f GB,INCOMPLETE (SOME)
%.0f MB,'',,'',%.0f MB,INCOMPLETE (SOME)
%.0f kB,,,'',,SOLITARY
%.1f° E,,,'',,SOLITARY
%.1f° W,,,'',,SOLITARY
%.2f GB,'',,'',,EMPTY (SOME)
%02d:%02d,'',,'',,EMPTY (SOME)
%03d MB,'',,'',,EMPTY (SOME)
%2.1f sec,'',,'','',EMPTY (SOME)
%2d:%02d,,'','',,EMPTY (SOME)
%2d:%02d:%02d,,'','',,EMPTY (SOME)
%3.01f dB,,,'','',EMPTY (SOME)
%A %d %B,'',,'',,EMPTY (SOME)
%A %e %B,,'','',,EMPTY (SOME)
%A %e %B %Y,,'','',,EMPTY (SOME)
%H:%M,'','','',%O:%M,INCOMPLETE (ALL)
%a %e %B %Y,,'','',,EMPTY (SOME)
%a %e/%m,,'','',,EMPTY (SOME)
%a %e/%m  %-H:%M,,'','',,EMPTY (SOME)
%d B,,,'','',EMPTY (SOME)
%d GB,'','','',%d GB,INCOMPLETE (ALL)
%d MB,'','','',%d MB,INCOMPLETE (ALL)
%d fps,,,'',,SOLITARY
%d kB,'','','',%d kB,INCOMPLETE (ALL)
%d kB/s,,,'',,SOLITARY
%d min,'','','',%d min,INCOMPLETE (ALL)
%d minutes,'','','',%d minute,INCOMPLETE (ALL)
%d ms,'',,'',,EMPTY (SOME)
%d sec,'',,'',,EMPTY (SOME)
%d-%m,'',,'',,EMPTY (SOME)
%d.%02d. %02d:%02d,,,'',,SOLITARY
%d.%03d GB,'',,'',,EMPTY (SOME)
%d.%B %Y,,'','',,EMPTY (SOME)
%d.%d,,,'',,SOLITARY
%d.%d.%d,,,'',,SOLITARY
%d:%02d,,,'',,SOLITARY
%k:%M %e/%m,,'','',,EMPTY (SOME)
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME)
%s %d.%d,,,'',,SOLITARY
%s (%s)\n,'','','',%s (%s)\n,INCOMPLETE (ALL)
%s imported from fallback tuner,,,'',,SOLITARY
%s is no longer used. Should it be deleted?,'','','',%s nu mai este folosit. Il stergem?,INCOMPLETE (ALL)
%s%d min,'','','',,EMPTY (SOME)
%s/%s: %s,'','','',%s/%s: %s,INCOMPLETE (ALL)
%s:%s,,,'',%s:%s,INCOMPLETE (SOME)
(VU+ type),,,'',,SOLITARY
(ZAP as PiP),,,'','',EMPTY (SOME)
(ZAP),,'','',(ZAP),INCOMPLETE (SOME)
(activated +%d min),,,'',,SOLITARY
(empty),(gol),(gol),(gol),(gol),CONSISTENT (ALL)
(not activated),,,'',,SOLITARY
(show optional DVD audio menu),(afiseaza optional pe DVD audio menu),(afiseaza optional pe DVD audio menu),(afiseaza optional pe DVD audio menu),(afiseaza meniul optional pentru DVD audio),MISMATCH (ALL)
* Only available if more than one interface is active.,* Disponibil doar in cazul in care mai mult de o interfata este activa.,* Disponibil doar in cazul in care mai mult de o interfata este activa.,* Disponibil doar in cazul in care mai mult de o interfata este activa.,* Disponibil numai in cazul in care mai mult de o interfata este activa.,MISMATCH (ALL)
-NO SERVICE\n,'',,'','',EMPTY (SOME)
-SERVICE ERROR:%d\n,'',,'','',EMPTY (SOME)
/s,'','','',/s,INCOMPLETE (ALL)
0,'',,'',,EMPTY (SOME)
1,'',,'',,EMPTY (SOME)
1.0,'','','',1.0,INCOMPLETE (ALL)
1.1,'','','',1.1,INCOMPLETE (ALL)
1.2,'','','',1.2,INCOMPLETE (ALL)
10 MB/s,'',,'','',EMPTY (SOME)
100 MB/s,'',,'','',EMPTY (SOME)
10bit,'',,'','',EMPTY (SOME)
12V output,'','','',12V output,INCOMPLETE (ALL)
12bit,'',,'','',EMPTY (SOME)
13 V,'','','',13 V,INCOMPLETE (ALL)
16:10,'','','',16:10,INCOMPLETE (ALL)
16:10 Letterbox,'','','',16:10 Cutia de scrisori,INCOMPLETE (ALL)
16:10 PanScan,'','','',16:10 PanScan,INCOMPLETE (ALL)
16:9,'','','',16:9,INCOMPLETE (ALL)
16:9 Letterbox,'','','',16:9 Letterbox,INCOMPLETE (ALL)
16:9 always,16:9 mereu,16:9 mereu,16:9 mereu,16:9 mereu,CONSISTENT (ALL)
16K,,,'','',EMPTY (SOME)
18 V,'','','',18 V,INCOMPLETE (ALL)
2,'',,'',,EMPTY (SOME)
20 MB/s,'',,'','',EMPTY (SOME)
23.976,'','','',"23,976",INCOMPLETE (ALL)
24,'','','',24,INCOMPLETE (ALL)
25,'','','',25,INCOMPLETE (ALL)
29.97,'','','',"29,97",INCOMPLETE (ALL)
3,'',,'',,EMPTY (SOME)
30,'','','',30,INCOMPLETE (ALL)
3D surround,,,'',,SOLITARY
3D surround softlimiter,,,'',,SOLITARY
3D surround speaker position,,,'',,SOLITARY
3d mode,'','','',,EMPTY (SOME)
4,'',,'',,EMPTY (SOME)
420,'',,'','',EMPTY (SOME)
422,'',,'','',EMPTY (SOME)
444,'',,'','',EMPTY (SOME)
4:3,'','','',4:3,INCOMPLETE (ALL)
4:3 Letterbox,'','','',4:3 Letterbox,INCOMPLETE (ALL)
4:3 PanScan,'','','',4:3 PanScan,INCOMPLETE (ALL)
4K,,,'','',EMPTY (SOME)
5,'',,'',,EMPTY (SOME)
50 MB/s,'',,'','',EMPTY (SOME)
