msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\nПосле нажатия ОК, пожалуйста, подождите!","\nПосле нажатия кнопки ОК, пожалуйста, подождите!","\nПосле нажатия кнопки ОК, пожалуйста, подождите!","\nПосле нажатия ОК, пожалуйста, подождите!",MISMATCH (ALL),
\nConflict detection disabled!,,,\nОбнаружение конфликтов отключено!,,SOLITARY,
\nPress OK on your remote control to continue.,\nНажмите ОК на пульте для продолжения,\nНажмите ОК на пульте для продолжения,\nНажмите ОК на Вашем пульте Д/У для продолжения.,\nНажмите ОК на пульте для продолжения.,MISMATCH (ALL),
\nPress OK or Exit to abort!,,,\nНажмите OK или Exit для прерывания!,,SOLITARY,
\nRecording in progress.,\nИдёт запись,,\nЗапись в процессе.,\nИдет запись.,MISMATCH (SOME),
\nTimer '%s' disabled!,,,\nТаймер '%s' отключен!,\nТаймер '%s' отключен!,CONSISTENT (SOME),
 (0 - all networks),,, (0 - все сети), (0 - все сети),CONSISTENT (SOME),
 (Channel %s), (Канал %s),, (Канал %s), (Канал %s),CONSISTENT (SOME),
 (Partition %d), (Раздел %d),, (Раздел %d),,CONSISTENT (SOME),
 (PiP),(PiP), (Картинка в картинке), (PiP),,MISMATCH (SOME),
 (Radio),(Радио), (Радио), (Радио),,MISMATCH (SOME),whitespace
 (TV), (ТВ), (ТВ), (ТВ),,CONSISTENT (SOME),
 (disabled), (Отключено),, (отключен), (отключен),MISMATCH (SOME),
 (higher than any auto)," (Приоритет выше, чем автоматически)",, (выше чем любой авто), (приоритет выше чем автоматически),MISMATCH (SOME),
 (higher than rotor any auto)," (Приоритет выше, чем автоматически или ротор)",, (выше чем любой авто ротора), (приоритет выше чем автоматически для ротора),MISMATCH (SOME),
 (lower than any auto)," (Приоритет ниже, чем автоматически)",, (ниже чем любой авто), (приоритет ниже чем автоматически),MISMATCH (SOME),
 extensions.,,, дополнений.,,SOLITARY,
 min,,, мин,,SOLITARY,
 ms,,, мс,,SOLITARY,
 packages selected.,,, пакетов выбрано.,,SOLITARY,
 updates available.,,, доступных обновлений.,,SOLITARY,
%.0f GB,%.0f Гб,,%.0f GB,%.0f Гб,MISMATCH (SOME),
%.0f MB,%.0f Мб,,%.0f MB,%.0f Мб,MISMATCH (SOME),
%.0f kB,,,%.0f kB,%.0f КБ,MISMATCH (SOME),
%.1f° E,,,%.1f° E,,SOLITARY,
%.1f° W,,,%.1f° W,,SOLITARY,
%.2f GB,'',,%.2f GB,%.2f Гб,MISMATCH (SOME),
%02d:%02d,'',,%2d:%02d,,INCOMPLETE (SOME),
%03d MB,,,%03d MB,%03d Мб,MISMATCH (SOME),
%2.1f sec,%2.1f сек,,%2.1f сек.,%2.1f сек,MISMATCH (SOME),
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME),
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME),
%3.01f dB,,,%3.01f dB,%3.01f дБ,MISMATCH (SOME),unicode
%A %d %B,'',,%A %d %B,%A %d %B,INCOMPLETE (SOME),
%A %e %B,,%A %e %B,%A %d %B,,MISMATCH (SOME),
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME),
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL),
%a %e %B %Y,,%a %e %B %Y,%a %e %B %Y,,UNCHANGED (SOME),
%a %e/%m,,%a %e/%m,%a %e/%m,,UNCHANGED (SOME),
%a %e/%m  %-H:%M,,%a %e/%m  %-H:%M,%a %e/%m  %-H:%M,,UNCHANGED (SOME),
%d B,,,%d B,%d Б,MISMATCH (SOME),unicode
%d GB,%d Гб,%d ГБ,%d GB,%d Гб,MISMATCH (ALL),
%d MB,%d Мб,%d МБ,%d MB,%d Мб,MISMATCH (ALL),
%d fps,,,%d fps,,SOLITARY,
%d kB,%d КБ,%d кБ,%d kB,%d Кб,MISMATCH (ALL),
%d kB/s,,,%d kB/s,,SOLITARY,
%d min,%d минут,%d мин,%d мин,%d мин,MISMATCH (ALL),
%d minutes,%d минут,%d минут,%d минут,%d минут,CONSISTENT (ALL),
%d ms,,,%d мс,%d мс,CONSISTENT (SOME),
%d sec,,,%d сек,,SOLITARY,
%d-%m,'',,%d-%m,,INCOMPLETE (SOME),
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY,
%d.%03d GB,,,%d.%03d GB,%d.%03d Гб,MISMATCH (SOME),
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME),
%d.%d,,,%d.%d,,SOLITARY,
%d.%d.%d,,,%d.%d.%d,,SOLITARY,
%d:%02d,,,%d:%02d,,SOLITARY,
%k:%M %e/%m,,%k:%M %e.%m,%k:%M %e/%m,,MISMATCH (SOME),
%s\nDo you still want to flash image\n%s?,,,%s\nВы все еще хотите прошить имидж\n%s?,,SOLITARY,
%s\nPress ok for multiboot selection\nPress exit to close,'',,%s\nНажать ок для выбора мультибута\nНажать выход и закрыть,,INCOMPLETE (SOME),
%s %d.%d,,,%s %d.%d,,SOLITARY,
%s %s free disk space,,,%s %s свободное место на диске,,SOLITARY,
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL),
%s imported from fallback tuner,,,%s импортируем из резервного ресивера,,SOLITARY,
%s is no longer used. Should it be deleted?,%s больше не используется. Удалить данный спутник?,%s спутник больше не используется. Удалить его?,%s больше не используется. Должен ли он быть удален?,%s больше не используется. Удалить данный спутник?,MISMATCH (ALL),
%s%% Autoinstalling %s,,,%s%% Авто инсталляция %s,,SOLITARY,
%s%d min,%s%d мин,%s%d минут,%s%d мин,,MISMATCH (SOME),
%s/%s: %s,'',%s/%s: %s,%s/%s: %s,%s/%s: %s,INCOMPLETE (ALL),
%s:%s,,,%s:%s,%s:%s,UNCHANGED (SOME),
(VU+ type),,,(VU+ тип),,SOLITARY,
(ZAP as PiP),,,(Переключить как PiP),(Перейти в PiP),MISMATCH (SOME),
(ZAP),,(Перейти),(Переключить),(Перейти),MISMATCH (SOME),
(activated +%d min),,,(активирован +%d мин),,SOLITARY,
(empty),(Пусто),(пусто),(пусто),(пусто),MISMATCH (ALL),
(not activated),,,(не активирован),,SOLITARY,
(show optional DVD audio menu),(Показать дополнительное аудио-меню DVD),"(опционально, показать аудио меню DVD)",(показать дополнительное DVD аудио меню),(показать дополнительное меню DVD-Audio),MISMATCH (ALL),
(unknown),,,(неизвестно),(неизвестный),MISMATCH (SOME),
* Only available if more than one interface is active.,"* Доступно, если активно более одного интерфейса","* Доступно, если активно более одного интерфейса","* Доступно, если более чем один интерфейс активен.",* Доступно только если активно более одного интерфейса.,MISMATCH (ALL),
-NO SERVICE\n,'',,-НЕТ СЕРВИСА\n,-НЕТ СЕРВИСА\n,INCOMPLETE (SOME),
-SERVICE ERROR:%d\n,'',,-ОШИБКА СЕРВИСА:%d\n,-ОШИБКА СЕРВИСА:%d\n,INCOMPLETE (SOME),
/s,/с,'',/с,/с,INCOMPLETE (ALL),
0,'',,0,,INCOMPLETE (SOME),
1,'',,1,,INCOMPLETE (SOME),
1.0,'',1.0,1.0,1.0,INCOMPLETE (ALL),
1.1,'',1.1,1.1,1.1,INCOMPLETE (ALL),
1.2,'',1.2,1.2,1.2,INCOMPLETE (ALL),
10 MB/s,'',,10 МБ/с,10 MB/s,MISMATCH (SOME),
100 MB/s,'',,100 МБ/с,100 MB/s,MISMATCH (SOME),
10bit,10бит,,10bit,10bit,MISMATCH (SOME),unicode
12V output,12В выход,Выход 12V,12V выход,12В Выход,MISMATCH (ALL),
12bit,12бит,,12bit,12bit,MISMATCH (SOME),unicode
13 V,13 В,13V,13 V,13В,MISMATCH (ALL),
16:10,'',16:10,16:10,16:10,INCOMPLETE (ALL),
16:10 Letterbox,16:10 режим ящика,Режим прямоугльника 16:10,16:10 Letterbox,16:10 Режим ящика,MISMATCH (ALL),
16:10 PanScan,16:10 панорама,16:10 Панорама,16:10 PanScan,16:10 Панорама,MISMATCH (ALL),
16:9,'',16:9,16:9,16:9,INCOMPLETE (ALL),
16:9 Letterbox,16:9 режим ящика,Режим прямоугльника 16:9,16:9 Letterbox,16:9 Режим ящика,MISMATCH (ALL),
16:9 always,16:9 всегда,Всегда 16:9,16:9 всегда,16:9 всегда,MISMATCH (ALL),
16K,,,16K,16K,UNCHANGED (SOME),
18 V,18 В,18V,18 V,18В,MISMATCH (ALL),
2,'',,2,,INCOMPLETE (SOME),
20 MB/s,'',,20 МБ/с,20 MB/s,MISMATCH (SOME),
23.976,'',23.976,23.976,23.976,INCOMPLETE (ALL),
24,'',24,24,24,INCOMPLETE (ALL),
25,'',25,25,25,INCOMPLETE (ALL),
29.97,'',29.97,29.97,29.97,INCOMPLETE (ALL),
3,'',,3,3,INCOMPLETE (SOME),
30,'',30,30,30,INCOMPLETE (ALL),
3D surround,,,3D объемный звук,Объёмный звук 3D,MISMATCH (SOME),
3D surround softlimiter,,,3D софт-ограничитель объемного звука,,SOLITARY,
3D surround speaker position,,,Позиция динамика 3D объемного звука,Положение динамиков объемного звука 3D,MISMATCH (SOME),
3d mode,Режим 3D,Режим 3D,Режим 3D,,CONSISTENT (SOME),
4,'',,4,4,INCOMPLETE (SOME),
420,'',,420,420,INCOMPLETE (SOME),
422,'',,422,422,INCOMPLETE (SOME),
444,'',,444,444,INCOMPLETE (SOME),
4:3,'',4:3,4:3,4:3,INCOMPLETE (ALL),
4:3 Letterbox,4:3 режим ящика,Режим прямоугльника 4:3,4:3 Letterbox,4:3 Режим ящика,MISMATCH (ALL),
4:3 PanScan,4:3 панорама,4:3 Панорама,4:3 PanScan,4:3 Панорама,MISMATCH (ALL),
4K,,,4K,4K,UNCHANGED (SOME),
5,'',,5,5,INCOMPLETE (SOME),
50 MB/s,'',,50 МБ/с,50 MB/s,MISMATCH (SOME),
6,'',,6,6,INCOMPLETE (SOME),
7,'',,7,,INCOMPLETE (SOME),
8,'',,8,,INCOMPLETE (SOME),
8K,,,8K,8K,UNCHANGED (SOME),
8bit,8бит,,8bit,8бит,MISMATCH (SOME),unicode
9,'',,9,,INCOMPLETE (SOME),
: 0000 - default (disabled),,,: 0000 - по умолчанию (отключено),,SOLITARY,
<Current movielist location>,<Текущее расположение записей>,<Текущее расположение записей>,<Текущее место списка видео>,<Текущее расположение записей>,MISMATCH (ALL),
<Default movie location>,<Расположение записей по умолчанию>,<Расположение записей по умолчанию>,<Место видео по дефолту>,<Расположение записей по умолчанию>,MISMATCH (ALL),
<Last timer location>,<Расположение последнего таймера>,<Расположение последней записи>,<Место последнего таймера>,<Расположение последнего таймера>,MISMATCH (ALL),
<unknown>,<Неизвестно>,<неизвестный>,<неизвестный>,<неизвестный>,MISMATCH (ALL),
=NO STREAM\n,'',,=НЕТ СТРИМА\n,=НЕТ ПОТОКА\n,MISMATCH (SOME),
??,'',??,??,??,INCOMPLETE (ALL),
A,'',A,A,A,INCOMPLETE (ALL),
A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,Конфигурационный файл (%s) изменён в процессе установки\nХотите сохранить ваши изменения?,Файл конфигурации (%s) был изменен при установке\nВы хотите сохранить ваши изменения?,Конфигурационный файл (%s)  был изменен в процессе установки.\nСохранить Ваши изменения?,Конфигурационный файл (%s) был изменен в процессе установки.\nСохранить изменения?,MISMATCH (ALL),
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,Конфигурационный файл (%s) изменён в процессе установки.\nХотите сохранить изменения?,Конфигурационный файл (%s)  был изменен в процессе установки.\nСохранить вашу версию?,Конфигурационный файл (%s)  был изменен в процессе установки.\nСохранить вашу версию?,Конфигурационный файл (%s) изменен в процессе установки.\nХотите сохранить изменения?,MISMATCH (ALL),
A file from media is in use!,,,Медиа файл используется!,,SOLITARY,
A finished record timer wants to set your\nreceiver to standby. Do that now?,,,"Запись по таймеру завершена, ресивер будет переведен в режим ожидания.\nСделать это сейчас?",,SOLITARY,
A finished record timer wants to shut down\nyour receiver. Shutdown now?,,,"Запись по таймеру закончена, ваш ресивер будет выключен (режим глубокого ожидания).\nВыключить сейчас?",,SOLITARY,
A graphical EPG for all services of a specific bouquet,,,Графический EPG для всех сервисов в выбранных букетах,,SOLITARY,
A record has been started:\n%s,,,Запись была начата:\n%s,,SOLITARY,
A recording is currently running on the selected tuner. Please select a different tuner or stop the recording and try again.,,,"В текущее время идет запись. Пожалуйста, выберите другой тюнер такого же типа или остановите запись перед попыткой сканирования.",,SOLITARY,
A recording is currently running.\nWhat do you want to do?,Идёт запись\nЧто хотите сделать?,В данный момент идет запись.\nЧто вы хотите сделать?,В текущее время идет запись.\nЧто вы хотите сделать?,,MISMATCH (SOME),
A recording is currently running. Please stop the recording before trying to scan.,Идёт запись. Остановите запись перед поиском,"Идет запись. Пожалуйста, остановите запись перед сканированием!","В текущее время идет запись.Пожалуйста, остановите запись, прежде чем начать сканирование.",Выполняется запись. Остановите запись перед сканированием.,MISMATCH (ALL),
A recording is currently running. Please stop the recording before trying to start a testing DiSEqC.,,,В текущее время идет запись. Пожалуйста остановите запись перед началом тестирования DiSEqC.,,SOLITARY,
A required tool (%s) was not found.,Требуемая программа (%s) не найдена,Нужный инструмент (%s) не найден!,"Нужный инструмент (%s), не найден.","Нужный инструмент (%s), не найден.",MISMATCH (ALL),
A search for available updates is currently in progress.,Идёт поиск доступных обновлений,Выполняется поиск доступных обновлнений...,Поиск доступных обновлений сейчас в процессе.,Выполняется поиск доступных обновлений.,MISMATCH (ALL),
