msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!",\nPo stlačení OK prosím počkajte!,\nPo stlačení tlačidla OK počkajte!,\nPo stlačení tlačidla OK prosím čakajte!,\nPo stlačení tlačidla OK počkajte!,MISMATCH (ALL),
\nConflict detection disabled!,,,\nZisťovanie konfliktov zakázané!,,SOLITARY,
\nPress OK on your remote control to continue.,\nPre pokračovanie stlačte OK na diaľkovom ovládači.,\nPre pokračovanie stlačte tlačidlo OK na diaľkovom ovládači.,\nPre pokračovanie stlačte tlačidlo OK na diaľkovom ovládači.,\nPre pokračovanie stlačte tlačidlo OK na diaľkovom ovládači.,MISMATCH (ALL),
\nPress OK or Exit to abort!,,,\nStlačte OK alebo Exit!,,SOLITARY,
\nRecording in progress.,\nPrebieha nahrávanie.,,\nNahráva sa.,,MISMATCH (SOME),
\nTimer '%s' disabled!,,,\nČasovač '%s' zakázaný!,'',INCOMPLETE (SOME),
 (0 - all networks),,, (0 - všetky siete),,SOLITARY,
 (Channel %s), (Kanál %s),, (Kanál %s),,CONSISTENT (SOME),
 (Partition %d), (Partícia %d),, (Partícia %d),,CONSISTENT (SOME),
 (PiP),'','', (PiP),,INCOMPLETE (SOME),
 (Radio), (Rádio),'', (Rádio),,INCOMPLETE (SOME),
 (TV),'','', (TV),,INCOMPLETE (SOME),
 (disabled), (vypnuté),, (zakázané),,MISMATCH (SOME),
 (higher than any auto), (väčšie ako akékoľvek autom.),," (vyššia, než akékoľvek auto)",'',MISMATCH (SOME),
 (higher than rotor any auto)," (väčšie ako rotor, akékoľvek autom.)",, (vyššia ako rotor akékoľvek auto),'',MISMATCH (SOME),
 (lower than any auto), (menšie ako akékoľvek autom.),, (nižšia než akékoľvek auto),'',MISMATCH (SOME),
 extensions.,,, rozšírenia.,,SOLITARY,
 min,,, min,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, balíčkov zvolených.,,SOLITARY,
 updates available.,,, dostupných aktualizácií.,,SOLITARY,
%.0f GB,'',,%.0f GB,'',INCOMPLETE (SOME),
%.0f MB,'',,%.0f MB,'',INCOMPLETE (SOME),
%.0f kB,,,%.0f kB,'',INCOMPLETE (SOME),
%.1f° E,,,%.1f° E,,SOLITARY,
%.1f° W,,,%.1f° W,,SOLITARY,
%.2f GB,'',,%.2f GB,'',INCOMPLETE (SOME),
