msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\nPo pritisku na OK, počakajte!","\nPo pritisku na OK, počakajte!","\nPo pritisku na OK, počakajte!","\nPo pritisku na OK, počakajte!",CONSISTENT (ALL),
\nConflict detection disabled!,,,'',,SOLITARY,
\nPress OK on your remote control to continue.,\nZa nadaljevanje pritisnite OK.,\nZa nadaljevanje pritisnite OK.,\nZa nadaljevanje pritisnite OK.,\nZa nadaljevanje pritisnite OK.,CONSISTENT (ALL),
\nRecording in progress.,'',,\nTrenutno poteka snemanje!,,INCOMPLETE (SOME),
\nTimer '%s' disabled!,,,\nČasovnik '%s' je izklopljen!,'',INCOMPLETE (SOME),
 (0 - all networks),,,'',,SOLITARY,
 (Channel %s),'',, (Kanal %s),,INCOMPLETE (SOME),
 (Partition %d),'',, (Particija %d),,INCOMPLETE (SOME),
 (PiP),'', (PiP), (PiP),,INCOMPLETE (SOME),
 (Radio),'', (Radio), (Radio),,INCOMPLETE (SOME),
 (TV),'', (TV), (TV),,INCOMPLETE (SOME),
 (disabled),'',,(onemogočeno),,INCOMPLETE (SOME),
 (higher than any auto),'',,'','',EMPTY (SOME),
 (higher than rotor any auto),'',,'','',EMPTY (SOME),
 (lower than any auto),'',,'','',EMPTY (SOME),
 extensions.,,,razširitve.,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, izbranih paketov.,,SOLITARY,
 updates available.,,, nadgradenj na voljo.,,SOLITARY,
%.0f GB,'',,'','',EMPTY (SOME),
%.0f MB,'',,'','',EMPTY (SOME),
%.0f kB,,,'','',EMPTY (SOME),
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,'','',EMPTY (SOME),
%02d:%02d,,,%02d:%02d,,SOLITARY,
%03d MB,'',,'','',EMPTY (SOME),
%2.1f sec,'',,'','',EMPTY (SOME),
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME),
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME),
%3.01f dB,,,'','',EMPTY (SOME),
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME),
%A %e %B,,%A %e %B,%A %e %B,,UNCHANGED (SOME),
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME),
%H:%M,%S:%M,%S:%M,%S:%M,%S:%M,CONSISTENT (ALL),
%a %e/%m,,%a %e/%m,%a %e/%m,,UNCHANGED (SOME),
%a %e/%m  %-H:%M,,%a %e/%m  %-H:%M,%a %e/%m  %-H:%M,,UNCHANGED (SOME),
%d B,,,'','',EMPTY (SOME),
%d GB,'','','','',EMPTY (ALL),
%d MB,'','','','',EMPTY (ALL),
%d kB,'','','','',EMPTY (ALL),
%d kB/s,,,'',,SOLITARY,
%d min,'',%d min,%d min,%d min,INCOMPLETE (ALL),
%d minutes,%d minut,%d minut,%d minut,%d minut,CONSISTENT (ALL),
%d ms,,,'',,SOLITARY,
%d sec,,,'',,SOLITARY,
%d-%m,'',,%d-%m,,INCOMPLETE (SOME),
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY,
%d.%03d GB,,,'','',EMPTY (SOME),
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME),
%k:%M %e/%m,,%k:%M %e/%m,%k:%M %e/%m,,UNCHANGED (SOME),
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME),
%s %d.%d,,,'',,SOLITARY,
%s %s free disk space,,,%s %s praznega prostora na disku,,SOLITARY,
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL),
%s imported from fallback tuner,,,'',,SOLITARY,
%s is no longer used. Should it be deleted?,'','',"%s ni več v uporabi. Želite, da izvedem izbris?",'',INCOMPLETE (ALL),
%s%d min,,,%s%d min,,SOLITARY,
%s/%s: %s,'','',%s/%s: %s,'',INCOMPLETE (ALL),
%s:%s,,,%s:%s,'',INCOMPLETE (SOME),
(VU+ type),,,'',,SOLITARY,
(ZAP as PiP),,,'','',EMPTY (SOME),
(ZAP),,(preklop),(preklop),(preklop),CONSISTENT (SOME),
(activated +%d min),,,(aktivirano + %d min),,SOLITARY,
(empty),(prazno),(prazno),(prazno),(prazno),CONSISTENT (ALL),
(not activated),,,(ni aktivirano),,SOLITARY,
(show optional DVD audio menu),(prikaz opcijskega DVD avdio menija),(prikaz opcijskega DVD avdio menija),(prikaz opcijskega DVD avdio menija),(prikaz opcijskega DVD avdio menija),CONSISTENT (ALL),
* Only available if more than one interface is active.,* Na voljo samo kadar je hkrati aktivnih več vmesnikov.,* Na voljo samo kadar je hkrati aktivnih več vmesnikov.,* Na voljo samo kadar je hkrati aktivnih več vmesnikov.,* Na voljo samo kadar je hkrati aktivnih več vmesnikov.,CONSISTENT (ALL),
-NO SERVICE\n,'',,'','',EMPTY (SOME),
-SERVICE ERROR:%d\n,'',,'','',EMPTY (SOME),
/s,'','',/s,'',INCOMPLETE (ALL),
0,'',,0,,INCOMPLETE (SOME),
1,'',,1,,INCOMPLETE (SOME),
1.0,'',1.0,1.0,1.0,INCOMPLETE (ALL),
1.1,'',1.1,1.1,1.1,INCOMPLETE (ALL),
1.2,'',1.2,1.2,1.2,INCOMPLETE (ALL),
10 MB/s,'',,'','',EMPTY (SOME),
100 MB/s,'',,'','',EMPTY (SOME),
10bit,'',,'','',EMPTY (SOME),
12V output,12V izhod,12V izhod,12V izhod,12V izhod,CONSISTENT (ALL),
12bit,'',,'','',EMPTY (SOME),
13 V,'',13 V,13 V,13 V,INCOMPLETE (ALL),
16:10,'',16:10,16:10,16:10,INCOMPLETE (ALL),
16:10 Letterbox,'',16:10 Letterbox,16:10 Letterbox,16:10 Letterbox,INCOMPLETE (ALL),
16:10 PanScan,'',16:10 PanScan,16:10 PanScan,16:10 PanScan,INCOMPLETE (ALL),
16:9,'',16:9,16:9,16:9,INCOMPLETE (ALL),
16:9 Letterbox,'',16:9 Letterbox,16:9 Letterbox,16:9 Letterbox,INCOMPLETE (ALL),
16:9 always,vedno 16:9 ,vedno 16:9 ,vedno 16:9 ,vedno 16:9 ,CONSISTENT (ALL),
16K,,,'','',EMPTY (SOME),
18 V,'',18 V,18 V,18 V,INCOMPLETE (ALL),
2,'',,2,,INCOMPLETE (SOME),
20 MB/s,'',,'','',EMPTY (SOME),
23.976,'','',23.976,'',INCOMPLETE (ALL),
24,,,24,,SOLITARY,
25,,,25,,SOLITARY,
29.97,'','',29.97,'',INCOMPLETE (ALL),
3,'',,3,,INCOMPLETE (SOME),
30,,,30,,SOLITARY,
3D surround,,,'',,SOLITARY,
3D surround softlimiter,,,'',,SOLITARY,
3D surround speaker position,,,'','',EMPTY (SOME),
3d mode,3D način,3D način,3D način,,CONSISTENT (SOME),
4,'',,4,,INCOMPLETE (SOME),
420,'',,'','',EMPTY (SOME),
422,'',,'','',EMPTY (SOME),
444,'',,'','',EMPTY (SOME),
4:3,'',4:3,4:3,4:3,INCOMPLETE (ALL),
4:3 Letterbox,'',4:3 Letterbox,4:3 Letterbox,4:3 Letterbox,INCOMPLETE (ALL),
4:3 PanScan,'',4:3 PanScan,4:3 PanScan,4:3 PanScan,INCOMPLETE (ALL),
5,'',,5,,INCOMPLETE (SOME),
50 MB/s,'',,'','',EMPTY (SOME),
6,'',,6,'',INCOMPLETE (SOME),
7,'',,7,,INCOMPLETE (SOME),
8,'',,8,,INCOMPLETE (SOME),
8bit,'',,'','',EMPTY (SOME),
9,'',,9,,INCOMPLETE (SOME),
: 0000 - default (disabled),,,'',,SOLITARY,
<Current movielist location>,"<Trenutna \""movielist\"" lokacija>","<Trenutna \""movielist\"" lokacija>","<Trenutna \""movielist\"" lokacija>","<Trenutna \""movielist\"" lokacija>",CONSISTENT (ALL),
<Default movie location>,"<Privzeta \""movie\"" lokacija>","<Privzeta \""movie\"" lokacija>","<Privzeta \""movie\"" lokacija>","<Privzeta \""movie\"" lokacija>",CONSISTENT (ALL),
<Last timer location>,"<Prejšnja \""timer\"" lokacija>","<Prejšnja \""timer\"" lokacija>","<Prejšnja \""timer\"" lokacija>","<Prejšnja \""timer\"" lokacija>",CONSISTENT (ALL),
<unknown>,<nepoznano>,<nepoznano>,<nepoznano>,<nepoznano>,CONSISTENT (ALL),
=NO STREAM\n,'',,'','',EMPTY (SOME),
??,'',??,??,??,INCOMPLETE (ALL),
A,'',A,A,A,INCOMPLETE (ALL),
A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,'','',Nastavitvena datoteka (%s) je bila po namestitvi spremenjena.\nŽelite obdržati vašo različico datoteke?,'',INCOMPLETE (ALL),
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,Datoteka nastavitev (%s) je po namestitvi bila spremenjena.\nŽelite obdržati vašo različico datoteke?,Datoteka nastavitev (%s) je po namestitvi bila spremenjena.\nŽelite obdržati vašo različico datoteke?,Datoteka nastavitev (%s) je po namestitvi bila spremenjena.\nŽelite obdržati vašo različico datoteke?,Datoteka nastavitev (%s) je po namestitvi bila spremenjena.\nŽelite obdržati vašo različico datoteke?,CONSISTENT (ALL),
A file from media is in use!,,,'',,SOLITARY,
