msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\nPosle stiskanja OK,molim pričekajte","\nPosle stiskanja OK,molim pričekajte","\nPosle stiskanja OK,molim pričekajte","\nPosle stiskanja OK,molim pričekajte",CONSISTENT (ALL)
\nConflict detection disabled!,,,'',,SOLITARY
\nPress OK on your remote control to continue.,\nPritisni OK na tvom daljinskom da nastaviš,\nPritisni OK na tvom daljinskom da nastaviš,\nPritisni OK na tvom daljinskom da nastaviš,\nPritisni OK na tvom daljinskom da nastaviš,CONSISTENT (ALL)
\nRecording in progress.,'',,'',,EMPTY (SOME)
\nTimer '%s' disabled!,,,'','',EMPTY (SOME)
 (0 - all networks),,,'',,SOLITARY
 (Channel %s),'',,'',,EMPTY (SOME)
 (Partition %d),'',,'',,EMPTY (SOME)
 (PiP),'','','',,EMPTY (SOME)
 (Radio),'','','',,EMPTY (SOME)
 (TV),'','','',,EMPTY (SOME)
 (disabled),'',,'',,EMPTY (SOME)
 (higher than any auto),'',,'','',EMPTY (SOME)
 (higher than rotor any auto),'',,'','',EMPTY (SOME)
 (lower than any auto),'',,'','',EMPTY (SOME)
 extensions.,,,proširenja.,,SOLITARY
 ms,,,ms,,SOLITARY
 packages selected.,,,Paketa izabrano,,SOLITARY
 updates available.,,,ažuriranja dostupna.,,SOLITARY
%.0f GB,'',,'','',EMPTY (SOME)
%.0f MB,'',,'','',EMPTY (SOME)
%.0f kB,,,'','',EMPTY (SOME)
%.1f° E,,,'',,SOLITARY
%.1f° W,,,'',,SOLITARY
%.2f GB,'',,'','',EMPTY (SOME)
%02d:%02d,'',,'',,EMPTY (SOME)
%03d MB,'',,'','',EMPTY (SOME)
%2.1f sec,'',,'','',EMPTY (SOME)
%2d:%02d,,'','',,EMPTY (SOME)
%2d:%02d:%02d,,'','',,EMPTY (SOME)
%3.01f dB,,,'','',EMPTY (SOME)
%A %d %B,'',,'',,EMPTY (SOME)
%A %e %B,,'','',,EMPTY (SOME)
%A %e %B %Y,,'','',,EMPTY (SOME)
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL)
%a %e/%m,,'','',,EMPTY (SOME)
%a %e/%m  %-H:%M,,'','',,EMPTY (SOME)
%d B,,,'','',EMPTY (SOME)
%d GB,'','','','',EMPTY (ALL)
%d MB,'','','','',EMPTY (ALL)
%d fps,,,'',,SOLITARY
%d kB,'','','','',EMPTY (ALL)
%d kB/s,,,'',,SOLITARY
%d min,'',%d min,%d min,%d min,INCOMPLETE (ALL)
%d minutes,'','','','',EMPTY (ALL)
%d ms,,,'',,SOLITARY
%d sec,'',,'',,EMPTY (SOME)
%d-%m,'',,'',,EMPTY (SOME)
%d.%02d. %02d:%02d,,,'',,SOLITARY
%d.%03d GB,'',,'','',EMPTY (SOME)
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME)
%d:%02d,,,'',,SOLITARY
%k:%M %e/%m,,'','',,EMPTY (SOME)
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME)
%s %d.%d,,,'',,SOLITARY
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL)
%s imported from fallback tuner,,,'',,SOLITARY
%s is no longer used. Should it be deleted?,'','','','',EMPTY (ALL)
%s%d min,,,'',,SOLITARY
%s/%s: %s,'','','','',EMPTY (ALL)
%s:%s,,,'','',EMPTY (SOME)
(VU+ type),,,'',,SOLITARY
(ZAP as PiP),,,'','',EMPTY (SOME)
(ZAP),,(ZAP),(ZAP),(ZAP),UNCHANGED (SOME)
(activated +%d min),,,'',,SOLITARY
(empty),(prazno),(prazno),(prazno),(prazno),CONSISTENT (ALL)
(not activated),,,'',,SOLITARY
(show optional DVD audio menu),(prikaži alternativni DVD audio meni),(prikaži alternativni DVD audio meni),(prikaži alternativni DVD audio meni),(prikaži alternativni DVD audio meni),CONSISTENT (ALL)
* Only available if more than one interface is active.,* Dostupan samo ako je više interfejsa aktivno.,* Dostupan samo ako je više interfejsa aktivno.,* Dostupan samo ako je više interfejsa aktivno.,* Dostupan samo ako je više interfejsa aktivno.,CONSISTENT (ALL)
-NO SERVICE\n,'',,'','',EMPTY (SOME)
-SERVICE ERROR:%d\n,'',,'','',EMPTY (SOME)
/s,'','','','',EMPTY (ALL)
0,'',,0,,INCOMPLETE (SOME)
1,'',,1,,INCOMPLETE (SOME)
1.0,'',1.0,1.0,1.0,INCOMPLETE (ALL)
1.1,'',1.1,1.1,1.1,INCOMPLETE (ALL)
1.2,'',1.2,1.2,1.2,INCOMPLETE (ALL)
10 MB/s,'',,'','',EMPTY (SOME)
100 MB/s,'',,'','',EMPTY (SOME)
10bit,'',,'','',EMPTY (SOME)
12V output,12V izlaz,12V izlaz,12V izlaz,12V izlaz,CONSISTENT (ALL)
12bit,'',,'','',EMPTY (SOME)
13 V,'',13 V,13 V,13 V,INCOMPLETE (ALL)
16:10,'',16:10,16:10,16:10,INCOMPLETE (ALL)
16:10 Letterbox,'',16:10 Letterbox,16:10 Letterbox,16:10 Letterbox,INCOMPLETE (ALL)
16:10 PanScan,'',16:10 PanScan,16:10 PanScan,16:10 PanScan,INCOMPLETE (ALL)
16:9,'',16:9,16:9,16:9,INCOMPLETE (ALL)
16:9 Letterbox,'',16:9 Letterbox,16:9 Letterbox,16:9 Letterbox,INCOMPLETE (ALL)
16:9 always,16:9 uvek,16:9 uvek,16:9 uvek,16:9 uvek,CONSISTENT (ALL)
16K,,,'','',EMPTY (SOME)
18 V,'',18 V,18 V,18 V,INCOMPLETE (ALL)
2,'',,2,,INCOMPLETE (SOME)
20 MB/s,'',,'','',EMPTY (SOME)
23.976,'','','','',EMPTY (ALL)
24,,,'',,SOLITARY
25,,,'',,SOLITARY
29.97,'','','','',EMPTY (ALL)
3,'',,3,,INCOMPLETE (SOME)
30,,,'',,SOLITARY
3D surround,,,'',,SOLITARY
3D surround softlimiter,,,'',,SOLITARY
3D surround speaker position,,,'','',EMPTY (SOME)
3d mode,'','','',,EMPTY (SOME)
4,'',,4,,INCOMPLETE (SOME)
420,'',,'','',EMPTY (SOME)
422,'',,'','',EMPTY (SOME)
444,'',,'','',EMPTY (SOME)
4:3,'',4:3,4:3,4:3,INCOMPLETE (ALL)
