msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\nEfter tryckt OK, vänligen vänta!","\nEfter tryckt OK, vänligen vänta!","\nEfter att ha tryckt OK, var god vänta!","\nEfter tryckt OK, vänligen vänta!",MISMATCH (ALL),
\nConflict detection disabled!,,,\nKonfliktdetektering avstängd!,,SOLITARY,
\nPress OK on your remote control to continue.,\nTryck OK på fjärrkontrollen för att forsätta.,\nTryck OK på fjärrkontrollen för att forsätta.,\nTryck OK på fjärrkontrollen för att forsätta.,\nTryck OK på fjärrkontrollen för att forsätta.,CONSISTENT (ALL),
\nRecording in progress.,\nInspelning pågår.,,\nInspelning pågår.,\nInspelning pågår.,CONSISTENT (SOME),
\nTimer '%s' disabled!,,,\nTimer '%s' avstängd!,'',INCOMPLETE (SOME),
 (0 - all networks),,,(0 - alla nätverk),,SOLITARY,
 (Channel %s),(Kanal %s),, (Kanal %s),(Kanal %s),MISMATCH (SOME),whitespace
 (Partition %d),'',,'',,EMPTY (SOME),
 (PiP), (BiB), (BiB), (BiB),,CONSISTENT (SOME),
 (Radio),'', (Radio), (Radio),,INCOMPLETE (SOME),
 (TV),'', (TV), (TV),,INCOMPLETE (SOME),
 (disabled),(avaktiverad),,(avaktiverad),(avaktiverad),CONSISTENT (SOME),
 (higher than any auto),(högre än alla auto),,(högre än något auto),(högre än alla auto),MISMATCH (SOME),
 (higher than rotor any auto),'',,(högre än rotor något auto),'',INCOMPLETE (SOME),
 (lower than any auto),(lägre än alla auto),,(lägre än något auto),(lägre än alla auto),MISMATCH (SOME),
 extensions.,,, utökningar.,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, valda paket.,,SOLITARY,
 updates available.,,, uppdateringar tillgängliga.,,SOLITARY,
%.0f GB,'',,'','',EMPTY (SOME),
%.0f MB,'',,'','',EMPTY (SOME),
%.0f kB,,,'','',EMPTY (SOME),
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,'',,'','',EMPTY (SOME),
%02d:%02d,,,'',,SOLITARY,
%03d MB,,,'',,SOLITARY,
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME),
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME),
%3.01f dB,,,'','',EMPTY (SOME),
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME),
%A %e %B,,%A %e %B,%A %e %B,,UNCHANGED (SOME),
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME),
%H:%M,%T:%M,%T:%M,%H:%M,%T:%M,MISMATCH (ALL),
%a %e/%m,,%a %e/%m,%a %e/%m,,UNCHANGED (SOME),
%a %e/%m  %-H:%M,,%a %e/%m  %-T%M,%a %e/%m  %-H:%M,,MISMATCH (SOME),
%d B,,,'','',EMPTY (SOME),
%d GB,'',%d GB,'',%d GB,INCOMPLETE (ALL),
%d MB,'',%d MB,'',%d MB,INCOMPLETE (ALL),
%d kB,'',%d kB,'',%d kB,INCOMPLETE (ALL),
%d kB/s,,,'',,SOLITARY,
%d min,'',%d min,%d min,%d min,INCOMPLETE (ALL),
%d minutes,%d minuter,%d minuter,%d minuter,%d minuter,CONSISTENT (ALL),
%d ms,,,'',,SOLITARY,
%d sec,,,%d sek,,SOLITARY,
%d-%m,'',,%d-%m,,INCOMPLETE (SOME),
%d.%02d. %02d:%02d,,,'',,SOLITARY,
%d.%03d GB,,,'',,SOLITARY,
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME),
%k:%M %e/%m,,%k:%M %e/%m,%k:%M %e/%m,,UNCHANGED (SOME),
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME),
%s %d.%d,,,'',,SOLITARY,
%s %s free disk space,,,%s %s ledigt diskutrymme,,SOLITARY,
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL),
%s imported from fallback tuner,,,'',,SOLITARY,
%s is no longer used. Should it be deleted?,%s används inte längre. Skall den tas bort?,%s används inte längre. Skall den tas bort?,%s används inte längre. Skall den tas bort?,%s används inte längre. Skall den tas bort?,CONSISTENT (ALL),
%s%d min,'',,%s%d min,,INCOMPLETE (SOME),
%s/%s: %s,'',%s/%s: %s,%s/%s: %s,%s/%s: %s,INCOMPLETE (ALL),
%s:%s,,,'','',EMPTY (SOME),
(ZAP as PiP),,,'','',EMPTY (SOME),
(ZAP),,(ZAP),(ZAPP),(ZAP),MISMATCH (SOME),
(activated +%d min),,,(aktiverad + %d min),,SOLITARY,
(empty),(tom),(tom),(tom),(tom),CONSISTENT (ALL),
(not activated),,,(inte aktiverad),,SOLITARY,
(show optional DVD audio menu),(visa utökad DVD ljudmeny),(visa utökad DVD ljudmeny),(visa utökad DVD ljudmeny),(visa utökad DVD ljudmeny),CONSISTENT (ALL),
* Only available if more than one interface is active.,* Endast tillgänglig om mer än ett gränssnitt är aktivt.,* Endast tillgänglig om mer än ett gränssnitt är aktivt.,* Enbart tillgänglig om mer än ett kort är aktivt.,* Endast tillgänglig om mer än ett gränssnitt är aktivt.,MISMATCH (ALL),
-NO SERVICE\n,'',,'','',EMPTY (SOME),
-SERVICE ERROR:%d\n,'',,'','',EMPTY (SOME),
/s,'','',/s,/s,INCOMPLETE (ALL),
0,'',,0,,INCOMPLETE (SOME),
1,'',,1,,INCOMPLETE (SOME),
1.0,'',1.0,1.0,1.0,INCOMPLETE (ALL),
1.1,'',1.1,1.1,1.1,INCOMPLETE (ALL),
1.2,'',1.2,1.2,1.2,INCOMPLETE (ALL),
10 MB/s,'',,'','',EMPTY (SOME),
100 MB/s,'',,'','',EMPTY (SOME),
10bit,'',,'','',EMPTY (SOME),
12V output,12V utgång,12V utgång,12V utgång,12V utgång,CONSISTENT (ALL),
12bit,'',,'','',EMPTY (SOME),
13 V,'',13 V,13 V,13 V,INCOMPLETE (ALL),
16:10,'',16:10,16:10,16:10,INCOMPLETE (ALL),
16:10 Letterbox,'',16:10 Letterbox,16:10 Letterbox,16:10 Letterbox,INCOMPLETE (ALL),
16:10 PanScan,'',16:10 PanScan,16:10 PanScan,16:10 PanScan,INCOMPLETE (ALL),
16:9,'',16:9,16:9,16:9,INCOMPLETE (ALL),
16:9 Letterbox,'',16:9 Letterbox,16:9 Letterbox,16:9 Letterbox,INCOMPLETE (ALL),
16:9 always,16:9 alltid,16:9 alltid,16:9 alltid,16:9 alltid,CONSISTENT (ALL),
16K,,,'','',EMPTY (SOME),
18 V,'',18 V,18 V,18 V,INCOMPLETE (ALL),
2,'',,2,,INCOMPLETE (SOME),
20 MB/s,'',,'','',EMPTY (SOME),
23.976,'',23.976,23.976,23.976,INCOMPLETE (ALL),
24,'',24,24,24,INCOMPLETE (ALL),
25,'',25,25,25,INCOMPLETE (ALL),
29.97,'',29.97,29.97,29.97,INCOMPLETE (ALL),
3,'',,3,,INCOMPLETE (SOME),
30,'',30,30,30,INCOMPLETE (ALL),
3D surround,,,'',,SOLITARY,
3D surround softlimiter,,,'',,SOLITARY,
3D surround speaker position,,,'',,SOLITARY,
3d mode,3d läge,3d läge,3d läge,,CONSISTENT (SOME),
4,'',,4,,INCOMPLETE (SOME),
420,'',,'','',EMPTY (SOME),
422,'',,'','',EMPTY (SOME),
444,'',,'','',EMPTY (SOME),
4:3,'',4:3,4:3,4:3,INCOMPLETE (ALL),
4:3 Letterbox,'',4:3 Letterbox,4:3 Letterbox,4:3 Letterbox,INCOMPLETE (ALL),
4:3 PanScan,'',4:3 PanScan,4:3 PanScan,4:3 PanScan,INCOMPLETE (ALL),
5,'',,5,,INCOMPLETE (SOME),
50 MB/s,'',,'','',EMPTY (SOME),
6,'',,6,'',INCOMPLETE (SOME),
7,'',,7,,INCOMPLETE (SOME),
8,'',,8,,INCOMPLETE (SOME),
8bit,'',,'','',EMPTY (SOME),
9,'',,9,,INCOMPLETE (SOME),
: 0000 - default (disabled),,,: 0000 - standard (avstängd),,SOLITARY,
<Current movielist location>,<Aktuell filmlistas plats>,<Aktuell filmlistas plats>,<Filmlistans aktuella plats>,<Aktuell filmlistas plats>,MISMATCH (ALL),
<Default movie location>,<Förvald sökväg>,<Förvald sökväg>,<Filmlistans plats>,<Förvald sökväg>,MISMATCH (ALL),
<Last timer location>,<Senaste timers sökväg>,<Senaste timers sökväg>,<Timerns senaste plats>,<Senaste timers sökväg>,MISMATCH (ALL),
<unknown>,<okänd>,<okänd>,<okänd>,<okänd>,CONSISTENT (ALL),
=NO STREAM\n,'',,'','',EMPTY (SOME),
??,'',??,??,??,INCOMPLETE (ALL),
A,'',A,A,A,INCOMPLETE (ALL),
A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,En konfigurationsfil (%s) har ändrats från ursprunglig. \nVill du behålla dina ändringar?,En konfigurationsfil (%s) har ändrats från ursprunglig. \nVill du behålla dina ändringar?,En konfigurationsfil (%s) har ändrats sedan installationen.\nVill du behålla din ändring?,En konfigurationsfil (%s) har ändrats från ursprunglig. \nVill du behålla dina ändringar?,MISMATCH (ALL),
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,En konfigurationsfil (%s) har ändrats sedan installationen.\nVill du behålla din version?,En konfigurationsfil (%s) har ändrats sedan installationen.\nVill du behålla din version?,En konfigurationsfil (%s) har ändrats sedan installationen.\nVill du behålla din version?,En konfigurationsfil (%s) har ändrats sedan installationen.\nVill du behålla din version?,CONSISTENT (ALL),
A file from media is in use!,,,'',,SOLITARY,
A finished record timer wants to set your\nreceiver to standby. Do that now?,,,En avslutad inspelningstimer vill försätta din\nmottagare i viloläge. Utföra det nu?,,SOLITARY,
A finished record timer wants to shut down\nyour receiver. Shutdown now?,,,En avslutad inspelningstimer vill stänga av\ndin mottagare. Stänga av nu?,,SOLITARY,
A record has been started:\n%s,,,En inspelning har påbörjats :\n%s,,SOLITARY,
A recording is currently running.\nWhat do you want to do?,En inspelning pågår redan.\nVad vill du göra?,En inspelning pågår redan.\nVad vill du göra?,En inspelning pågår redan.\nVad vill du göra?,,CONSISTENT (SOME),
A recording is currently running. Please stop the recording before trying to scan.,En inspelning pågår för närvarande. Avsluta den innan du försöker att söka.,En inspelning pågår för närvarande. Avsluta den innan du försöker att söka.,En inspelning pågår för närvarande. Avsluta inspelning innan du försöker skanna.,En inspelning pågår för närvarande. Avsluta den innan du försöker att söka.,MISMATCH (ALL),
A recording is currently running. Please stop the recording before trying to start a testing DiSEqC.,,,En inspelning pågår för närvarande. Avsluta inspelning innan du försöker starta DiSEqC test.,,SOLITARY,
A required tool (%s) was not found.,Ett nödvändigt verktyg (%s) kunde inte hittas.,Ett nödvändigt verktyg (%s) kunde inte hittas.,Ett verktyg (%s) som behövs kunde inte hittas.,Ett nödvändigt verktyg (%s) kunde inte hittas.,MISMATCH (ALL),
A search for available updates is currently in progress.,En sökning efter tillgängliga uppdateringar utförs för tillfället.,En sökning efter tillgängliga uppdateringar utförs för tillfället.,En sökning efter tillgängliga uppdateringar utförs för tillfället.,En sökning efter tillgängliga uppdateringar utförs för tillfället.,CONSISTENT (ALL),
A second configured interface has been found.\n\nDo you want to disable the second network interface?,Ett andra konfigurerat nätverkskort har hittats.\n\nVill du avaktivera sekundärt nätverkskort?,Ett andra konfigurerat nätverkskort har hittats.\n\nVill du avaktivera sekundärt nätverkskort?,Ett andra konfigurerat nätverkskort har hittats.\n\nVill du avaktivera sekundärt nätverkskort?,Ett andra konfigurerat nätverkskort har hittats.\n\nVill du avaktivera sekundärt nätverkskort?,CONSISTENT (ALL),
A sleep timer wants to set your\nreceiver to standby. Do that now?,,,En insomningstimer vill försätta din\nmottagare i viloläge. Utföra det nu?,,SOLITARY,
A sleep timer wants to shut down\nyour receiver. Shutdown now?,,,En insomningstimer vill stänga av\ndin mottagare. Stänga av nu?,,SOLITARY,
A small overview of the available icon states and actions.,En liten översikt av tillgängliga ikoner status och åtgärder.,En liten översikt av tillgängliga ikoner status och åtgärder.,En liten översikt av tillgängliga ikoner och åtgärder.,En liten översikt av tillgängliga ikoner status och åtgärder.,MISMATCH (ALL),
A timer failed to record!\nDisable TV and try again?\n,En timerinspelning misslyckades!\nInaktivera TV och försök igen?\n,En timerinspelning misslyckades!\nInaktivera TV och försök igen?\n,En timerinspelning misslyckades!\nInaktivera TV och försök igen?\n,En timerinspelning misslyckades!\nInaktivera TV och försök igen?\n,CONSISTENT (ALL),
A/V settings,,A/V inställningar,Ljud / Video inställningar,,MISMATCH (SOME),
AAC downmix,AAC nedmixning,,AAC nedmixning,AAC nedmixning,CONSISTENT (SOME),
AC3 downmix,,,AC3 nedmixning,,SOLITARY,
ACQUIRING TSID/ONID,,ERHÅLLER TSID/ONID,'',ERHÅLLER TSID/ONID,INCOMPLETE (SOME),
AGC:,,,AGC :,'',INCOMPLETE (SOME),
ASS file,,,ASS fil,'',INCOMPLETE (SOME),
ATSC,'',,'','',EMPTY (SOME),
ATSC provider,,,ATSC operatör,,SOLITARY,
Abort,Avbryt,Avbryt,Avbryt,Avbryt,CONSISTENT (ALL),
Abort alternatives edit,,,Avbryt att editera alternativ,,SOLITARY,
Abort bouquet edit,,,Avbryt att editera favoritlista,,SOLITARY,
Abort favourites edit,,,Avbryt att editera favoriter,,SOLITARY,
About,Om,Om,Om,Om,CONSISTENT (ALL),
Accesspoint:,Accesspunkt:,Accesspunkt:,Accesspunkt :,Accesspunkt:,MISMATCH (ALL),whitespace
Activate HbbTV (Redbutton),Aktivera HbbTV (Röd),,Aktivera HbbTV (Röd Knapp),,MISMATCH (SOME),
Activate Picture in Picture,Aktivera Bild i Bild,Aktivera Bild i Bild,Aktivera Bild i Bild,Aktivera Bild i Bild,CONSISTENT (ALL),
Activate current configuration,Aktivera nuvarande konfiguration,Aktivera nuvarande konfiguration,Aktivera nuvarande konfiguration,Aktivera nuvarande konfiguration,CONSISTENT (ALL),
Activate network settings,Aktivera nätverksinställningar,Aktivera nätverksinställningar,Aktivera nätverksinställningar,Aktivera nätverksinställningar,CONSISTENT (ALL),
Activate the configured network settings.,Aktivera den konfigurerade nätverksinställningen.,Aktivera den konfigurerade nätverksinställningen.,Aktivera den konfigurerade nätverksinställningen.,Aktivera den konfigurerade nätverksinställningen.,CONSISTENT (ALL),
Activate timeshift End,,,Aktivera timeshiftslut,,SOLITARY,
Activate timeshift end and pause,'',,Aktivera timeshiftslut och pausa,'',INCOMPLETE (SOME),
Adapter settings,Adapter inställning,Adapter inställning,Adapterinställningar,Adapter inställning,MISMATCH (ALL),
Add,Lägg till,Lägg till,Lägg till,Lägg till,CONSISTENT (ALL),
Add a mark,Lägg till markör,Lägg till markör,Lägg till markör,Lägg till markör,CONSISTENT (ALL),
Add a nameserver entry,Lägg till en namnserver post,Lägg till en namnserver post,Lägg till en namnserver post,Lägg till en namnserver post,CONSISTENT (ALL),
Add a new title,Lägg till ny titel,Lägg till ny titel,Lägg till ny titel,Lägg till ny titel,CONSISTENT (ALL),
Add alternatives,,,Lägg till alternativ,,SOLITARY,
Add bookmark,Lägg till bokmärke,Lägg till bokmärke,Lägg till bokmärke,Lägg till bokmärke,CONSISTENT (ALL),
Add bouquet,,,Lägg till favoritlista,,SOLITARY,
Add bouquet to parental protection,,,Lägg till favoritlista till föräldraskydd,,SOLITARY,
Add directory to playlist,Lägg till katalog till spellista,Lägg till katalog till spellista,Lägg till bibliotek i spellista,Lägg till katalog till spellista,MISMATCH (ALL),
Add file to playlist,Lägg till fil i spellista,Lägg till fil i spellista,Lägg till fil i spellista,Lägg till fil i spellista,CONSISTENT (ALL),
Add files to playlist,Lägg till filer i spellista,Lägg till filer i spellista,Lägg till filer i spellista,Lägg till filer i spellista,CONSISTENT (ALL),
Add marker,,,Lägg till markör,,SOLITARY,
Add provider,Lägg till Leverantör,Lägg till Leverantör,Lägg till operatör,Lägg till Leverantör,MISMATCH (ALL),
Add recording (enter recording duration),Lägg till inspelning (ange varaktighet),Lägg till inspelning (ange varaktighet),Lägg till inspelning (ange inspelningslängd),Lägg till inspelning (ange varaktighet),MISMATCH (ALL),
Add recording (enter recording endtime),Lägg till inspelning (ange stopptid),Lägg till inspelning (ange stopptid),Lägg till inspelning (ange sluttid för inspelning),Lägg till inspelning (ange stopptid),MISMATCH (ALL),
Add recording (indefinitely),Lägg till inspelning (oändlig),Lägg till inspelning (oändlig),Lägg till inspelning (oändlig),Lägg till inspelning (oändlig),CONSISTENT (ALL),
Add recording (stop after current event),Lägg till inspelning (stoppa efter pågående händelse),Lägg till inspelning (stoppa efter pågående händelse),Lägg till inspelning (avsluta efter nuvarande program),Lägg till inspelning (stoppa efter pågående händelse),MISMATCH (ALL),
Add service,Lägg till kanal,Lägg till kanal,Lägg till tjänst,Lägg till kanal,MISMATCH (ALL),
Add service to bouquet,,,Lägg till kanal till favoritlista,,SOLITARY,
Add service to favourites,,,Lägg till kanal till favoriter,,SOLITARY,
Add timer,Lägg till timer,Lägg till timer,Lägg till timer,Lägg till timer,CONSISTENT (ALL),
Add title,Lägg till titel,Lägg till titel,Lägg till titel,Lägg till titel,CONSISTENT (ALL),
Add to bouquet,,Lägg till i favoritlista,Lägg till i favoritlista,Lägg till i favoritlista,CONSISTENT (SOME),
Add to favourites,,Lägg till i favoriter,Lägg till i favoriter,Lägg till i favoriter,CONSISTENT (SOME),
Add to parental protection,,,Lägg till föräldraskydd,,SOLITARY,
Add/remove change timer for current event,'',,Lägg till / Ta bort ändrad timer för detta program,,INCOMPLETE (SOME),
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move the dish from one satellite to another satellite.,'',,'','',EMPTY (SOME),
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move to another satellite.,'',,'','',EMPTY (SOME),
Adjust 3D settings,Justera 3D inställningar,Justera 3D inställningar,Justera 3D-inställningar,,MISMATCH (SOME),
"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.","Justera färginställningarna så att alla färgnivåer är urskiljningsbara, men de ska vara så färgfulla som möjligt. När du är nöjd med resultatet, tryck OK för att stänga videoinställningarna eller tryck på nummerknapp för att välja annan testbild.","Justera färginställningarna så att alla färgnivåer är urskiljningsbara, men de ska vara så färgfulla som möjligt. När du är nöjd med resultatet, tryck OK för att stänga videoinställningarna eller tryck på nummerknapp för att välja annan testbild.","Justera färginställningarna så att alla färgnivåer är urskiljningsbara, men de ska vara så färgfulla som möjligt. När du är nöjd med resultatet, tryck OK för att stänga videoinställningarna eller tryck på nummerknapp för att välja annan testbild.","Justera färginställningarna så att alla färgnivåer är urskiljningsbara, men de ska vara så färgfulla som möjligt. När du är nöjd med resultatet, tryck OK för att stänga videoinställningarna eller tryck på nummerknapp för att välja annan testbild.",CONSISTENT (ALL),
Advanced,Avancerad,,Avancerad,Avancerad,CONSISTENT (SOME),
Advanced options,Avancerade inställningar,Avancerade inställningar,Avancerade inställningar,Avancerade inställningar,CONSISTENT (ALL),
Advanced options and settings.,,,Avancerade val och inställningar.,,SOLITARY,
Advanced restore,Avancerad återställning,Avancerad återställning,Avancerad återskapning,Avancerad återställning,MISMATCH (ALL),
Advanced software,Avancerad mjukvara,Avancerad mjukvara,Avancerad mjukvara,Avancerad mjukvara,CONSISTENT (ALL),
Advanced software plugin,Avancerad mjukvaruplugin,Avancerad mjukvaruplugin,Avancerad mjukvaruplugin,Avancerad mjukvaruplugin,CONSISTENT (ALL),
Advanced video enhancement setup,Avancerade  Bildförbättringsinställningar,Avancerade  Bildförbättringsinställningar,Avancerad videoförbättringsinställning,Avancerade  Bildförbättringsinställningar,MISMATCH (ALL),
Advanced video setup,,Avancerad bildinställning,Avancerad videoinställning,,MISMATCH (SOME),
Afghanistan,'',,'','',EMPTY (SOME),
After event,Efter program,Efter program,Efter program,Efter program,CONSISTENT (ALL),
Aland Islands,'',,'','',EMPTY (SOME),
Albania,'',,'','',EMPTY (SOME),
Album,'',Album,Album,Album,INCOMPLETE (ALL),
