msgid,openatv,openhdf,openpli,openvix,APPEARANCES,UNIQUES,DUPLICATES,EMPTIES
"\nAfter pressing OK, please wait!",\nกดปุ่ม OK แล้วรอสักครู่,\nกดปุ่ม OK แล้วรอสักครู่,\nกดปุ่ม OK แล้วรอสักครู่,\nกดปุ่ม OK แล้วรอสักครู่,4,1,3,0
\nPress OK on your remote control to continue.,\nกดปุ่ม OK ที่รีโมท เพื่อทำต่อ,\nกดปุ่ม OK ที่รีโมท เพื่อทำต่อ,\nกดปุ่ม OK ที่รีโมท เพื่อทำต่อ,\nกดปุ่ม OK ที่รีโมท เพื่อทำต่อ,4,1,3,0
 extensions.,,, ส่วนเพิ่มเติม,,1,1,0,0
 packages selected.,,, ส่วนประกอบที่เลือกไว้,,1,1,0,0
 updates available.,,, มีรายการปรับปรุง,,1,1,0,0
%H:%M,,'','','',3,0,0,3
%d min,%d นาที,%d นาที,%d นาที,%d นาที,4,1,3,0
%d.%B %Y,,'','',,2,0,0,2
%s (%s)\n,,'','','',3,0,0,3
(ZAP),,(ย้ายช่อง),(ย้ายช่อง),(ย้ายช่อง),3,1,2,0
(empty),(ว่าง),(ว่าง),(ว่าง),(ว่าง),4,1,3,0
(show optional DVD audio menu),(เมนูเสียงของดีวีดี),(เมนูเสียงของดีวีดี),(เมนูเสียงของดีวีดี),(เมนูเสียงของดีวีดี),4,1,3,0
* Only available if more than one interface is active.,* ต้องมีอย่างน้อย 1 อินเตอร์เฟซใช้งานอยู่,* ต้องมีอย่างน้อย 1 อินเตอร์เฟซใช้งานอยู่,* ต้องมีอย่างน้อย 1 อินเตอร์เฟซใช้งานอยู่,* ต้องมีอย่างน้อย 1 อินเตอร์เฟซใช้งานอยู่,4,1,3,0
0,,,'',,1,0,0,1
1,,,'',,1,0,0,1
1.0,,'','','',3,0,0,3
1.1,,'','','',3,0,0,3
1.2,,'','','',3,0,0,3
12V output,,'','','',3,0,0,3
13 V,,'','','',3,0,0,3
16:10,,'','','',3,0,0,3
16:10 Letterbox,,'','','',3,0,0,3
16:10 PanScan,,'','','',3,0,0,3
16:9,,'','','',3,0,0,3
16:9 Letterbox,,'','','',3,0,0,3
16:9 always,16:9 ตลอดเวลา,16:9 ตลอดเวลา,16:9 ตลอดเวลา,16:9 ตลอดเวลา,4,1,3,0
18 V,,'','','',3,0,0,3
2,,,'',,1,0,0,1
3,,,'',,1,0,0,1
4,,,'',,1,0,0,1
4:3,,'','','',3,0,0,3
4:3 Letterbox,,'','','',3,0,0,3
4:3 PanScan,,'','','',3,0,0,3
5,,,'',,1,0,0,1
6,,,'',,1,0,0,1
7,,,'',,1,0,0,1
8,,,'',,1,0,0,1
9,,,'',,1,0,0,1
<unknown>,<ไม่ทราบ>,<ไม่ทราบ>,<ไม่ทราบ>,<ไม่ทราบ>,4,1,3,0
??,,'','','',3,0,0,3
A,,'','','',3,0,0,3
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,ไฟล์เก็บค่า (%s) ถูกแก้ไขช่วงติดตั้ง\nต้องการใช้เวอร์ชั่นที่ถูกแก้ไขหรือไม่?,ไฟล์เก็บค่า (%s) ถูกแก้ไขช่วงติดตั้ง\nต้องการใช้เวอร์ชั่นที่ถูกแก้ไขหรือไม่?,ไฟล์เก็บค่า (%s) ถูกแก้ไขช่วงติดตั้ง\nต้องการใช้เวอร์ชั่นที่ถูกแก้ไขหรือไม่?,ไฟล์เก็บค่า (%s) ถูกแก้ไขช่วงติดตั้ง\nต้องการใช้เวอร์ชั่นที่ถูกแก้ไขหรือไม่?,4,1,3,0
