msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!",\nOK tuşuna bastıktan sonra lütfen bekleyin!,\nTamam'a bastıktan sonra lütfen bekleyin!,\nLütfen OK'a bastıktan sonra bekleyin!,\nOK tuşuna bastıktan sonra lütfen bekleyin!,MISMATCH (ALL)
\nConflict detection disabled!,,,'',,SOLITARY
\nPress OK on your remote control to continue.,\nDevam etmek için kumandanızdaki OK tuşuna basın.,\nDevam etmek için kumandanızın OK tuşuna basın.,\nDevam etmek için kumandanızın OK tuşuna basın.,\nDevam etmek için kumandanızın OK tuşuna basın.,MISMATCH (ALL)
\nRecording in progress.,\nKayıt devam ediyor.,,\nKayıt devam ediyor.,\nKayıt devam ediyor.,CONSISTENT (SOME)
\nTimer '%s' disabled!,,,\n'%s' Zamanlayıcı devre dışı!,\n'%s' Zamanlayıcı devre dışı!,CONSISTENT (SOME)
 (0 - all networks),,,'', (0 - tüm ağlar),INCOMPLETE (SOME)
 (Channel %s), (Kanal %s),, (Kanal %s), (Kanal %s),CONSISTENT (SOME)
 (Partition %d), (Bölüm %d),, (Bölüm%d),,MISMATCH (SOME)
 (PiP), (RiR), (RiR), (RiR),,CONSISTENT (SOME)
 (Radio), (Radyo), (Radyo), (Radyo),,CONSISTENT (SOME)
 (TV),'', (TV), (TV),,INCOMPLETE (SOME)
 (disabled), (devre dışı), (devre dışı), (Devre Dışı), (devre dışı),MISMATCH (ALL)
 (higher than any auto), (herhangi bir otomatikden daha yüksek),herhangi bir otomatikden\n daha yüksek), (otomatikten daha hızlı),(herhangi bir otomatikden daha yüksek),MISMATCH (ALL)
 (higher than rotor any auto), (herhangi bir rotordan daha yüksek otomatik), (herhangi bir rotordan daha yüksek otomatik), (otomatik rotordan daha hızlı),(herhangi bir rotordan daha yüksek otomatik),MISMATCH (ALL)
 (lower than any auto), (herhangi bir otomatikden daha düşük), herhangi bir otomatikden daha düşük), (otomatikten daha yavaş),(herhangi bir otomatikden daha düşük),MISMATCH (ALL)
 extensions.,,,Eklentiler.,,SOLITARY
 ms,,, ms,,SOLITARY
 packages selected.,,,Paketler seçildi.,,SOLITARY
 updates available.,,,Güncelleme var.,,SOLITARY
%.0f GB,'',,'',%.0f GB,INCOMPLETE (SOME)
%.0f MB,'',,'',%.0f MB,INCOMPLETE (SOME)
%.0f kB,,,'',%.0f kB,INCOMPLETE (SOME)
%.1f° E,,,'',,SOLITARY
%.1f° W,,,'',,SOLITARY
%.2f GB,'',,'',%.2f GB,INCOMPLETE (SOME)
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME)
%03d MB,'',,'',%03d MB,INCOMPLETE (SOME)
%2.1f sec,'',,'','',EMPTY (SOME)
%2d:%02d,,'',%2d:%02d,,INCOMPLETE (SOME)
%2d:%02d:%02d,,'',%2d:%02d:%02d,,INCOMPLETE (SOME)
%3.01f dB,,,'','',EMPTY (SOME)
%A %d %B,'',%A %d %B,%A %d %B,'',INCOMPLETE (ALL)
%A %e %B,,%A %e %B,%A %e %B,,UNCHANGED (SOME)
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME)
%H:%M,'',%H:%M,%H:%M,%H:%M,INCOMPLETE (ALL)
%a %e/%m,,%a %e/%m,%a %e/%m,,UNCHANGED (SOME)
%a %e/%m  %-H:%M,,'',%a %e/%m  %-H:%M,,INCOMPLETE (SOME)
%d B,,,'','',EMPTY (SOME)
%d GB,'',%d GB,'',%d GB,INCOMPLETE (ALL)
%d MB,'',%d MB,'',%d MB,INCOMPLETE (ALL)
%d kB,'',%d kB,'',%d kB,INCOMPLETE (ALL)
%d kB/s,,,'',,SOLITARY
%d min,%d dak,%d dak,%d dk,%d dak,MISMATCH (ALL)
%d minutes,%d dakika,%d dakika,%d dakika,%d dakika,CONSISTENT (ALL)
%d ms,'',,'',,EMPTY (SOME)
%d sec,'',%d saniye,'',,INCOMPLETE (SOME)
%d-%m,'',%d-%m,%d-%m,,INCOMPLETE (SOME)
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY
%d.%03d GB,'',,'',,EMPTY (SOME)
%d.%B %Y,,'',%d.%B %Y,,INCOMPLETE (SOME)
%k:%M %e/%m,,'',%k:%M %e/%m,,INCOMPLETE (SOME)
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME)
%s %d.%d,,,'',,SOLITARY
%s %s free disk space,,,%s %s boş disk alanı,,SOLITARY
%s (%s)\n,'',%s (%s)\n,%s (%s)\n,%s (%s)\n,INCOMPLETE (ALL)
%s imported from fallback tuner,,,'',,SOLITARY
%s is no longer used. Should it be deleted?,%s artık kullanılmıyor. Silinmeli mi?,%s uzun zamandır kullanılmıyor. Silinmeli mi?,Artık %s kullanılmıyor. Bu silinmelidir?,%s artık kullanılmıyor. Silinmeli mi?,MISMATCH (ALL)
%s%d min,%s%d dak,%s%d dak,%s%d dk,,MISMATCH (SOME)
%s/%s: %s,'',%s/%s: %s,%s/%s: %s,%s/%s: %s,INCOMPLETE (ALL)
%s:%s,,,%s:%s,'',INCOMPLETE (SOME)
(VU+ type),,,'',,SOLITARY
(ZAP as PiP),,,'','',EMPTY (SOME)
(ZAP),,(KANAL DEĞİŞTİR),(ZAP),(KANAL DEĞİŞTİR),MISMATCH (SOME)
(activated +%d min),,,(aktif +%d dakika),,SOLITARY
(empty),(boş),(boş),(boş),(boş),CONSISTENT (ALL)
(not activated),,,(aktif değil),,SOLITARY
