msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\nПісля натиснення OK, зачекайте!",\nПісля натиснення на OK зачекайте!,"\nПісля натискання ОК, зачекайте!",\nПісля натиснення на OK зачекайте!,MISMATCH (ALL)
\nConflict detection disabled!,,,\nВиявлення конфліктів відключено!,,SOLITARY
\nPress OK on your remote control to continue.,\nНатисніть OK для продовження.,\nНатисніть OK для продовження.,\nНатисніть ОК на пульті для продовження.,\nНатисніть OK для продовження.,MISMATCH (ALL)
\nRecording in progress.,\nТриває запис.,,\nЗапис триває.,,MISMATCH (SOME)
\nTimer '%s' disabled!,,,\nТаймер '%s' відключений!,'',INCOMPLETE (SOME)
 (0 - all networks),,,(0 - всі мережі),,SOLITARY
 (Channel %s), (Канал %s),, (Канал %s),,CONSISTENT (SOME)
 (Partition %d), (Розділ %d),,(Розділ% d),,MISMATCH (SOME)
 (PiP), (ПіП),'', (PiP),,MISMATCH (SOME)
 (Radio), (Радіо),'', (Радіо),,INCOMPLETE (SOME)
 (TV), (ТБ),'', (ТБ),,INCOMPLETE (SOME)
 (disabled), (вимкнуто),,(вимкнено),,MISMATCH (SOME)
 (higher than any auto), (вище будь-якого авто),,"(вище, ніж будь-який авто)",'',MISMATCH (SOME)
 (higher than rotor any auto), (вище будь-якого двигуна авто),,"(вище, ніж ротор будь-якого авто)",'',MISMATCH (SOME)
 (lower than any auto), (нище будь-якого авто),,(нижче будь-якого авто),'',MISMATCH (SOME)
 extensions.,,, доповнень.,,SOLITARY
 ms,,, мс,,SOLITARY
 packages selected.,,, пакетів вибрано.,,SOLITARY
 updates available.,,, доступних оновлень.,,SOLITARY
%.0f GB,%.0f ГБ,,'','',INCOMPLETE (SOME)
%.0f MB,%.0f МБ,,'','',INCOMPLETE (SOME)
%.0f kB,,,'','',EMPTY (SOME)
%.1f° E,,,'',,SOLITARY
%.1f° W,,,'',,SOLITARY
%.2f GB,%.2f ГБ,,'','',INCOMPLETE (SOME)
%02d:%02d,'',,%2d:%02d,,INCOMPLETE (SOME)
%03d MB,%03d MБ,,'','',INCOMPLETE (SOME)
%2.1f sec,%2.1f сек,,'','',INCOMPLETE (SOME)
%2d:%02d,,%2d:%02d,%2d:%02d,,UNCHANGED (SOME)
%2d:%02d:%02d,,%2d:%02d:%02d,%2d:%02d:%02d,,UNCHANGED (SOME)
%3.01f dB,,,'','',EMPTY (SOME)
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME)
%A %e %B,,%A %e %B,%A %d %B,,MISMATCH (SOME)
%A %e %B %Y,,%A %e %B %Y,%A %e %B %Y,,UNCHANGED (SOME)
%H:%M,'',%Г:%ХВ,%H:%M,%Г:%ХВ,MISMATCH (ALL)
%a %e/%m,,%a %e/%m,%a %e/%m,,UNCHANGED (SOME)
%a %e/%m  %-H:%M,,%a %e/%m  %-H:%M,%a %e/%m  %-H:%M,,UNCHANGED (SOME)
%d B,,,'','',EMPTY (SOME)
%d GB,%d ГБ,'','','',INCOMPLETE (ALL)
%d MB,%d МБ,'','','',INCOMPLETE (ALL)
%d kB,%d кБ,'','','',INCOMPLETE (ALL)
%d kB/s,,,'',,SOLITARY
%d min,%d хв,%d хвил.,%d хв,%d хвил.,MISMATCH (ALL)
%d minutes,%d хвилин,'',%d хвилин,'',INCOMPLETE (ALL)
%d ms,%d мс,,'',,INCOMPLETE (SOME)
%d sec,%d сек.,,'',,INCOMPLETE (SOME)
%d-%m,'',,%d-%m,,INCOMPLETE (SOME)
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY
%d.%03d GB,%d.%03d ГБ,,'','',INCOMPLETE (SOME)
%d.%B %Y,,%d.%B %Y,%d.%B %Y,,UNCHANGED (SOME)
%k:%M %e/%m,,'',%k:%M %e/%m,,INCOMPLETE (SOME)
