msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\nSau khi nhấn OK, vui lòng đợi!",,"\nSau khi nhấn OK, vui lòng đợi!",,CONSISTENT (SOME),
\nConflict detection disabled!,,,\nPhát hiện xung đột bị vô hiệu hóa!,,SOLITARY,
\nPress OK on your remote control to continue.,\nNhấn OK trên điều khiển từ xa của bạn để tiếp tục.,,\nNhấn OK trên điều khiển từ xa của bạn để tiếp tục.,,CONSISTENT (SOME),
\nPress OK or Exit to abort!,,,\nNhấn OK hoặc Thoát để hủy bỏ!,,SOLITARY,
\nRecording in progress.,\nGhi âm trong tiến trình.,,\nGhi âm trong tiến trình.,,CONSISTENT (SOME),
\nTimer '%s' disabled!,,,\nHẹn giờ '%s' bị vô hiệu hóa!,,SOLITARY,
 (0 - all networks),,, (0 - tất cả các mạng),,SOLITARY,
 (Channel %s), (Kênh truyền hình%s),, (Kênh truyền hình %s),,MISMATCH (SOME),whitespace
 (Partition %d), (Phân vùng %d),, (Phân vùng %d),,CONSISTENT (SOME),
 (PiP),'',, (PiP),,INCOMPLETE (SOME),
 (Radio), (Nghe đài),, (Radio),,MISMATCH (SOME),
 (TV), (TRUYỀN HÌNH),, (TV),,MISMATCH (SOME),
 (disabled), (cho phép/không cho phép),, (cho phép/không cho phép),,CONSISTENT (SOME),
 (higher than any auto), (chế độ tự động cao),, (cao hơn bất kỳ ô tô nào),,MISMATCH (SOME),
 (higher than rotor any auto), (chế độ động cơ tự động cao hơn),, (cao hơn rôto bất kỳ ô tô nào),,MISMATCH (SOME),
 (lower than any auto), (chế độ tự động thấp hơn),, (thấp hơn bất kỳ ô tô nào),,MISMATCH (SOME),
 extensions.,,, phần mở rộng.,,SOLITARY,
 min,,, min,,SOLITARY,
 ms,,, ms,,SOLITARY,
 packages selected.,,, các gói được chọn.,,SOLITARY,
 updates available.,,, cập nhật có sẵn.,,SOLITARY,
%.0f GB,'',,%.0f GB,,INCOMPLETE (SOME),
%.0f MB,'',,%.0f MB,,INCOMPLETE (SOME),
%.0f kB,,,%.0f kB,,SOLITARY,
%.1f° E,,,%.1f° E,,SOLITARY,
%.1f° W,,,%.1f° W,,SOLITARY,
%.2f GB,'',,%.2f GB,,INCOMPLETE (SOME),
%02d:%02d,'',,%02d:%02d,,INCOMPLETE (SOME),
%03d MB,'',,%03d MB,,INCOMPLETE (SOME),
%2.1f sec,'',,%2.1f sec,,INCOMPLETE (SOME),
%2d:%02d,,,%2d:%02d,,SOLITARY,
%2d:%02d:%02d,,,%2d:%02d:%02d,,SOLITARY,
%3.01f dB,,,%3.01f dB,,SOLITARY,
%A %d %B,'',,%A %d %B,,INCOMPLETE (SOME),
%A %e %B,,,%A %e %B,,SOLITARY,
%A %e %B %Y,,,%A %e %B %Y,,SOLITARY,
%H:%M,'',,%H:%M,,INCOMPLETE (SOME),
%a %e %B %Y,,,%a %e %B %Y,,SOLITARY,
%a %e/%m,,,%a %e/%m,,SOLITARY,
%a %e/%m  %-H:%M,,,%a %e/%m  %-H:%M,,SOLITARY,
%d B,,,%d B,,SOLITARY,
%d GB,'',,%d GB,,INCOMPLETE (SOME),
%d MB,'',,%d MB,,INCOMPLETE (SOME),
%d fps,,,%d khung hình / giây,,SOLITARY,
%d kB,'',,%d kB,,INCOMPLETE (SOME),
%d kB/s,,,%d kB/s,,SOLITARY,
%d min,%d phút,,%d phút,,CONSISTENT (SOME),
%d minutes,%d phút,,%d phút,,CONSISTENT (SOME),
%d ms,'',,%d ms,,INCOMPLETE (SOME),
%d sec,%d giây,,%d giây,,CONSISTENT (SOME),
%d-%m,'',,%d-%m,,INCOMPLETE (SOME),
%d.%02d. %02d:%02d,,,%d.%02d. %02d:%02d,,SOLITARY,
%d.%03d GB,'',,%d.%03d GB,,INCOMPLETE (SOME),
%d.%B %Y,,,%d.%B %Y,,SOLITARY,
%d.%d,,,%d.%d,,SOLITARY,
%d.%d.%d,,,%d.%d.%d,,SOLITARY,
%d:%02d,,,%d:%02d,,SOLITARY,
%k:%M %e/%m,,,%k:%M %e/%m,,SOLITARY,
%s\nDo you still want to flash image\n%s?,,,%s\nBạn vẫn muốn flash hình ảnh\n%s?,,SOLITARY,
%s\nPress ok for multiboot selection\nPress exit to close,'',,%s\nNhấn ok để chọn multiboot\nNhấn thoát để đóng,,INCOMPLETE (SOME),
%s %d.%d,,,%s %d.%d,,SOLITARY,
%s %s free disk space,,,%s %s dung lượng đĩa trống,,SOLITARY,
%s (%s)\n,'',,%s (%s)\n,,INCOMPLETE (SOME),
%s imported from fallback tuner,,,%s được nhập từ bộ điều chỉnh dự phòng,,SOLITARY,
