msgid,openatv,openhdf,openpli,openvix,STATUS
\nAdvanced options and settings.,,\n高级选项和设置.,,,SOLITARY
"\nAfter pressing OK, please wait!",,"\n按OK键确定后, 请稍等!",,,SOLITARY
\nBackup your receiver settings.,,'',,,SOLITARY
\nEdit the upgrade source address.,,\n编辑升级源地址。,,,SOLITARY
\nManage extensions or plugins for your receiver,,'',,,SOLITARY
\nOnline update of your receiver software.,,'',,,SOLITARY
\nPress OK on your remote control to continue.,,\n按OK键继续.,,,SOLITARY
\nRestore your backups by date.,,\n按日期恢复您的备份,,,SOLITARY
\nRestore your receiver settings.,,'',,,SOLITARY
\nRestore your receiver with a new firmware.,,'',,,SOLITARY
\nScan for local extensions and install them.,,\n扫描本地扩展并安装.,,,SOLITARY
\nSelect your backup device.\nCurrent device: ,,\n选择备份设备.\n目前的设备:,,,SOLITARY
"\nView, install and remove available or installed packages.",,"\n查看, 安装和删除已安装的软件包。",,,SOLITARY
 (PiP),,'',,,SOLITARY
 (Radio),,'',,,SOLITARY
 (TV),,'',,,SOLITARY
 extensions.,,扩展,,,SOLITARY
 ms,,'',,,SOLITARY
 packages selected.,,'',,,SOLITARY
 updates available.,,升级可用.,,,SOLITARY
%2d:%02d,,'',,,SOLITARY
%2d:%02d:%02d,,'',,,SOLITARY
%A %d %B,,'',,,SOLITARY
%A %e %B,,'',,,SOLITARY
%A %e %B %Y,,'',,,SOLITARY
%H:%M,,'',,,SOLITARY
%a %e/%m,,'',,,SOLITARY
%a %e/%m  %-H:%M,,'',,,SOLITARY
%d min,,%d 分钟,,,SOLITARY
%d minutes,,'',,,SOLITARY
%d-%b-%Y %-H:%M,,'',,,SOLITARY
%d-%m,,'',,,SOLITARY
%d.%B %Y,,%d.%B %Y,,,SOLITARY
%k:%M %e/%m,,'',,,SOLITARY
%s %s free disk space,,'',,,SOLITARY
%s (%s)\n,,%s (%s)\n,,,SOLITARY
%s is no longer used. Should it be deleted?,,'',,,SOLITARY
%s/%s: %s,,'',,,SOLITARY
(ZAP),,(调谐),,,SOLITARY
(empty),,(空的),,,SOLITARY
(show optional DVD audio menu),,（显示可选的DVD音频菜单）,,,SOLITARY
* Only available if more than one interface is active.,,* 仅在一个或多个网卡激活才有效.,,,SOLITARY
1,,'',,,SOLITARY
1.1,,1.1,,,SOLITARY
1.2,,1.2,,,SOLITARY
12V output,,12V 输出,,,SOLITARY
13 V,,13 V,,,SOLITARY
16:10,,'',,,SOLITARY
16:10 Letterbox,,16:10 信箱模式,,,SOLITARY
16:10 PanScan,,16:10 伸缩,,,SOLITARY
16:9,,16:9,,,SOLITARY
16:9 Letterbox,,16:9 信箱模式,,,SOLITARY
