msgid,openatv,openhdf,openpli,openvix,STATUS,REASON
"\nAfter pressing OK, please wait!","\n按确定键后,请稍等!",,"\n按OK键确定后, 请稍等!",,MISMATCH (SOME),
\nConflict detection disabled!,,,\n冲突检测禁用！,,SOLITARY,
\nPress OK on your remote control to continue.,\n按遥控器上的OK键继续.,,\n按OK键继续。,,MISMATCH (SOME),
\nPress OK or Exit to abort!,,,\n按OK或Exit键中止！,,SOLITARY,
\nRecording in progress.,\n正在进行录像...,,\n正在录像。,,MISMATCH (SOME),
\nTimer '%s' disabled!,,,\n定时器 %s 已禁用！,,SOLITARY,
 (0 - all networks),,, (0 - 所有网络),,SOLITARY,
 (Channel %s), (频道 %s),, (频道 %s),,CONSISTENT (SOME),
 (Partition %d), (分区 %d),, (分区 %d),,CONSISTENT (SOME),
 (PiP), (画中画),, (画中画）,,MISMATCH (SOME),unicode
 (Radio), (广播),, (广播),,CONSISTENT (SOME),
 (TV), (电视),, (电视),,CONSISTENT (SOME),
 (disabled), (禁用 ),, （禁用）,,MISMATCH (SOME),
 (higher than any auto), (高于任何自动),, （比所有转速都高）,,MISMATCH (SOME),
 (higher than rotor any auto), (高于任何自动极轴),, （比所有马达转速都高）,,MISMATCH (SOME),
 (lower than any auto), (低于任何自动),, （比所有转速都低）,,MISMATCH (SOME),
 extensions.,,, 扩展。,,SOLITARY,
 min,,, 分钟,,SOLITARY,
 ms,,, 毫秒,,SOLITARY,
 packages selected.,,, 选定的软件包。,,SOLITARY,
 updates available.,,, 升级可用。,,SOLITARY,
%.0f GB,%.0f GB,,'',,INCOMPLETE (SOME),
%.0f MB,%.0f MB,,'',,INCOMPLETE (SOME),
%.0f kB,,,'',,SOLITARY,
%.1f° E,,,'',,SOLITARY,
%.1f° W,,,'',,SOLITARY,
%.2f GB,%.2f GB,,'',,INCOMPLETE (SOME),
%02d:%02d,%02d:%02d,,'',,INCOMPLETE (SOME),
%03d MB,,,'',,SOLITARY,
%2.1f sec,%2.1f 秒,,%2.1f 秒,,CONSISTENT (SOME),
%2d:%02d,,,'',,SOLITARY,
%2d:%02d:%02d,,,'',,SOLITARY,
%3.01f dB,,,'',,SOLITARY,
%A %d %B,%A %d %B,,'',,INCOMPLETE (SOME),
%A %e %B,,,'',,SOLITARY,
%A %e %B %Y,,,'',,SOLITARY,
%H:%M,%H:%M,,'',,INCOMPLETE (SOME),
%a %e %B %Y,,,'',,SOLITARY,
%a %e/%m,,,'',,SOLITARY,
%a %e/%m  %-H:%M,,,'',,SOLITARY,
%d B,,,'',,SOLITARY,
%d GB,%d GB,,'',,INCOMPLETE (SOME),
%d MB,%d MB,,'',,INCOMPLETE (SOME),
%d fps,,,%d 帧率,,SOLITARY,
%d kB,%d kB,,'',,INCOMPLETE (SOME),
%d kB/s,,,'',,SOLITARY,
%d min,%d 分钟,,%d 分钟,,CONSISTENT (SOME),
%d minutes,%d 分钟,,%d 分钟,,CONSISTENT (SOME),
%d ms,%d 毫秒,,%d 毫秒,,CONSISTENT (SOME),
%d sec,%d 秒,,%d 秒,,CONSISTENT (SOME),
%d-%m,%d-%m,,'',,INCOMPLETE (SOME),
%d.%02d. %02d:%02d,,,'',,SOLITARY,
%d.%03d GB,,,'',,SOLITARY,
%d.%B %Y,,,'',,SOLITARY,
%d.%d,,,'',,SOLITARY,
%d.%d.%d,,,'',,SOLITARY,
%d:%02d,,,'',,SOLITARY,
%k:%M %e/%m,,,'',,SOLITARY,
%s\nDo you still want to flash image\n%s?,,,%s\n你还想刷新固件吗\n%s？,,SOLITARY,
%s\nPress ok for multiboot selection\nPress exit to close,%s\n按OK键进行多引导选择\n按exit键退出,,%s\n按“OK”进行多引导选择\n按“Exit”关闭,,MISMATCH (SOME),
%s %d.%d,,,'',,SOLITARY,
%s %s free disk space,,,%s %s 空闲空间,,SOLITARY,
%s (%s)\n,%s (%s)\n,,'',,INCOMPLETE (SOME),
%s imported from fallback tuner,,,%s 从备用调谐器导入,,SOLITARY,
%s is no longer used. Should it be deleted?,"%s 已不再使用,是否应该删除?",,%s 长时间未使用。 需要删除吗？,,MISMATCH (SOME),
%s%% Autoinstalling %s,,,%s%% 自动安装中 %s,,SOLITARY,
%s%d min,%s%d 分钟,,%s%d 分钟,,CONSISTENT (SOME),
%s/%s: %s,%s/%s: %s,,'',,INCOMPLETE (SOME),
%s:%s,,,'',,SOLITARY,
(VU+ type),,,'',,SOLITARY,
(ZAP as PiP),,,'',,SOLITARY,
(ZAP),,,(调谐),,SOLITARY,
(activated +%d min),,,(激活 +%d 分钟),,SOLITARY,
(empty),(空),,(空的),,MISMATCH (SOME),
(not activated),,,(没有激活),,SOLITARY,
(show optional DVD audio menu),(显示可选的 DVD 音频菜单),,（显示可选的DVD音频菜单）,,MISMATCH (SOME),
(unknown),,,(未知),,SOLITARY,
* Only available if more than one interface is active.,* 仅在超过一个网卡激活时有效.,,* 仅在一个或多个网卡激活才有效。,,MISMATCH (SOME),
-NO SERVICE\n,-没有服务\n,,-无服务\n,,MISMATCH (SOME),
-SERVICE ERROR:%d\n,-服务错误:%d\n,,-服务错误:%d\n,,CONSISTENT (SOME),
/s,/s,,'',,INCOMPLETE (SOME),
0,0,,'',,INCOMPLETE (SOME),
1,1,,'',,INCOMPLETE (SOME),
1.0,1.0,,'',,INCOMPLETE (SOME),
1.1,1.1,,'',,INCOMPLETE (SOME),
1.2,1.2,,'',,INCOMPLETE (SOME),
10 MB/s,'',,'',,EMPTY (SOME),
100 MB/s,'',,'',,EMPTY (SOME),
10bit,'',,'',,EMPTY (SOME),
12V output,12V 输出,,12V 输出,,CONSISTENT (SOME),
12bit,'',,'',,EMPTY (SOME),
13 V,13 V,,'',,INCOMPLETE (SOME),
16:10,16:10,,'',,INCOMPLETE (SOME),
16:10 Letterbox,16:10 信箱模式,,16:10 信箱模式,,CONSISTENT (SOME),
16:10 PanScan,16:10 全景模式,,16:10 伸缩,,MISMATCH (SOME),
16:9,16:9,,'',,INCOMPLETE (SOME),
