msgid,openatv,openhdf,openpli,openvix,STATUS
"\nAfter pressing OK, please wait!","\n按OK鍵確定後, 請稍等!",,"\n按OK鍵確定後, 請稍等!",,CONSISTENT (SOME)
\nConflict detection disabled!,,,'',,SOLITARY
\nPress OK on your remote control to continue.,\n按OK鍵確認.,,\n按OK鍵確認.,,CONSISTENT (SOME)
\nRecording in progress.,,,'',,SOLITARY
\nTimer '%s' disabled!,,,'',,SOLITARY
 (0 - all networks),,,'',,SOLITARY
 (Channel %s),,,'',,SOLITARY
 (Partition %d),,,'',,SOLITARY
 (PiP),'',,'',,EMPTY (SOME)
 (Radio),'',,'',,EMPTY (SOME)
 (TV),'',,'',,EMPTY (SOME)
 (disabled),,,'',,SOLITARY
 (higher than any auto),'',,'',,EMPTY (SOME)
 (higher than rotor any auto),'',,'',,EMPTY (SOME)
 (lower than any auto),'',,'',,EMPTY (SOME)
 extensions.,,, 擴展.,,SOLITARY
 ms,,,'',,SOLITARY
 packages selected.,,,節目包選擇.,,SOLITARY
 updates available.,,,可用更新. ,,SOLITARY
%.0f GB,'',,'',,EMPTY (SOME)
%.0f MB,'',,'',,EMPTY (SOME)
%.0f kB,,,'',,SOLITARY
%.1f° E,,,'',,SOLITARY
%.1f° W,,,'',,SOLITARY
%.2f GB,'',,'',,EMPTY (SOME)
%02d:%02d,'',,'',,EMPTY (SOME)
%03d MB,'',,'',,EMPTY (SOME)
%2.1f sec,'',,'',,EMPTY (SOME)
%2d:%02d,,,'',,SOLITARY
%2d:%02d:%02d,,,'',,SOLITARY
%3.01f dB,,,'',,SOLITARY
%A %d %B,'',,'',,EMPTY (SOME)
%A %e %B,,,'',,SOLITARY
%A %e %B %Y,,,'',,SOLITARY
%H:%M,'',,%H:%M,,INCOMPLETE (SOME)
%a %e/%m,,,'',,SOLITARY
%a %e/%m  %-H:%M,,,'',,SOLITARY
%d B,,,'',,SOLITARY
%d GB,'',,'',,EMPTY (SOME)
%d MB,'',,'',,EMPTY (SOME)
%d kB,'',,'',,EMPTY (SOME)
%d kB/s,,,'',,SOLITARY
%d min,%d 分鐘,,%d 分鐘,,CONSISTENT (SOME)
%d minutes,'',,'',,EMPTY (SOME)
%d ms,,,'',,SOLITARY
%d sec,,,'',,SOLITARY
%d-%m,'',,'',,EMPTY (SOME)
%d.%02d. %02d:%02d,,,'',,SOLITARY
%d.%03d GB,'',,'',,EMPTY (SOME)
%d.%B %Y,,,%d.%B %Y,,SOLITARY
%d:%02d,,,'',,SOLITARY
%k:%M %e/%m,,,'',,SOLITARY
%s\nPress ok for multiboot selection\nPress exit to close,'',,'',,EMPTY (SOME)
%s %d.%d,,,'',,SOLITARY
%s %s free disk space,,,'',,SOLITARY
%s (%s)\n,'',,%s (%s)\n,,INCOMPLETE (SOME)
%s imported from fallback tuner,,,'',,SOLITARY
%s is no longer used. Should it be deleted?,'',,'',,EMPTY (SOME)
%s%d min,'',,'',,EMPTY (SOME)
%s/%s: %s,'',,'',,EMPTY (SOME)
%s:%s,,,'',,SOLITARY
(VU+ type),,,'',,SOLITARY
(ZAP as PiP),,,'',,SOLITARY
(ZAP),,,(ZAP),,SOLITARY
(activated +%d min),,,'',,SOLITARY
(empty),(空的),,(空的),,CONSISTENT (SOME)
(not activated),,,'',,SOLITARY
(show optional DVD audio menu),(顯示可選的DVD音頻功能表),,(顯示可選的DVD音頻功能表),,CONSISTENT (SOME)
* Only available if more than one interface is active.,* 僅在一個或多個網卡啟動才有效.,,* 僅在一個或多個網卡啟動才有效.,,CONSISTENT (SOME)
-NO SERVICE\n,'',,'',,EMPTY (SOME)
-SERVICE ERROR:%d\n,'',,'',,EMPTY (SOME)
/s,'',,'',,EMPTY (SOME)
0,'',,0,,INCOMPLETE (SOME)
1,'',,1,,INCOMPLETE (SOME)
1.0,'',,1.0,,INCOMPLETE (SOME)
1.1,'',,1.1,,INCOMPLETE (SOME)
1.2,'',,1.2,,INCOMPLETE (SOME)
10 MB/s,'',,'',,EMPTY (SOME)
100 MB/s,'',,'',,EMPTY (SOME)
10bit,'',,'',,EMPTY (SOME)
12V output,12V-輸出,,12V-輸出,,CONSISTENT (SOME)
12bit,'',,'',,EMPTY (SOME)
13 V,'',,13 V,,INCOMPLETE (SOME)
16:10,'',,16:10,,INCOMPLETE (SOME)
16:10 Letterbox,'',,16:10 Letterbox,,INCOMPLETE (SOME)
16:10 PanScan,'',,16:10 PanScan,,INCOMPLETE (SOME)
16:9,'',,16:9,,INCOMPLETE (SOME)
16:9 Letterbox,'',,16:9 Letterbox,,INCOMPLETE (SOME)
16:9 always,總是 16:9,,總是 16:9,,CONSISTENT (SOME)
16K,,,'',,SOLITARY
18 V,'',,18 V,,INCOMPLETE (SOME)
2,'',,2,,INCOMPLETE (SOME)
20 MB/s,'',,'',,EMPTY (SOME)
23.976,'',,'',,EMPTY (SOME)
24,,,'',,SOLITARY
25,,,'',,SOLITARY
29.97,'',,'',,EMPTY (SOME)
3,'',,3,,INCOMPLETE (SOME)
30,,,'',,SOLITARY
3D surround,,,'',,SOLITARY
3D surround softlimiter,,,'',,SOLITARY
3D surround speaker position,,,'',,SOLITARY
3d mode,'',,'',,EMPTY (SOME)
4,'',,4,,INCOMPLETE (SOME)
420,'',,'',,EMPTY (SOME)
422,'',,'',,EMPTY (SOME)
444,'',,'',,EMPTY (SOME)
4:3,'',,4:3,,INCOMPLETE (SOME)
4:3 Letterbox,'',,4:3 Letterbox,,INCOMPLETE (SOME)
4:3 PanScan,'',,4:3 PanScan,,INCOMPLETE (SOME)
5,'',,5,,INCOMPLETE (SOME)
50 MB/s,'',,'',,EMPTY (SOME)
6,'',,6,,INCOMPLETE (SOME)
7,'',,7,,INCOMPLETE (SOME)
8,'',,8,,INCOMPLETE (SOME)
8bit,'',,'',,EMPTY (SOME)
9,'',,9,,INCOMPLETE (SOME)
: 0000 - default (disabled),,,'',,SOLITARY
<Current movielist location>,<當前電影列表位置>,,<當前電影列表位置>,,CONSISTENT (SOME)
<Default movie location>,<預設錄影位置>,,<預設錄影位置>,,CONSISTENT (SOME)
<Last timer location>,<最近一次定時錄影位置>,,<最近一次定時錄影位置>,,CONSISTENT (SOME)
<unknown>,<未知>,,<未知>,,CONSISTENT (SOME)
=NO STREAM\n,'',,'',,EMPTY (SOME)
??,更新! 立即重啟dreambox嗎？,,更新! 立即重啟dreambox嗎？,,CONSISTENT (SOME)
A,'',,A,,INCOMPLETE (SOME)
A configuration file (%s) has been modified since it was installed.\nDo you want to keep your modifications?,'',,'',,EMPTY (SOME)
A configuration file (%s) was modified since Installation.\nDo you want to keep your version?,配置檔(%s)在安裝後被修改了.\n是否想要保留您的版本？,,配置檔(%s)在安裝後被修改了.\n是否想要保留您的版本？,,CONSISTENT (SOME)
A file from media is in use!,,,'',,SOLITARY
A finished record timer wants to set your\nreceiver to standby. Do that now?,,,'',,SOLITARY
A finished record timer wants to shut down\nyour receiver. Shutdown now?,,,'',,SOLITARY
A record has been started:\n%s,,,錄製已經開始:\n%s,,SOLITARY
A recording is currently running.\nWhat do you want to do?,錄製正在進行中.\n您想做什麼?,,錄製正在進行中.\n您想做什麼?,,CONSISTENT (SOME)
A recording is currently running. Please stop the recording before trying to scan.,'',,'',,EMPTY (SOME)
A recording is currently running. Please stop the recording before trying to start a testing DiSEqC.,,,'',,SOLITARY
A required tool (%s) was not found.,一個必須的工具 (%s) 未找到.,,一個必須的工具 (%s) 未找到.,,CONSISTENT (SOME)
A search for available updates is currently in progress.,正在搜尋可用更新.,,正在搜尋可用更新.,,CONSISTENT (SOME)
A second configured interface has been found.\n\nDo you want to disable the second network interface?,發現第二個網路介面配置.\n\n您想禁用第二個網路介面?,,發現第二個網路介面配置.\n\n您想禁用第二個網路介面?,,CONSISTENT (SOME)
A sleep timer wants to set your\nreceiver to standby. Do that now?,,,'',,SOLITARY
A sleep timer wants to shut down\nyour receiver. Shutdown now?,,,'',,SOLITARY
A small overview of the available icon states and actions.,可用圖示狀態和動作的簡要概述.,,可用圖示狀態和動作的簡要概述.,,CONSISTENT (SOME)
A timer failed to record!\nDisable TV and try again?\n,定時錄影失敗.\n禁用電視輸出並重試?\n,,定時錄影失敗.\n禁用電視輸出並重試?\n,,CONSISTENT (SOME)
A/V settings,,,'',,SOLITARY
AAC downmix,,,'',,SOLITARY
AC3 downmix,AC3 縮減混音,,AC3 縮減混音,,CONSISTENT (SOME)
ACQUIRING TSID/ONID,,,'',,SOLITARY
AGC:,,,'',,SOLITARY
ASS File,,,'',,SOLITARY
ASS file,,,'',,SOLITARY
ATSC,'',,'',,EMPTY (SOME)
ATSC provider,,,'',,SOLITARY
Abort,中止,,中止,,CONSISTENT (SOME)
Abort alternatives edit,,,取消專案編輯,,SOLITARY
Abort bouquet edit,,,取消自定義組編輯,,SOLITARY
Abort favourites edit,,,取消喜愛頻道編輯,,SOLITARY
About,關於,,關於,,CONSISTENT (SOME)
Accesspoint:,接入點:,,接入點:,,CONSISTENT (SOME)
Activate HbbTV (Redbutton),'',,'',,EMPTY (SOME)
Activate Picture in Picture,啟用畫中畫,,啟用畫中畫,,CONSISTENT (SOME)
Activate current configuration,'',,'',,EMPTY (SOME)
Activate network settings,啟用網路設定,,啟用網路設定,,CONSISTENT (SOME)
Activate the configured network settings.,'',,'',,EMPTY (SOME)
Activate timeshift End,,,'',,SOLITARY
Activate timeshift end and pause,'',,'',,EMPTY (SOME)
Adapter settings,網卡設定,,網卡設定,,CONSISTENT (SOME)
Add,添加,,添加,,CONSISTENT (SOME)
Add a mark,增加標記,,增加標記,,CONSISTENT (SOME)
Add a nameserver entry,'',,'',,EMPTY (SOME)
Add a new title,增加一個新標題,,增加一個新標題,,CONSISTENT (SOME)
Add alternatives,,,增加項目,,SOLITARY
Add bookmark,'',,'',,EMPTY (SOME)
Add bouquet,,,增加自定義組,,SOLITARY
Add bouquet to parental protection,,,'',,SOLITARY
Add directory to playlist,'',,'',,EMPTY (SOME)
Add file to playlist,'',,'',,EMPTY (SOME)
Add files to playlist,'',,'',,EMPTY (SOME)
Add marker,,,添加標記,,SOLITARY
Add provider,'',,'',,EMPTY (SOME)
Add recording (enter recording duration),'',,'',,EMPTY (SOME)
Add recording (enter recording endtime),'',,'',,EMPTY (SOME)
Add recording (indefinitely),'',,'',,EMPTY (SOME)
Add recording (stop after current event),'',,'',,EMPTY (SOME)
Add service,'',,'',,EMPTY (SOME)
Add service to bouquet,,,添加頻道到自定義組,,SOLITARY
Add service to favourites,,,添加頻道到喜愛頻道,,SOLITARY
Add timer,添加到計時器,,添加到計時器,,CONSISTENT (SOME)
Add title,添加標題,,添加標題,,CONSISTENT (SOME)
Add to bouquet,,,添加到自定義組,,SOLITARY
Add to favourites,,,添加到喜歡頻道,,SOLITARY
Add to parental protection,,,添加到家長控制,,SOLITARY
Add/remove change timer for current event,,,'',,SOLITARY
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move the dish from one satellite to another satellite.,'',,'',,EMPTY (SOME)
Additional motor options allow you to enter details from your motor's spec sheet so enigma can work out how long it will take to move to another satellite.,'',,'',,EMPTY (SOME)
Adjust 3D settings,'',,'',,EMPTY (SOME)
"Adjust the color settings so that all the color shades are distinguishable, but appear as saturated as possible. If you are happy with the result, press OK to close the video fine-tuning, or use the number keys to select other test screens.",調整顏色設定以使所有的顏色深淺可以辨識出來，使之看起來盡可能飽和。如果您對結果感到滿意，按OK關閉視頻微調，或者用數位鍵選擇畫面上的其他測驗。 ,,調整顏色設定以使所有的顏色深淺可以辨識出來，使之看起來盡可能飽和。如果您對結果感到滿意，按OK關閉視頻微調，或者用數位鍵選擇畫面上的其他測驗。 ,,CONSISTENT (SOME)
Advanced,高級,,高級,,CONSISTENT (SOME)
Advanced options,'',,'',,EMPTY (SOME)
Advanced options and settings.,,,高級選項和設定.,,SOLITARY
Advanced restore,高級恢復,,高級恢復,,CONSISTENT (SOME)
Advanced software,'',,'',,EMPTY (SOME)
Advanced software plugin,'',,'',,EMPTY (SOME)
Advanced video enhancement setup,'',,'',,EMPTY (SOME)
Advanced video setup,,,'',,SOLITARY
Afghanistan,'',,'',,EMPTY (SOME)
After event,事件之後,,事件之後,,CONSISTENT (SOME)
Aland Islands,'',,'',,EMPTY (SOME)
Albania,'',,'',,EMPTY (SOME)
Album,相冊,,相冊,,CONSISTENT (SOME)
Algeria,'',,'',,EMPTY (SOME)
Alignment of events,'',,'',,EMPTY (SOME)
Alignment of service names,'',,'',,EMPTY (SOME)
All,全部,,全部,,CONSISTENT (SOME)
All ages,'',,'',,EMPTY (SOME)
All frequency,,,'',,SOLITARY
All satellites 1 (USALS),,,'',,SOLITARY
All satellites 2 (USALS),,,'',,SOLITARY
All satellites 3 (USALS),,,'',,SOLITARY
All satellites 4 (USALS),,,'',,SOLITARY
All services provider,,,'',,SOLITARY
All slots,,,'',,SOLITARY
Allocate,'',,'',,EMPTY (SOME)
Allocate a number to the physical LNB you are configuring. You will be able to select this LNB again for other satellites (e.g. motorised dishes) to save setting up the same LNB multiple times.,'',,'',,EMPTY (SOME)
Allocate unused memory index,'',,'',,EMPTY (SOME)
Allow 10bit,'',,'',,EMPTY (SOME)
Allow 12bit,'',,'',,EMPTY (SOME)
Allow quit movieplayer with exit,'',,'',,EMPTY (SOME)
Allow quitting movieplayer with exit,,,'',,SOLITARY
Allow subtitle language to equal audio language,'',,'',,EMPTY (SOME)
Allow subtitles for hearing impaired,'',,'',,EMPTY (SOME)
Allow unsupported modes,'',,'',,EMPTY (SOME)
Alpha,透明度,,透明度,,CONSISTENT (SOME)
Also import at reboot/restart enigma2,,,'',,SOLITARY
Also import from the extension menu,,,'',,SOLITARY
Also import when box is leaving standby,,,'',,SOLITARY
Also on standby,,,'',,SOLITARY
Alternative,'',,'',,EMPTY (SOME)
Alternative URL for images listed on FlashImage,,,'',,SOLITARY
Alternative URLs for DVB-T/C or ATSC,,,'',,SOLITARY
Alternative numbering mode,'',,'',,EMPTY (SOME)
Alternative services tuner priority,可選調諧器優先順序,,可選調諧器優先順序,,CONSISTENT (SOME)
Always ask,'',,'',,EMPTY (SOME)
Always hide infobar,'',,'',,EMPTY (SOME)
Always include ECM in recordings,'',,'',,EMPTY (SOME)
"Always include ECM messages in recordings. This overrides the individual timer settings globally. It allows recordings to be always decrypted afterwards (sometimes called offline decoding), if supported by your receiver. Default: off.",'',,'',,EMPTY (SOME)
American Samoa,'',,'',,EMPTY (SOME)
An empty filename is illegal.,一個空的檔案名是非法的.,,一個空的檔案名是非法的.,,CONSISTENT (SOME)
An error occurred while downloading the packetlist. Please try again.,'',,'',,EMPTY (SOME)
An unknown error occurred!,'',,'',,EMPTY (SOME)
And will put your receiver in standby over ,,,'',,SOLITARY
Andorra,'',,'',,EMPTY (SOME)
Angola,'',,'',,EMPTY (SOME)
Anguilla,'',,'',,EMPTY (SOME)
Antarctica,'',,'',,EMPTY (SOME)
Antigua and Barbuda,'',,'',,EMPTY (SOME)
Any activity,'',,'',,EMPTY (SOME)
Arabic,阿拉伯語,,阿拉伯語,,CONSISTENT (SOME)
Are you sure to delete image:,,,'',,SOLITARY
Are you sure to purge all deleted user bouquets?,,,'',,SOLITARY
Are you sure to reboot to,,,'',,SOLITARY
Are you sure to remove all %d.%d%s%s services?,,,'',,SOLITARY
Are you sure to remove all cable services?,,,'',,SOLITARY
Are you sure to remove all terrestrial services?,,,'',,SOLITARY
Are you sure to remove this entry?,,,'',,SOLITARY
Are you sure to restore all deleted images,,,'',,SOLITARY
Are you sure you want to activate this network configuration?\n\n,確定要啟動此網路配置？\n\n,,確定要啟動此網路配置？\n\n,,CONSISTENT (SOME)
Are you sure you want to delete\nthe following backup:\n,'',,'',,EMPTY (SOME)
Are you sure you want to exit this wizard?,確定要退出此嚮導?,,確定要退出此嚮導?,,CONSISTENT (SOME)
Are you sure you want to restart your network interfaces?\n\n,您確定要重新啟動網路介面?\n\n,,您確定要重新啟動網路介面?\n\n,,CONSISTENT (SOME)
Are you sure you want to restore\nthe following backup:\n%s\nYour receiver will restart after the backup has been restored!,'',,'',,EMPTY (SOME)
Are you sure you want to restore the backup?\nYour receiver will restart after the backup has been restored!,'',,'',,EMPTY (SOME)
Armenia,'',,'',,EMPTY (SOME)
Artist,藝術家,,藝術家,,CONSISTENT (SOME)
Arts/Culture,'',,'',,EMPTY (SOME)
Aruba,'',,'',,EMPTY (SOME)
As defined by the skin,,,'',,SOLITARY
Ask user,詢問用戶,,詢問用戶,,CONSISTENT (SOME)
Aspect ratio,'',,'',,EMPTY (SOME)
Assigned CAIds:,'',,'',,EMPTY (SOME)
Assigned services/provider:,'',,'',,EMPTY (SOME)
At beginning,,,'',,SOLITARY
At end,,,'',,SOLITARY
"Attention, this is repeated timer!\n",,,'',,SOLITARY
"Attention, this is repeated timer!\nWhat do you want to do?",,,'',,SOLITARY
Audio,音頻,,音頻,,CONSISTENT (SOME)
Audio / Video,,,'',,SOLITARY
Audio PID,'',,'',,EMPTY (SOME)
"Audio PID%s, codec & lang",,,'',,SOLITARY
"Audio PID, codec & lang",,,'',,SOLITARY
Audio auto volume level,,,'',,SOLITARY
Audio language selection 1,'',,'',,EMPTY (SOME)
Audio language selection 2,'',,'',,EMPTY (SOME)
Audio language selection 3,'',,'',,EMPTY (SOME)
Audio language selection 4,'',,'',,EMPTY (SOME)
Audio options...,'',,'',,EMPTY (SOME)
Audio plugins,,,'',,SOLITARY
Audio track (%s) format,,,'',,SOLITARY
Audio track (%s) language,,,'',,SOLITARY
Audio volume step size,'',,'',,EMPTY (SOME)
Australia,澳大利亞,,澳大利亞,,CONSISTENT (SOME)
Author: ,作者:,,作者:,,CONSISTENT (SOME)
Authoring mode,創作模式,,創作模式,,CONSISTENT (SOME)
Auto,自動,,自動,,CONSISTENT (SOME)
Auto Diseqc,,,'',,SOLITARY
Auto EXIF Orientation rotation/flipping,,,'',,SOLITARY
Auto chapter split every ? minutes (0=never),每隔? 分鐘自動分割.(0=從不) ,,每隔? 分鐘自動分割.(0=從不) ,,CONSISTENT (SOME)
Auto flesh,'',,'',,EMPTY (SOME)
Auto focus,'',,'',,EMPTY (SOME)
Auto focus commencing ...,'',,'',,EMPTY (SOME)
Auto language selection,'',,'',,EMPTY (SOME)
Auto play blu-ray file,,,'',,SOLITARY
Auto scart switching,自動切換錄影機,,自動切換錄影機,,CONSISTENT (SOME)
Autoinstalling Completed,,,'',,SOLITARY
Autoinstalling please wait for packages being updated,,,'',,SOLITARY
Automatic,自動,,自動,,CONSISTENT (SOME)
Automatic Scan,自動掃描,,自動掃描,,CONSISTENT (SOME)
Automatic scan,'',,'',,EMPTY (SOME)
Automatically start timeshift after,'',,'',,EMPTY (SOME)
Automatically turn on external subtitles,'',,'',,EMPTY (SOME)
Available format variables,可用的格式變數,,可用的格式變數,,CONSISTENT (SOME)
Azerbaijan,'',,'',,EMPTY (SOME)
B,'',,B,,INCOMPLETE (SOME)
BER,,,BER,,SOLITARY
BER:,'',,BER:,,INCOMPLETE (SOME)
BT 2020 CL,'',,'',,EMPTY (SOME)
BT 2020 NCL,'',,'',,EMPTY (SOME)
BT 709,'',,'',,EMPTY (SOME)
Back,返回,,返回,,CONSISTENT (SOME)
Background,後臺,,後臺,,CONSISTENT (SOME)
Background color,'',,'',,EMPTY (SOME)
Background delete option,'',,'',,EMPTY (SOME)
